,“ú•Ê
0,inf
1,inf
2,inf
3,inf
4,inf
7,20.47
14,inf
17,inf
18,23.23
30,inf
34,inf
35,6.57
38,inf
40,inf
42,40.4
47,41.33
50,1.22
57,28.67
66,inf
81,30.61
82,42.23
83,35.34
86,72.49
87,32.46
89,28.18
95,28.11
99,2.52
101,56.71
104,4.37
105,14.48
106,17.12
108,8.69
110,27.77
111,14.05
113,49.89
116,11.69
117,61.8
121,259.29
126,1.26
129,17.88
133,111.28
134,3.58
138,32.21
139,4.83
144,31.94
148,26.85
151,15.41
159,419.46
160,49.41
164,168.92
167,59.03
168,43.22
176,0.78
178,71.88
181,29.77
185,21.53
186,34.43
195,658.53
196,0.21
201,127.44
202,29.81
203,inf
210,inf
214,52.71
215,inf
220,105.1
226,inf
228,25.29
229,45.4
230,inf
236,29.71
237,89.03
242,inf
243,inf
251,54.25
253,309.93
255,94.45
256,42.1
264,4.79
268,85.11
270,442.06
274,1339.77
279,34.59
281,2.42
282,59.0
283,77.82
284,48.27
285,83.11
288,33.09
290,36.44
292,194.72
296,54.47
305,18.87
306,26.98
309,2299.47
316,41.65
318,44.63
322,68.61
323,48.5
326,7.92
327,1734.69
329,66.79
331,393.43
334,68.51
335,394.85
341,62.99
347,151.35
354,19.13
359,96.97
362,633.31
364,344.85
