,“ú•Ê
1,41.4
2,13.55
3,53.66
5,42.33
6,1.24
7,12.62
9,119.08
10,6.91
11,24.09
12,16.89
15,27.63
16,18.32
17,20.66
18,9.29
20,20.06
21,26.11
23,7.72
24,6.19
25,37.12
26,27.02
27,54.68
28,9.63
29,3.06
30,39.7
31,1.42
32,54.34
34,5.61
35,11.04
36,47.62
37,0.09
38,29.75
42,103.14
44,6.37
46,7.04
48,12.92
52,18.35
54,16.8
55,2.38
57,15.2
59,10.4
60,14.44
61,21.33
63,23.4
64,11.65
65,21.38
66,4.86
67,8.03
69,30.89
70,5.31
72,40.18
76,5.35
77,17.41
78,15.34
79,28.35
80,16.5
82,5.18
83,2.3
84,0.63
86,9.14
87,21.75
88,10.0
90,36.73
91,0.23
92,3.86
94,13.13
97,3.21
98,0.04
99,21.87
100,33.6
101,28.17
102,1.87
103,10.48
104,10.78
105,3.87
106,38.97
107,44.24
109,11.39
110,5.05
111,0.83
112,144.96
113,169.08
114,2.97
118,5.39
120,40.75
121,44.76
122,609.46
123,0.17
124,0.96
125,14.67
126,3.85
127,7.56
129,11.36
130,11.34
131,22.56
133,4.75
134,11.23
136,26.49
138,6.49
139,3.11
140,4.75
141,0.82
144,11.83
145,0.1
146,2.03
147,22.87
148,5.98
149,5.49
150,2.23
154,5.75
155,9.39
156,44.11
158,13.24
159,13.01
160,6.61
163,14.06
164,31.31
168,2.35
170,110.13
171,2.1
172,52.55
173,11.76
174,15.68
175,7.55
178,74.06
179,18.18
182,9.4
185,101.13
186,14.43
187,37.44
189,5.92
190,4.46
191,1.27
192,16.7
193,13.98
194,28.44
195,13.46
196,17.9
199,13.67
200,16.43
201,16.45
204,50.05
205,28.87
206,54.9
207,1.64
209,59.83
211,12.52
214,0.26
215,13.39
216,10.42
217,71.18
220,9.57
221,19.66
223,4.79
224,62.03
225,17.88
226,0.17
227,62.88
228,29.1
230,37.6
231,3.37
232,19.8
234,50.47
235,20.27
236,1.06
237,16.63
238,18.52
240,60.18
241,75.96
242,26.29
243,5.95
244,18.86
245,29.37
246,77.28
248,10.39
249,12.85
251,10.27
252,12.91
253,5.91
254,52.75
255,50.83
256,0.65
257,3.35
259,6.94
260,7.62
262,25.35
263,13.18
265,9.22
266,0.76
267,23.11
270,18.09
271,20.31
272,288.8
273,305.2
274,361.27
276,231.89
278,11.08
279,0.18
280,19.22
282,143.94
283,46.18
284,255.77
285,22.62
286,23.49
288,26.66
289,34.08
290,193.49
291,32.46
292,39.46
293,34.54
294,13.87
295,29.72
296,2.32
297,14.88
298,7.57
299,10.96
300,16.41
301,1.0
302,5.68
303,10.84
304,4.59
306,7.4
307,0.07
308,13.57
309,7.88
310,6.07
313,12.38
314,4.79
316,11.57
322,6.27
323,0.76
325,6.97
326,0.34
328,8.57
330,1.06
331,2.7
334,14.24
337,4.44
338,4.41
340,2.16
343,21.36
345,26.45
347,3.54
348,76.67
350,34.76
352,5.22
354,104.83
355,16.53
356,91.05
357,56.16
358,31.54
359,32.4
360,35.82
361,34.44
363,27.95
