,ì˙ï ,é¿ê—
0,5.778278543194963,4.0
1,5.128354352097449,3.0
2,3.2683612621308353,5.0
3,4.353345800115311,3.0
4,10.30257266202547,5.0
5,14.960610687685364,8.0
6,12.988814633562697,12.0
7,10.082396298439514,9.0
9,11.242916605445917,4.0
10,4.1747369625055555,3.0
11,9.7509110274196,13.0
13,8.093479930466296,5.0
14,13.54294195087224,15.0
15,8.028645858744214,9.0
16,3.522622867320455,8.0
17,1.519964818887445,3.0
18,5.777374387193743,6.0
19,5.450423881852941,6.0
20,4.199520453346602,4.0
21,9.352552248998022,4.0
22,5.066573718957107,4.0
24,2.3331473870249315,4.0
25,7.276567193779379,5.0
27,2.5957884981856507,6.0
30,2.5509552159879973,5.0
31,3.859865597430816,3.0
32,2.990092953409755,3.0
34,4.561821443112902,4.0
36,4.76325226050067,4.0
38,3.7276897668151094,3.0
39,9.024545317529528,6.0
40,5.7856110033569195,4.0
41,5.987911149905402,4.0
42,3.549787992843917,3.0
43,7.620576998816194,7.0
44,3.430857929100717,3.0
45,4.574453277653474,3.0
46,9.047021615054723,8.0
48,5.413194439533191,6.0
49,5.8316873380277965,4.0
50,5.941771025034161,8.0
51,4.0505031585128,3.0
55,10.59790299914972,9.0
56,5.272269594252583,7.0
58,2.8348634967975115,3.0
59,2.688346155309235,3.0
60,6.836551100882429,10.0
62,10.807500103482251,10.0
64,9.91317743377683,9.0
65,1.6325366531807242,3.0
66,1.9163736683535748,3.0
68,13.443918941067823,12.0
69,14.590310175476866,13.0
71,12.41449178899492,13.0
72,2.224866676037892,3.0
73,3.122834446442319,3.0
75,11.94464558562471,13.0
76,12.950608404419173,13.0
78,9.154014411289765,12.0
79,3.5646990860042833,4.0
82,11.01780791171166,10.0
83,11.648800700383243,12.0
84,10.967287794184521,12.0
85,11.029272304000655,12.0
87,2.0522731180904885,3.0
89,11.643675394758562,12.0
90,10.74007075019006,11.0
91,10.718028668610183,9.0
92,10.082612647603039,8.0
93,1.5095566467927992,3.0
94,4.2897229743029825,4.0
97,13.027677088428884,13.0
98,12.695394039156943,12.0
99,13.334835203624461,11.0
100,6.523874250456956,3.0
101,2.736732823110597,7.0
102,20.561160001493555,16.0
103,13.024014253165191,14.0
105,18.09855964356574,15.0
106,24.59946721938682,18.0
107,4.503331859450821,7.0
109,27.190568731361473,25.0
110,25.56276881998322,27.0
111,26.28757689029415,24.0
112,11.310495271178464,3.0
114,15.852681993738463,10.0
115,11.875462396728402,11.0
116,24.287900598831087,20.0
117,13.466054253794082,14.0
120,22.645555705034674,16.0
121,10.558260666937624,7.0
122,23.84389023220035,3.0
123,37.79627404025287,40.0
124,37.86296415249211,42.0
125,37.408609568503,46.0
126,37.17943187141323,46.0
128,26.343639938055667,24.0
129,22.232422096552423,26.0
131,39.7711275379775,60.0
132,38.8596790949033,44.0
134,24.354336485270487,29.0
136,15.173298498582653,19.0
137,22.371430104944608,23.0
138,24.486462794395287,23.0
140,36.37457829372267,39.0
141,36.75106732121029,41.0
144,34.45388522712186,40.0
145,36.45945318178616,42.0
146,38.07478993677148,43.0
150,26.503340790604895,24.0
152,34.2467119422246,38.0
153,17.776915412204,27.0
156,7.058048845155964,3.0
157,5.0502087014295185,3.0
