,ì˙ï ,é¿ê—
3,0.6930701939445312,3.0
6,16.325537961284816,12.0
11,4.609874707895171,13.0
12,0.7803301397325167,7.0
14,20.04803754118425,15.0
18,5.146047882823144,6.0
19,6.469173656593591,6.0
20,10.481029350340991,4.0
23,2.910088972718515,3.0
24,-0.5339172482202703,4.0
29,9.898291241644714,3.0
31,1.7934600929349434,3.0
37,3.763650216713252,3.0
39,17.21276985231155,6.0
40,7.8928890028829874,4.0
43,13.007752975768309,7.0
44,3.3745064687023336,3.0
51,4.48412434244998,3.0
58,2.006719535493753,3.0
59,0.13464050257802984,3.0
60,7.719274959488901,10.0
63,10.494850629253913,11.0
67,11.277308942265636,12.0
74,11.36796615647761,14.0
79,6.119194272578823,4.0
81,9.022138332899907,12.0
83,11.611327550468227,12.0
85,11.802335501223032,12.0
88,8.901946362456224,15.0
89,11.493598183104035,12.0
92,9.362510867136713,8.0
95,10.630586269933124,11.0
97,20.91823695135207,13.0
99,16.76955032931327,11.0
100,9.644376501611701,3.0
101,9.22395092853232,7.0
109,30.55395348237932,25.0
113,10.310131118346684,3.0
115,8.76432279520115,11.0
117,10.134561968301233,14.0
120,25.88851597277226,16.0
125,39.93810151316853,46.0
126,40.09293910993505,46.0
130,27.27970649018549,27.0
132,33.290202123342894,44.0
135,14.023708600765783,21.0
136,8.539550227869734,19.0
145,37.81444526120698,42.0
147,38.106715987642644,59.0
150,28.962861030830197,24.0
152,26.561924328519762,38.0
160,10.339476793118473,9.0
161,12.291208305555676,11.0
163,7.48606117256947,3.0
165,15.73575275314997,15.0
170,15.789688153030452,4.0
177,7.06089510437141,3.0
182,16.256415653674186,14.0
185,-1.543109022447399,3.0
186,11.946002729888072,13.0
188,13.992706631861534,13.0
190,12.985221307255888,16.0
200,7.746332917564924,4.0
203,3.963391880344541,4.0
206,-1.538580983949254,3.0
214,1.4072727392462594,4.0
216,-0.796245569017927,3.0
217,9.727840481311524,4.0
219,1.0183976952510683,5.0
223,3.0019927733933027,4.0
227,-4.010314715969489,3.0
229,5.389390162298739,4.0
233,-0.22325271407169112,7.0
238,6.323297168158206,14.0
249,32.683032394139616,40.0
250,17.563644955028245,23.0
254,11.808993440383995,4.0
255,5.7571786865857755,3.0
256,27.685647516093066,26.0
258,21.41649918076725,29.0
262,8.801104263932238,4.0
273,25.789349265243665,3.0
274,36.251710477834685,4.0
281,40.646530497269936,60.0
285,38.87110710520142,32.0
295,51.21854218596833,92.0
296,23.509544618781245,43.0
298,44.61870887081597,63.0
300,43.68869559586487,63.0
306,52.604501941991074,67.0
307,54.31759386265051,62.0
309,57.00541665037849,63.0
310,41.8459643943243,43.0
311,36.686012569723864,45.0
312,60.89039304719352,66.0
313,51.586796518163496,68.0
322,66.70277053000507,66.0
324,42.455437472210086,49.0
327,61.79957017465666,66.0
329,64.59781615556453,64.0
333,48.97706474690221,50.0
334,39.19090689988454,55.0
338,30.087591228750668,36.0
340,51.41820224334923,50.0
341,45.04245015332801,61.0
346,8.07879049616091,30.0
350,14.174442396524437,6.0
351,38.29785972156763,33.0
356,40.67308094026948,16.0
359,9.09936255341448,4.0
363,10.665796866708641,6.0
