,“ú•Ê
3,16.18
6,35.08
11,32.0
12,27.38
14,37.57
18,44.58
19,13.93
20,10.77
23,21.27
24,11.38
29,9.23
31,9.5
37,8.11
39,8.74
40,7.6
43,12.83
44,14.91
51,14.57
58,14.91
59,14.28
60,7.14
63,9.87
67,13.77
74,12.63
79,18.22
81,12.59
83,10.65
85,10.65
88,12.59
89,16.55
92,11.91
95,10.01
97,17.1
99,9.55
100,18.69
101,17.78
109,21.66
113,5.73
115,16.35
117,10.24
120,13.25
125,40.82
126,17.25
130,5.46
132,4.07
135,8.57
136,10.91
145,16.98
147,19.88
150,5.92
152,11.53
160,48.29
161,7.0
163,15.28
165,4.12
170,10.02
177,10.78
182,13.1
185,40.29
186,15.61
188,9.74
190,8.76
200,42.0
203,25.46
206,31.84
214,11.45
216,10.21
217,10.64
219,32.98
223,10.21
227,32.19
229,35.88
233,41.43
238,53.47
249,47.34
250,35.49
254,44.62
255,27.69
256,37.89
258,32.19
262,24.38
273,24.44
274,39.57
281,48.79
285,41.16
295,30.48
296,48.29
298,39.57
300,45.17
306,27.24
307,28.93
309,39.09
310,49.49
311,22.77
312,35.99
313,22.5
322,33.09
324,35.45
327,27.41
329,30.48
333,36.81
334,29.62
338,33.95
340,30.61
341,26.33
346,30.98
350,34.09
351,36.22
356,35.82
359,16.64
363,31.6
