,“ú•Ê
0,177.47
1,41.38
2,121.19
3,12.99
4,26.67
5,0.81
6,16.47
7,63.95
9,3.3
10,122.19
11,12.0
13,137.0
14,12.8
15,6.69
16,9.88
17,155.4
18,27.31
19,43.03
20,146.13
21,17.52
22,17.88
24,96.11
25,11.63
27,21.52
30,19.87
31,20.04
32,140.0
34,129.68
36,18.0
38,15.8
39,154.71
40,51.55
41,43.46
42,85.54
43,177.33
44,15.1
45,120.22
46,35.31
48,126.56
49,20.61
50,125.05
51,16.33
55,32.74
56,115.46
58,11.99
59,14.49
60,15.32
62,98.5
64,11.01
65,124.43
66,104.89
68,28.64
69,46.43
71,4.56
72,7.65
73,72.82
75,4.98
76,57.89
78,12.03
79,79.0
82,16.98
83,61.25
84,12.59
85,5.64
87,28.21
89,22.73
90,29.98
91,168.05
92,34.02
93,63.68
94,63.68
97,1.51
98,87.34
99,87.34
100,61.39
101,27.96
102,10.09
103,8.54
105,38.43
106,5.75
107,22.33
109,14.08
110,21.44
111,25.69
112,393.8
114,146.9
115,393.8
116,1.8
117,14.1
120,49.66
121,393.8
122,173.52
123,16.68
124,8.35
125,29.5
126,25.69
128,398.24
129,19.45
131,36.06
132,19.13
134,10.65
136,113.17
137,159.95
138,91.95
140,37.48
141,5.75
144,94.03
145,14.94
146,21.44
150,131.41
152,20.4
153,36.05
156,70.68
157,111.36
158,31.45
159,117.59
160,48.34
161,144.3
162,15.27
164,11.18
165,2.13
167,19.77
168,16.2
170,22.03
171,88.34
172,62.57
174,24.66
175,48.27
177,103.47
180,131.46
181,7.45
182,31.86
184,62.57
187,26.66
188,21.95
190,3.56
191,84.73
192,109.57
193,5.94
194,121.11
195,2.97
198,13.57
199,132.91
202,39.86
203,183.58
204,782.7
205,9.52
206,93.96
207,107.63
208,150.16
209,57.97
210,120.33
211,42.75
213,114.88
214,34.84
215,161.82
219,120.41
220,118.16
223,37.81
224,209.07
225,21.07
228,2.69
229,15.98
230,7.79
231,43.92
232,3.11
235,13.96
236,8.43
237,17.6
240,43.65
244,34.51
245,9.14
247,13.69
248,61.55
249,3.76
250,28.82
254,13.69
255,125.82
256,4.78
260,11.91
262,61.55
263,8.17
264,0.27
265,1.67
267,17.97
268,22.62
269,187.31
270,10.59
271,5.01
277,1089.97
279,5.51
280,24.71
282,58.05
283,14.5
284,195.59
285,7.49
286,8.53
288,11.15
289,61.39
293,3.53
295,13.85
296,40.16
297,180.31
298,6.2
299,1.96
301,11.52
302,14.06
303,43.5
305,3.43
306,14.29
307,15.23
309,15.46
310,61.39
311,216.11
313,7.49
314,6.32
315,25.3
316,64.42
317,58.05
319,8.55
320,6.67
321,7.98
322,6.82
323,18.12
326,3.43
328,462.05
330,10.61
331,50.3
332,23.35
333,5.99
334,6.24
335,32.78
337,11.91
339,42.08
340,0.29
341,9.62
342,3.68
343,0.43
344,6.99
346,114.02
347,108.43
348,2.12
349,21.09
350,26.5
351,10.97
352,39.0
353,12.36
355,11.16
356,4.3
357,9.42
358,8.47
360,14.43
363,5.5
364,352.35
