,ì˙ï ,é¿ê—
1,2.899562810391368,2.0
2,1.9941489089740887,1.0
6,7.395301683155289,8.0
7,5.581975714569771,4.0
9,2.438907647325395,2.0
16,1.7411834126763706,2.0
17,1.8539650263621188,1.0
18,2.415563988033658,2.0
19,2.727735223746633,2.0
26,4.136158333201841,3.0
29,2.0283337892966453,1.0
30,2.107532872278706,2.0
31,2.155033163004876,2.0
32,2.155033163004876,1.0
38,1.484804766938895,2.0
41,1.9682266493285052,2.0
44,2.1702798075697762,2.0
45,2.174995680107945,1.0
54,2.6314107674046645,2.0
55,2.2896898742641363,2.0
56,1.7790798838913675,1.0
59,1.5939951356784356,2.0
61,2.556895224810811,1.0
66,1.7029031790176457,1.0
68,22.53629305315368,12.0
72,1.5175811617677508,2.0
73,1.6628168054994596,1.0
79,1.6986217100751275,1.0
84,2.8452297319568687,4.0
91,2.767987382114861,1.0
98,7.485814542662878,2.0
99,7.485814542662878,2.0
100,4.063082347424326,1.0
101,2.4925457228897945,2.0
103,15.251287894647042,14.0
105,15.65482991620575,14.0
107,3.162956129119813,2.0
119,29.560668797586267,29.0
120,16.30477631491891,14.0
122,5.029760816963992,2.0
124,29.81651943973414,30.0
129,2.3982988069703706,1.0
130,3.2993199743129806,2.0
138,7.4131458173715625,2.0
140,29.18393592022872,20.0
141,29.81651943973414,26.0
142,4.699748088174065,2.0
144,27.14973209616342,13.0
146,29.81651943973414,35.0
151,29.81651943973414,41.0
153,2.404273086933441,2.0
154,2.3778791022268826,1.0
155,2.458981164723036,2.0
163,2.682703820410604,1.0
166,6.642038885118112,6.0
171,1.5792819043848432,1.0
178,2.252828959447569,2.0
180,2.7465091553796865,1.0
181,3.4603849889659313,5.0
185,1.629806313237713,1.0
186,8.732911892667683,9.0
190,8.484370926879583,9.0
192,1.426029043516335,1.0
202,2.007540995129432,2.0
209,1.7286304898718878,2.0
212,2.0413609045240326,1.0
213,2.4494582246022167,1.0
215,2.677639063483,1.0
217,3.3561290824432835,1.0
221,2.357202055666964,2.0
235,3.28881222581178,8.0
239,7.473906867463047,7.0
240,2.136124041147966,2.0
243,12.0115906667053,14.0
249,28.160450743443796,27.0
251,24.629950778632043,26.0
254,2.81665404858042,2.0
255,3.00715052681018,1.0
266,24.75819004803218,27.0
269,2.412505321285233,1.0
272,29.86660240011866,1.0
274,29.93154393851431,2.0
275,2.412505321285233,1.0
276,2.412505321285233,2.0
280,30.46118311827836,41.0
282,2.412505321285233,2.0
283,2.136124041147966,1.0
286,30.001111991427507,32.0
287,26.761530156535535,30.0
288,29.93154393851431,32.0
292,30.001111991427507,33.0
296,2.412505321285233,2.0
298,27.565870025284095,29.0
301,24.75819004803218,28.0
307,24.75819004803218,29.0
309,26.703200868913626,31.0
312,31.548028730573424,32.0
314,27.565870025284095,30.0
328,3.9879144066637324,1.0
329,31.548028730573424,32.0
332,2.3557290189336966,2.0
333,14.95785220069855,20.0
339,2.0950483344673505,2.0
343,19.00774005649802,22.0
344,11.720965878482371,11.0
346,1.965586281454828,1.0
350,3.868828619322607,3.0
353,2.2041429467483944,2.0
357,19.00774005649802,23.0
358,10.614735911295615,10.0
363,4.551605802185657,6.0
