,“ú•Ê
0,20.53
1,56.29
2,66.13
3,11.32
4,58.01
7,45.23
14,34.69
17,20.81
18,167.15
30,1.62
34,6.95
35,46.76
38,79.39
40,37.52
42,39.98
47,46.31
50,58.17
57,27.89
66,34.07
81,37.82
82,13.77
83,119.1
86,45.02
87,47.2
89,47.27
95,26.93
99,135.99
101,86.8
104,6.17
105,14.18
106,2.76
108,58.57
110,1.49
111,0.81
113,70.84
116,0.23
117,31.71
121,40.49
126,9.68
129,43.04
133,16.48
134,89.31
138,161.57
139,3.04
144,13.19
148,1.89
151,1.46
159,21.98
160,16.95
164,0.38
167,34.88
168,8.99
176,2.71
178,7.02
181,182.8
185,43.87
186,38.02
195,53.84
196,42.1
201,499.71
202,29.18
203,7.03
210,13.41
214,122.06
215,123.33
220,49.38
226,9.43
228,32.82
229,11.43
230,31.62
236,19.86
237,2.58
242,11.4
243,27.01
251,3.51
253,11.03
255,64.25
256,2.42
264,6.08
268,20.59
270,22.67
274,539.96
279,4.67
281,13.86
282,47.38
283,134.79
284,73.95
285,1.57
288,0.96
290,145.11
292,11.61
296,9.5
305,3.46
306,11.93
309,5.07
316,22.79
318,25.39
322,0.6
323,3.56
326,3.71
327,7.73
329,1.68
331,76.84
334,24.1
335,33.76
341,9.01
347,131.92
354,115.97
359,53.22
362,67.5
364,335.65
