,ì˙ï ,é¿ê—
0,1.8062590179798053,1.0
1,1.9474848038533903,2.0
2,1.3097307336527286,1.0
4,2.3524351930112806,1.0
5,9.085022189050934,8.0
7,2.8780900121343764,2.0
8,4.854078477816443,3.0
9,1.4272427455341132,1.0
10,1.4096032687273186,1.0
13,2.3631054529790063,1.0
15,2.519173681119559,4.0
16,1.359995625032542,1.0
17,1.3504527187016535,1.0
21,2.5282773817795636,2.0
22,2.2633116889468803,1.0
25,2.5478737942915184,1.0
26,1.763791416041056,1.0
27,2.2343841869783567,2.0
28,1.4143427750223028,1.0
30,1.5378916221773145,1.0
32,1.0921389683472875,1.0
33,1.1469393243815589,1.0
34,1.657395642046314,2.0
35,1.2182404953836066,1.0
36,1.11768409042262,1.0
38,0.8449037907552015,1.0
41,1.5969170681840628,1.0
42,1.113528859916086,1.0
45,1.4218947762005674,1.0
46,1.3109793121191657,1.0
47,1.3141507268024264,2.0
48,1.0260707869387962,1.0
49,1.1198558948034147,1.0
50,1.364467854627685,1.0
52,1.4563445424765986,1.0
53,2.618197128598211,2.0
54,3.398691940052446,1.0
55,1.637799019626766,1.0
56,1.0606187341866191,1.0
57,1.5567834089753854,1.0
61,1.3257165612309114,1.0
62,1.6184174079273317,1.0
64,1.0837386966509233,1.0
65,1.5085770495302937,2.0
66,1.4522441969745514,1.0
68,10.050495717184015,11.0
69,9.528839220818325,9.0
70,5.908465100278799,10.0
71,4.775569431589545,7.0
72,0.9527705225008254,1.0
73,1.0187749102150265,1.0
75,4.590277840647366,8.0
76,1.4126795730644726,1.0
77,1.40677514005764,1.0
78,2.886589051702307,2.0
80,0.18685957137431955,1.0
82,3.0104426728250058,3.0
84,1.4141679784607926,1.0
86,0.7844150338032746,1.0
87,0.40319581535238924,1.0
90,1.0380373823337044,1.0
91,1.1818465623711316,1.0
93,0.6315287289925782,1.0
94,0.441899539862171,0.0
96,6.5557329577855095,6.0
98,2.0426964349485885,1.0
102,12.09563061223153,13.0
103,11.444533255118879,10.0
104,9.59521287723471,9.0
105,11.777001519359123,12.0
106,16.26055816028552,16.0
107,1.9306283713405494,1.0
108,2.327584112329738,1.0
110,16.26055816028552,19.0
111,16.26055816028552,17.0
112,2.6450401758880866,1.0
114,2.6450401758880866,1.0
116,15.656031620979658,13.0
118,15.863602419296333,18.0
119,16.26055816028552,21.0
121,2.6450401758880866,1.0
122,2.6450401758880866,0.0
123,16.26055816028552,17.0
124,16.26055816028552,21.0
127,16.26055816028552,20.0
128,2.259000949211785,1.0
129,1.9415448856534367,1.0
131,16.26055816028552,19.0
133,13.89779445825752,14.0
134,1.428636240863436,1.0
137,1.1292339495000858,1.0
138,2.0569523658395967,1.0
139,15.904324404345257,15.0
