,éûçèï ,é¿ê—
0,0.3466240595942091,0.0
2,0.25256135369300486,0.0
4,0.44802826860889977,1.0
5,-0.14125083691363524,0.0
7,0.2623950652521097,0.0
10,1.7588167750423844,1.0
11,0.3463722319705068,0.0
12,-0.09554266400352726,0.0
13,0.5941209778780449,1.0
17,0.4156093096201188,0.0
19,0.5041321529664309,0.0
20,0.7767728842929227,1.0
24,0.23948423290271273,0.0
26,0.38276902346934627,1.0
27,-0.023444461548180976,0.0
28,0.24157606542678667,0.0
29,0.2163737951969118,0.0
32,0.9408727916659603,1.0
34,-0.15885552547901247,0.0
35,-0.15546236938680563,0.0
37,0.10755607960514055,0.0
38,0.2570164201032735,1.0
39,0.03988103245666026,0.0
40,0.254006246414807,0.0
41,0.44239815652143305,0.0
42,0.30547110487989826,0.0
43,0.20889790319651066,0.0
44,0.6391952690499266,1.0
45,0.05706820902319682,0.0
48,0.13801919717297953,0.0
49,0.3041929452220117,1.0
50,0.034117680993754215,0.0
51,0.17626869024714809,0.0
52,0.29916521200694596,0.0
55,1.2249415683655824,1.0
56,1.3832762081894674,1.0
57,2.6223598906485965,4.0
58,4.281538204009943,5.0
59,3.053384262703051,3.0
60,2.978112843116783,3.0
61,2.6172754015272903,3.0
62,2.7149947326046604,3.0
65,1.7603436894966242,2.0
66,1.989270207832298,3.0
67,1.9592049123266693,3.0
68,1.8316767324872603,3.0
69,1.9204440208074325,3.0
70,0.43327509779381385,0.0
71,0.6526025414093443,0.0
72,0.3839270199376283,1.0
73,0.17014769911031516,0.0
75,0.15029426434668594,0.0
76,0.17216430621069692,0.0
77,0.17001586848303732,0.0
78,0.39705356026005983,1.0
79,0.7929445857260868,0.0
80,0.8217438597432494,0.0
81,1.769226335242215,2.0
82,2.7932470876607516,3.0
84,2.7985208700356434,3.0
87,2.7084288097441536,4.0
88,2.245722302349902,3.0
89,2.1080870126884945,3.0
90,2.139457549072472,3.0
91,0.7459569146017361,0.0
94,0.7185303531934212,1.0
95,0.4949183207475368,0.0
98,0.1435833366144668,0.0
99,0.6525519530594119,0.0
100,0.7591012757345044,1.0
102,0.3386110088580409,0.0
103,0.9676092889985747,0.0
104,0.23284859128866336,0.0
105,0.7688295189834728,1.0
106,2.0854089264650297,2.0
107,3.69527646550987,5.0
108,3.766228213109373,4.0
109,4.147525136395322,5.0
110,3.8004573266737904,5.0
112,3.6966548272166135,5.0
116,2.135388474884198,2.0
118,0.10068352508954258,0.0
119,0.11871091973467932,0.0
120,0.550719931856851,1.0
123,-0.061979190432207364,0.0
124,0.07688991123929803,0.0
126,-0.4289301027452514,0.0
127,-0.8235216769120249,0.0
128,0.5159609964981798,0.0
129,1.3656642384846498,0.0
131,1.0616090554654072,0.0
133,1.3244026426548339,1.0
134,1.7683109943557418,1.0
135,2.1983260012852077,3.0
136,2.833015151042807,3.0
137,2.453836758032694,3.0
138,2.4793725859766838,3.0
139,3.3197660740311066,4.0
140,3.3106748618387614,4.0
141,3.0549871187073965,3.0
142,0.5130165407003202,0.0
144,0.19385708685397215,0.0
146,0.287901107202866,0.0
147,0.20840613099903885,0.0
148,0.32070914361972,1.0
150,0.043073965980504864,0.0
151,0.13094275934364932,0.0
152,0.6776067594084185,0.0
153,1.017379212193365,0.0
154,2.2044067504190616,2.0
155,2.5949789822503417,3.0
156,2.2166125611366443,2.0
158,2.716795766306738,3.0
160,2.1610057987612032,4.0
164,0.8518278949395443,2.0
165,0.823634296515963,0.0
166,-0.06314238557831385,0.0
167,0.12762237182490532,0.0
169,0.01815357251394594,0.0
171,0.07570657357472536,0.0
172,0.410962028252334,0.0
173,0.5988726052357622,1.0
174,-0.03939485999064581,0.0
176,0.31355478331128195,0.0
177,1.00445698460583,0.0
179,3.1925478202889974,4.0
182,2.4242085287422768,3.0
185,3.730237644552026,6.0
187,2.9479720437835155,6.0
189,1.132961551187094,0.0
190,0.3079689505888758,0.0
191,0.24500519885214714,0.0
193,0.2183504874850345,0.0
194,0.45803977166025506,1.0
195,0.3690853524585758,0.0
196,0.2597369900177018,0.0
197,0.4611912446786617,0.0
198,0.11853859280912313,0.0
199,0.5889152471415421,1.0
201,0.44509921610536723,0.0
202,1.0733415730650528,0.0
