,éûçèï 
0,inf
4,inf
5,inf
6,inf
7,79.24
11,inf
16,inf
23,103.16
24,inf
25,inf
26,inf
28,inf
29,86.44
32,inf
41,inf
42,inf
43,inf
46,inf
47,inf
48,inf
52,inf
56,83.31
60,inf
65,inf
67,85.21
78,79.87
85,inf
91,inf
95,inf
102,inf
106,inf
109,inf
113,inf
117,inf
120,inf
121,81.07
123,inf
128,inf
136,inf
137,109.16
143,inf
148,inf
150,inf
155,inf
164,inf
165,inf
166,inf
167,inf
172,inf
173,93.88
175,inf
176,inf
177,inf
180,inf
184,86.39
185,inf
188,inf
189,84.99
190,inf
199,inf
203,inf
206,inf
210,120.47
219,inf
221,62.5
225,inf
226,24.7
230,inf
237,inf
241,inf
244,inf
247,70.25
249,inf
250,inf
252,104.97
253,inf
259,inf
263,95.1
267,inf
270,inf
277,inf
279,inf
280,inf
284,79.78
287,inf
289,83.21
290,inf
293,inf
294,inf
297,inf
298,inf
299,inf
301,inf
303,inf
305,inf
306,78.18
309,inf
310,inf
312,inf
317,inf
319,inf
320,inf
322,79.62
325,inf
330,inf
335,inf
337,inf
338,69.29
341,inf
343,95.73
345,inf
353,inf
356,inf
357,inf
358,inf
359,inf
369,inf
371,inf
373,inf
374,inf
375,inf
376,97.59
378,inf
381,75.16
382,inf
385,inf
386,inf
392,75.91
396,inf
397,inf
401,inf
403,67.23
408,inf
410,inf
412,inf
414,70.16
415,inf
419,93.38
423,inf
429,inf
431,inf
434,inf
435,106.05
436,inf
441,84.59
443,inf
446,78.38
451,65.18
452,inf
454,inf
456,inf
459,inf
468,59.75
470,inf
471,inf
474,inf
479,87.62
482,inf
483,inf
486,inf
488,inf
489,70.48
492,inf
494,inf
498,inf
501,inf
510,inf
511,127.4
514,inf
516,inf
517,64.84
519,inf
524,inf
526,inf
527,inf
532,inf
534,inf
538,105.49
540,inf
545,inf
552,inf
566,81.47
571,80.13
578,inf
579,inf
581,inf
583,inf
584,inf
591,inf
594,inf
600,inf
610,inf
612,inf
621,inf
630,inf
631,49.37
633,inf
635,inf
638,inf
642,84.63
649,inf
652,94.0
653,inf
656,inf
661,inf
664,inf
665,inf
667,inf
675,inf
682,inf
686,inf
688,inf
689,inf
694,inf
696,84.78
698,inf
700,inf
703,inf
705,inf
710,inf
711,inf
714,inf
717,inf
720,inf
723,95.56
725,inf
726,inf
733,inf
735,inf
744,inf
745,85.38
751,inf
758,inf
760,inf
762,inf
768,inf
776,inf
780,inf
781,inf
783,inf
786,inf
789,inf
801,inf
805,inf
807,inf
814,inf
820,90.49
829,inf
836,inf
837,89.59
840,inf
844,inf
845,inf
847,131.08
854,inf
855,inf
856,inf
859,inf
877,inf
880,46.02
882,inf
885,84.57
888,inf
889,inf
893,inf
896,87.63
898,inf
899,inf
900,inf
904,inf
907,74.35
908,inf
909,inf
914,inf
917,inf
918,67.69
922,35.12
923,140.36
925,66.97
930,inf
951,16.69
954,73.93
956,70.83
958,inf
962,91.79
963,inf
964,inf
965,inf
971,77.18
974,inf
980,inf
981,inf
984,76.84
992,inf
996,44.69
997,10.73
1002,71.18
1003,inf
1005,inf
1011,inf
1013,82.6
1014,inf
1015,inf
1016,inf
1017,inf
1019,81.37
1024,64.05
1031,inf
1032,inf
1036,89.06
1039,inf
1040,inf
1048,18.95
1049,5.41
1056,inf
1058,inf
1059,inf
1060,90.04
1064,inf
1069,1.22
1070,83.16
1072,inf
1077,inf
1078,inf
1079,inf
1086,86.02
1088,inf
1089,inf
1101,inf
1102,inf
1105,inf
1106,inf
1107,inf
1111,inf
1113,47.91
1118,79.09
1124,53.76
1126,81.02
1127,inf
1128,inf
1130,inf
1135,inf
1139,44.55
1142,49.55
1145,54.22
1146,57.97
1147,47.87
1151,inf
1153,inf
1156,inf
1158,inf
1159,inf
1160,84.19
1162,inf
1163,63.3
1166,13.89
1170,58.09
1176,inf
1177,inf
1178,inf
1192,38.89
1194,44.23
1200,inf
1201,87.25
1203,inf
1204,inf
1205,inf
1206,inf
1211,149.29
1213,20.33
1221,inf
1222,inf
1224,inf
1228,inf
1230,inf
1232,inf
1233,inf
1234,inf
1235,inf
1237,64.23
1240,inf
1241,inf
1242,inf
1243,72.27
1245,inf
1246,inf
1248,inf
1253,inf
1259,70.59
1261,31.33
1262,26.9
1263,14.1
1267,inf
1269,inf
1272,inf
1274,inf
1278,inf
1279,inf
1281,16.44
1286,1.35
1287,24.77
1288,41.39
1290,44.32
1294,inf
1296,inf
1297,inf
1298,inf
1306,21.63
1309,41.85
1310,22.45
1312,54.58
1313,14.23
1317,62.45
1320,inf
1327,inf
1329,6.03
1334,34.77
1335,3.54
1336,36.94
1338,49.59
1340,inf
1341,51.95
1345,inf
1354,57.82
1358,26.05
1362,46.16
1368,inf
1374,inf
1380,84.04
1384,30.22
1392,inf
1393,inf
1399,inf
1403,inf
1405,23.2
1408,26.45
1410,43.16
1411,inf
1414,77.3
1416,inf
1417,inf
1418,inf
1421,inf
1422,85.42
1423,78.76
1425,0.29
1428,51.99
1431,57.03
1433,53.44
1434,inf
1436,inf
1438,inf
1439,inf
1440,inf
1443,inf
1445,inf
1446,inf
1452,55.69
1453,31.62
1457,18.43
1458,48.11
1460,inf
1462,inf
1464,inf
1467,inf
1469,inf
1471,84.03
1472,inf
1476,2.97
1477,30.34
1480,124.05
1481,5.45
1482,71.05
1485,inf
1487,inf
1489,79.44
1493,inf
1496,inf
1497,111.03
1499,21.26
1500,12.97
1501,30.95
1504,33.63
1506,29.83
1510,inf
1512,inf
1513,inf
1518,inf
1519,inf
1522,15.97
1524,14.78
1525,8.96
1528,21.98
1539,inf
1544,inf
1545,48.65
1547,21.08
1548,26.22
1549,24.36
1560,inf
1561,inf
1562,74.37
1565,inf
1570,inf
1573,8.97
1578,45.16
1580,inf
1587,inf
1588,inf
1589,inf
1595,inf
1596,inf
1600,inf
1602,inf
1603,inf
1605,86.31
1607,inf
1608,inf
1609,inf
1612,inf
1613,inf
1614,inf
1615,inf
1618,22.34
1619,6.14
1622,2.65
1623,21.03
1624,29.44
1627,40.96
1629,59.64
1637,inf
1639,inf
1643,71.09
1644,27.83
1651,173.31
1656,inf
1658,inf
1664,inf
1665,34.27
1666,15.24
1675,16.38
1678,inf
1680,inf
1684,inf
1688,inf
1698,54.42
1706,inf
1709,inf
1710,inf
1722,43.65
1727,inf
1739,50.12
1740,8.22
1742,47.19
1744,46.68
1748,74.09
1751,inf
1754,inf
1755,inf
1757,inf
1761,34.21
1764,169.28
1771,inf
1774,68.17
1775,inf
1782,inf
1787,3.69
1791,3.97
1795,14.82
1796,37.7
1798,inf
1810,12.68
1817,47.66
1819,37.89
1822,inf
1825,inf
1826,inf
1829,82.92
1831,inf
1837,18.98
1839,1.58
1840,47.9
1845,67.78
1847,inf
1849,inf
1852,inf
1859,5.25
1860,8.58
1863,4.03
1872,81.73
1873,inf
1877,inf
1889,284.73
1894,72.4
1895,inf
1898,inf
1900,85.21
1901,inf
1903,inf
1906,inf
1909,inf
1916,73.54
1918,inf
1920,inf
1926,inf
1929,inf
1930,inf
1932,34.77
1936,28.97
1938,36.45
1943,inf
1945,inf
1953,7.12
1960,32.13
1962,7.67
1963,13.17
1971,inf
1974,inf
1975,inf
1984,43.89
1986,79.31
1988,67.13
1993,inf
1994,inf
1995,inf
1997,inf
2000,inf
2005,27.85
2007,11.73
2010,4.15
2013,37.0
2015,inf
2016,inf
2021,inf
2022,inf
2027,1.05
2029,3.1
2031,10.93
2033,39.55
2036,64.85
