,éûçèï ,é¿ê—
1,0.11288390059049998,0.0
2,0.07777959948786471,1.0
5,0.11339348287859369,0.0
6,0.056150559533171884,0.0
10,0.030060639943963945,0.0
13,0.12761552404162754,0.0
14,0.26571382387712,0.0
17,0.1305973247305433,1.0
22,0.09697876738238354,0.0
25,0.12107767747024391,1.0
27,0.08747238431709488,0.0
31,0.11168690975019975,0.0
35,0.06429299683713587,0.0
36,0.11065199230095485,0.0
43,0.1160036806888293,0.0
46,0.21815377533438438,0.0
49,0.14135515792977485,0.0
60,0.2235295965940899,0.0
62,0.2059020414194253,0.0
67,0.24292920569259413,0.0
68,0.21270071240017563,0.0
69,0.21062211076787551,0.0
71,0.34284140488104425,0.0
73,0.1642960826432359,0.0
74,0.1323720039252794,0.0
76,0.10578641941355908,0.0
78,0.07711300719232518,1.0
82,0.06890081502882468,0.0
84,0.06935039660667824,0.0
85,-0.03798865547979775,1.0
87,0.21224802406905993,0.0
88,0.25581419543159173,0.0
93,0.26157600244337464,1.0
96,0.04992813300111415,0.0
98,0.19668722020299367,0.0
102,0.1161998077478579,0.0
106,-0.027085815143456888,0.0
109,0.5815968824653518,0.0
114,-0.03727983956328785,0.0
115,0.03190197857320069,1.0
120,0.24800054031600186,0.0
121,0.17914013092895043,0.0
125,0.20296671993980508,0.0
130,0.06978243203559804,1.0
135,0.13592212646487672,0.0
136,0.31700334620151605,0.0
139,0.11401812990612006,0.0
140,0.1254175050279548,0.0
146,0.14573935971175958,0.0
148,0.14003168069620017,0.0
149,0.17156316721717826,0.0
150,-0.10909580908576517,0.0
154,0.0037511876177111205,0.0
157,0.13755737013012304,0.0
165,0.08569085032754582,0.0
168,0.22712702848534547,1.0
171,0.14039133497431966,0.0
172,0.10354163691350868,0.0
182,0.2397412525819558,0.0
183,0.026744928023402816,1.0
186,0.0932129509138292,0.0
187,0.12871395574158717,0.0
188,0.17324251341786728,0.0
190,0.17577937024243398,0.0
193,0.13503860251061336,0.0
194,0.09262397002378141,0.0
195,0.10872924370014915,0.0
196,0.12504237816331504,0.0
203,0.06307673541480255,0.0
204,-0.13720862406880527,0.0
205,-0.10300137984348771,0.0
206,-0.10614955464785898,1.0
207,0.24217831836956943,0.0
209,0.31975717189060526,0.0
210,-0.08262789427344402,0.0
212,0.25439817473746396,0.0
215,0.44849204893732325,0.0
216,-0.04819318785207894,0.0
217,0.1892733088051894,0.0
218,-0.055601600075022094,0.0
220,0.5792693210291479,0.0
221,0.33232499145190286,1.0
223,0.19455572823989364,0.0
225,0.085929397652835,0.0
226,-0.10690162547681963,0.0
230,-0.10235956818384792,0.0
231,0.005593942403864245,0.0
237,0.29854609464751064,0.0
238,0.2605289715275754,0.0
245,0.16518675723513684,0.0
247,0.29014024750449346,0.0
250,-0.06362857339824246,0.0
251,0.14411763792497298,0.0
255,0.20420947559079358,1.0
258,0.35879775137279424,0.0
262,0.23199126881761803,0.0
268,0.15133984041451676,0.0
270,0.13924637520779395,1.0
273,0.029077848289507036,0.0
276,0.2919040087823411,0.0
277,0.2898065021073277,0.0
284,0.06094771784700094,0.0
288,0.15771262395424895,0.0
289,0.20839478620736587,0.0
290,0.20453771465713713,0.0
297,0.11248405655003871,0.0
298,0.14202356569118693,0.0
308,0.12851241620002546,1.0
311,0.03562189035603474,0.0
314,0.15666189703840303,0.0
326,0.6206745204905821,0.0
328,0.3685081487551766,0.0
