,éûçèï 
1,inf
2,inf
3,inf
8,inf
9,inf
10,54.99
12,inf
13,inf
14,inf
15,inf
17,inf
18,inf
19,inf
20,inf
21,39.22
22,inf
27,inf
30,inf
31,inf
33,inf
34,inf
35,inf
36,inf
37,inf
38,inf
39,inf
40,inf
44,inf
45,inf
49,inf
50,inf
51,inf
53,51.74
54,inf
55,inf
57,inf
58,inf
59,inf
61,inf
62,inf
63,inf
64,73.26
66,inf
68,inf
69,inf
70,inf
71,inf
72,inf
73,inf
74,inf
75,77.46
76,inf
77,inf
79,inf
80,inf
81,inf
82,inf
83,inf
84,inf
86,53.03
87,inf
88,inf
89,inf
90,inf
92,inf
93,inf
94,inf
96,inf
97,48.94
98,inf
99,inf
100,inf
101,inf
103,inf
104,inf
105,inf
107,46.84
108,inf
110,inf
111,inf
112,inf
114,inf
115,inf
116,inf
118,36.61
119,inf
122,inf
124,inf
125,inf
126,inf
127,inf
129,inf
130,inf
131,20.26
132,28.24
133,9.38
134,20.61
135,43.55
138,inf
139,inf
140,inf
141,inf
142,inf
144,73.76
145,inf
146,inf
147,inf
149,inf
151,inf
152,inf
153,inf
154,inf
156,inf
157,inf
158,inf
159,inf
160,inf
161,inf
162,inf
163,inf
168,inf
169,inf
170,inf
171,inf
174,inf
178,inf
179,inf
181,inf
182,inf
183,inf
186,63.13
187,inf
191,inf
192,inf
193,inf
194,inf
195,inf
196,inf
197,19.96
198,inf
200,inf
201,inf
202,inf
204,inf
205,inf
207,inf
208,24.54
209,inf
211,inf
212,inf
213,inf
214,inf
215,inf
216,inf
217,inf
218,14.92
220,inf
222,inf
223,inf
224,inf
227,inf
228,11.62
229,inf
231,inf
232,inf
233,inf
234,inf
235,24.27
236,46.05
238,inf
239,inf
240,inf
242,inf
243,inf
245,35.18
246,inf
248,inf
251,inf
254,inf
255,57.25
256,inf
257,36.16
258,34.87
260,39.15
261,51.94
262,inf
264,50.31
265,inf
266,inf
268,inf
269,inf
271,inf
272,inf
273,inf
274,inf
275,42.76
276,inf
278,inf
281,inf
282,inf
283,inf
285,inf
286,55.46
288,inf
291,inf
292,inf
295,inf
296,45.75
300,inf
302,inf
304,inf
307,64.46
308,inf
311,inf
313,inf
314,inf
315,inf
316,inf
318,65.94
321,inf
323,inf
324,inf
326,inf
327,inf
328,inf
329,37.75
331,inf
332,inf
333,inf
334,inf
336,inf
339,29.22
340,inf
342,inf
344,inf
346,inf
347,inf
348,inf
349,inf
350,54.5
351,inf
352,inf
354,inf
355,inf
360,35.95
361,inf
362,inf
363,inf
364,inf
365,inf
366,inf
367,inf
368,inf
370,inf
372,inf
377,inf
379,inf
380,inf
383,inf
384,inf
387,inf
388,inf
389,inf
390,inf
391,inf
393,inf
394,inf
395,inf
398,inf
399,inf
400,inf
402,inf
404,inf
405,inf
406,inf
407,inf
409,inf
411,inf
413,inf
416,inf
417,inf
418,inf
420,inf
421,inf
422,inf
424,9.24
425,inf
426,21.98
427,7.43
428,27.77
430,inf
432,inf
433,inf
437,inf
438,inf
439,inf
440,inf
442,26.98
444,inf
445,inf
447,inf
448,inf
449,inf
450,inf
453,50.33
455,inf
457,inf
458,inf
460,inf
461,inf
462,inf
463,inf
464,22.79
465,inf
466,inf
467,inf
469,inf
472,inf
473,inf
475,39.65
476,inf
477,inf
478,inf
480,inf
481,inf
484,inf
485,78.16
487,inf
490,inf
491,inf
493,inf
495,inf
496,28.24
497,inf
499,inf
500,inf
502,inf
503,inf
504,inf
505,inf
506,inf
507,39.62
508,inf
509,inf
512,inf
513,inf
515,inf
518,9.64
520,inf
521,inf
522,inf
523,inf
525,inf
528,inf
529,74.24
530,inf
531,inf
533,inf
535,inf
536,inf
537,inf
539,inf
541,inf
542,inf
543,inf
544,inf
546,inf
547,inf
548,inf
549,inf
550,60.46
551,inf
553,inf
554,inf
555,inf
556,inf
557,inf
558,inf
559,inf
560,inf
561,54.18
562,inf
563,inf
564,inf
565,inf
567,inf
568,inf
569,inf
570,inf
572,59.85
573,inf
574,inf
575,inf
576,inf
577,inf
580,inf
582,inf
585,inf
586,inf
587,inf
588,inf
589,inf
590,inf
592,inf
593,inf
595,inf
596,inf
597,inf
598,inf
599,inf
601,inf
602,inf
603,inf
604,27.92
605,inf
606,inf
607,inf
608,inf
609,inf
611,inf
613,inf
614,inf
615,26.18
616,inf
617,inf
618,inf
619,inf
620,inf
622,inf
623,inf
624,inf
625,inf
626,34.73
627,inf
628,inf
629,inf
632,inf
634,inf
636,29.36
637,inf
639,inf
640,inf
641,inf
643,inf
644,inf
645,inf
646,inf
647,49.32
648,inf
650,inf
651,inf
654,inf
655,inf
657,inf
658,32.04
659,inf
660,inf
662,inf
663,inf
666,inf
668,inf
669,71.49
670,inf
671,inf
672,inf
673,inf
674,inf
676,inf
677,inf
678,inf
679,inf
680,73.43
681,inf
683,inf
684,inf
685,inf
687,inf
690,62.03
691,inf
692,inf
693,inf
695,inf
697,inf
699,inf
701,70.17
702,inf
704,inf
706,inf
707,inf
708,inf
709,inf
712,55.53
713,inf
715,inf
716,inf
718,inf
719,inf
721,inf
722,inf
724,inf
727,inf
728,inf
729,inf
730,inf
731,inf
732,inf
734,52.57
736,inf
737,inf
738,inf
739,inf
740,inf
741,inf
742,inf
743,inf
746,inf
747,inf
748,inf
749,inf
750,inf
752,inf
753,inf
754,inf
755,58.72
756,inf
757,inf
759,inf
761,inf
763,inf
764,inf
765,inf
766,37.98
767,inf
769,inf
770,inf
771,inf
772,inf
773,inf
774,inf
775,inf
777,7.5
778,inf
779,inf
782,inf
784,inf
785,inf
787,41.36
788,inf
790,inf
791,inf
792,inf
793,inf
794,inf
795,inf
796,inf
797,inf
798,37.34
799,inf
800,inf
802,inf
803,inf
804,inf
806,inf
808,inf
809,47.45
810,inf
811,inf
812,inf
813,inf
815,inf
816,inf
817,inf
818,inf
819,inf
821,inf
822,inf
823,inf
824,inf
825,inf
826,inf
827,inf
828,inf
830,inf
831,50.81
832,inf
833,inf
834,inf
835,inf
838,inf
839,inf
841,77.68
842,inf
843,inf
846,inf
848,inf
849,inf
850,inf
851,inf
852,37.61
853,inf
857,inf
858,inf
860,inf
861,inf
862,inf
863,83.87
864,inf
865,inf
866,inf
867,inf
868,inf
869,inf
870,inf
871,inf
872,inf
873,inf
874,73.7
875,inf
876,inf
878,inf
879,inf
881,inf
883,inf
884,inf
886,inf
887,inf
890,inf
891,inf
892,inf
894,inf
895,inf
897,inf
901,inf
902,inf
903,inf
905,inf
906,inf
910,inf
911,inf
912,inf
913,inf
915,inf
916,inf
919,inf
920,inf
921,inf
924,inf
926,inf
927,inf
928,inf
929,56.13
931,inf
932,inf
933,inf
934,inf
935,inf
936,inf
937,inf
938,inf
939,39.64
940,inf
941,inf
942,inf
943,inf
944,inf
945,inf
946,inf
947,inf
948,inf
949,54.9
950,inf
952,inf
953,69.65
955,inf
957,inf
959,inf
960,inf
961,inf
966,inf
967,inf
968,inf
969,inf
970,inf
972,inf
973,inf
975,inf
976,inf
977,28.57
978,inf
979,inf
982,inf
983,inf
985,inf
986,inf
987,inf
988,inf
989,73.93
990,inf
991,inf
993,inf
994,inf
995,inf
998,inf
999,inf
1000,inf
1001,50.5
1004,inf
1006,inf
1007,inf
1008,inf
1009,inf
1010,inf
1012,inf
1018,inf
1020,inf
1021,inf
1022,inf
1023,inf
1025,49.6
1026,inf
1027,inf
1028,inf
1029,inf
1030,inf
1033,inf
1034,inf
1035,inf
1037,69.24
1038,inf
1041,inf
1042,inf
1043,inf
1044,inf
1045,inf
1046,inf
1047,inf
1050,94.76
1051,inf
1052,inf
1053,inf
1054,inf
1055,inf
1057,inf
1061,inf
1062,82.55
1063,inf
1065,inf
1066,inf
1067,inf
1068,inf
1071,inf
1073,inf
1074,83.13
1075,inf
1076,inf
1080,inf
1081,inf
1082,inf
1083,inf
1084,inf
1085,inf
1087,inf
1090,inf
1091,inf
1092,inf
1093,inf
1094,inf
1095,inf
1096,inf
1097,inf
1098,inf
1099,64.37
1100,inf
1103,inf
1104,inf
1108,inf
1109,inf
1110,inf
1112,inf
1114,inf
1115,inf
1116,inf
1117,inf
1119,48.03
1120,67.47
1121,45.52
1122,inf
1123,inf
1125,inf
1129,inf
1131,inf
1132,inf
1133,inf
1134,inf
1136,inf
1137,67.52
1138,inf
1140,inf
1141,inf
1143,inf
1144,inf
1148,75.96
1149,inf
1150,inf
1152,inf
1154,inf
1155,inf
1157,inf
1161,inf
1164,inf
1165,inf
1167,inf
1168,inf
1169,inf
1171,inf
1172,72.84
1173,inf
1174,inf
1175,inf
1179,inf
1180,inf
1181,inf
1182,inf
1183,inf
1184,58.91
1185,inf
1186,inf
1187,inf
1188,inf
1189,inf
1190,inf
1191,inf
1193,inf
1195,inf
1196,75.93
1197,inf
1198,inf
1199,inf
1202,inf
1207,inf
1208,inf
1209,29.47
1210,inf
1212,inf
1214,inf
1215,inf
1216,inf
1217,inf
1218,inf
1219,inf
1220,inf
1223,inf
1225,inf
1226,inf
1227,inf
1229,inf
1231,inf
1236,inf
1238,inf
1239,inf
1244,inf
1247,inf
1249,inf
1250,inf
1251,inf
1252,inf
1254,inf
1255,inf
1256,inf
1257,72.55
1258,inf
1260,inf
1264,inf
1265,inf
1266,inf
1268,inf
1270,inf
1271,inf
1273,inf
1275,inf
1276,inf
1277,inf
1280,inf
1282,inf
1283,inf
1284,inf
1285,inf
1289,inf
1291,74.88
1292,inf
1293,inf
1295,inf
1299,inf
1300,inf
1301,inf
1302,inf
1303,43.66
1304,inf
1305,inf
1307,inf
1308,inf
1311,inf
1314,inf
1315,inf
1316,73.44
1318,inf
1319,inf
1321,inf
1322,inf
1323,inf
1324,inf
1325,inf
1326,inf
1328,25.95
1330,inf
1331,inf
1332,inf
1333,inf
1337,inf
1339,inf
1342,inf
1343,inf
1344,inf
1346,inf
1347,inf
1348,inf
1349,inf
1350,inf
1351,inf
1352,65.42
1353,inf
1355,inf
1356,inf
1357,inf
1359,inf
1360,inf
1361,inf
1363,inf
1364,inf
1365,76.95
1366,inf
1367,inf
1369,inf
1370,inf
1371,inf
1372,inf
1373,inf
1375,inf
1376,inf
1377,41.59
1378,inf
1379,inf
1381,44.84
1382,57.13
1383,22.77
1385,inf
1386,inf
1387,inf
1388,inf
1389,inf
1390,inf
1391,inf
1394,inf
1395,inf
1396,80.69
1397,inf
1398,inf
1400,inf
1401,inf
1402,inf
1404,inf
1406,inf
1407,inf
1409,inf
1412,inf
1413,inf
1415,inf
1419,inf
1420,inf
1424,inf
1426,inf
1427,inf
1429,inf
1430,inf
1432,inf
1435,inf
1437,inf
1441,inf
1442,inf
1444,inf
1447,inf
1448,inf
1449,inf
1450,inf
1451,inf
1454,inf
1455,19.69
1456,inf
1459,28.44
1461,inf
1463,inf
1465,inf
1466,inf
1468,inf
1470,inf
1473,inf
1474,inf
1475,inf
1478,inf
1479,inf
1483,42.28
1484,inf
1486,inf
1488,inf
1490,inf
1491,inf
1492,inf
1494,inf
1495,inf
1498,inf
1502,inf
1503,inf
1505,inf
1507,inf
1508,62.69
1509,inf
1511,inf
1514,inf
1515,inf
1516,inf
1517,inf
1520,49.49
1521,inf
1523,inf
1526,inf
1527,inf
1529,inf
1530,inf
1531,inf
1532,64.57
1533,inf
1534,inf
1535,inf
1536,inf
1537,inf
1538,inf
1540,inf
1541,inf
1542,inf
1543,inf
1546,inf
1550,inf
1551,inf
1552,inf
1553,inf
1554,inf
1555,inf
1556,54.39
1557,inf
1558,inf
1559,inf
1563,inf
1564,inf
1566,inf
1567,inf
1568,inf
1569,75.16
1571,inf
1572,inf
1574,inf
1575,inf
1576,inf
1577,inf
1579,inf
1581,43.38
1582,inf
1583,inf
1584,inf
1585,inf
1586,inf
1590,inf
1591,inf
1592,inf
1593,75.64
1594,inf
1597,inf
1598,inf
1599,inf
1601,inf
1604,inf
1606,inf
1610,inf
1611,inf
1616,inf
1617,57.6
1620,inf
1621,inf
1625,inf
1626,inf
1628,inf
1630,inf
1631,inf
1632,inf
1633,inf
1634,inf
1635,inf
1636,inf
1638,24.98
1640,13.85
1641,inf
1642,9.0
1645,17.15
1646,6.48
1647,19.85
1648,50.46
1649,2.0
1650,inf
1652,inf
1653,inf
1654,57.68
1655,inf
1657,inf
1659,inf
1660,inf
1661,inf
1662,inf
1663,4.67
1667,inf
1668,16.22
1669,27.99
1670,2.56
1671,47.87
1672,10.26
1673,28.38
1674,inf
1676,inf
1677,inf
1679,inf
1681,inf
1682,inf
1683,86.39
1685,inf
1686,inf
1687,44.51
1689,26.2
1690,inf
1691,inf
1692,inf
1693,inf
1694,inf
1695,13.98
1696,20.29
1697,28.48
1699,inf
1700,inf
1701,inf
1702,inf
1703,inf
1704,inf
1705,inf
1707,80.96
1708,inf
1711,inf
1712,31.35
1713,21.49
1714,28.69
1715,31.8
1716,20.05
1717,14.26
1718,4.41
1719,12.02
1720,27.0
1721,34.93
1723,47.56
1724,inf
1725,inf
1726,inf
1728,inf
1729,inf
1730,inf
1731,inf
1732,inf
1733,inf
1734,inf
1735,inf
1736,67.45
1737,inf
1738,inf
1741,inf
1743,inf
1745,inf
1746,inf
1747,inf
1749,inf
1750,inf
1752,inf
1753,inf
1756,inf
1758,inf
1759,inf
1760,15.11
1762,inf
1763,inf
1765,inf
1766,inf
1767,inf
1768,inf
1769,inf
1770,inf
1772,60.46
1773,inf
1776,inf
1777,inf
1778,inf
1779,inf
1780,inf
1781,inf
1783,inf
1784,inf
1785,42.16
1786,inf
1788,inf
1789,inf
1790,inf
1792,inf
1793,inf
1794,inf
1797,83.29
1799,inf
1800,inf
1801,inf
1802,inf
1803,inf
1804,inf
1805,inf
1806,50.04
1807,inf
1808,inf
1809,5.43
1811,10.96
1812,inf
1813,1.34
1814,0.86
1815,14.55
1816,7.47
1818,inf
1820,inf
1821,inf
1823,inf
1824,inf
1827,inf
1828,inf
1830,inf
1832,inf
1833,inf
1834,inf
1835,inf
1836,inf
1838,inf
1841,49.09
1842,inf
1843,inf
1844,inf
1846,inf
1848,inf
1850,81.67
1851,inf
1853,inf
1854,inf
1855,inf
1856,inf
1857,inf
1858,inf
1861,inf
1862,51.07
1864,inf
1865,inf
1866,inf
1867,inf
1868,inf
1869,inf
1870,inf
1871,inf
1874,inf
1875,92.03
1876,inf
1878,inf
1879,inf
1880,inf
1881,inf
1882,inf
1883,inf
1884,inf
1885,45.6
1886,inf
1887,7.67
1888,inf
1890,inf
1891,inf
1892,inf
1893,inf
1896,inf
1897,inf
1899,inf
1902,83.36
1904,inf
1905,inf
1907,inf
1908,inf
1910,inf
1911,inf
1912,65.25
1913,inf
1914,inf
1915,inf
1917,inf
1919,inf
1921,inf
1922,inf
1923,inf
1924,69.27
1925,inf
1927,inf
1928,inf
1931,inf
1933,inf
1934,inf
1935,inf
1937,inf
1939,inf
1940,inf
1941,inf
1942,inf
1944,inf
1946,inf
1947,inf
1948,83.9
1949,inf
1950,inf
1951,inf
1952,inf
1954,inf
1955,inf
1956,inf
1957,inf
1958,3.82
1959,3.0
1961,inf
1964,inf
1965,inf
1966,73.95
1967,inf
1968,inf
1969,inf
1970,inf
1972,inf
1973,inf
1976,inf
1977,29.91
1978,inf
1979,inf
1980,0.33
1981,25.55
1982,inf
1983,29.18
1985,50.54
1987,inf
1989,inf
1990,inf
1991,inf
1992,inf
1996,inf
1998,inf
1999,inf
2001,inf
2002,26.78
2003,inf
2004,inf
2006,29.08
2008,inf
2009,inf
2011,inf
2012,71.3
