,éûçèï 
0,inf
1,inf
2,inf
3,81.65
4,inf
5,inf
7,inf
8,57.34
9,inf
10,inf
11,inf
12,inf
14,inf
15,inf
16,46.19
17,inf
18,inf
19,inf
20,inf
21,inf
23,61.64
24,inf
26,inf
27,inf
28,inf
29,inf
31,inf
32,inf
35,inf
37,inf
38,58.98
39,inf
43,inf
45,74.96
46,inf
47,inf
48,inf
49,inf
51,inf
52,70.14
53,inf
54,inf
55,59.43
56,inf
57,inf
58,inf
59,inf
60,39.62
61,43.15
62,inf
64,inf
65,inf
66,inf
67,77.69
68,inf
69,inf
70,inf
71,inf
72,inf
73,inf
74,79.68
76,inf
77,inf
78,inf
79,inf
80,inf
81,51.15
84,inf
85,inf
89,77.52
91,inf
94,inf
96,46.99
97,inf
99,inf
100,inf
101,inf
103,inf
104,inf
108,60.37
109,inf
110,inf
112,inf
114,inf
115,76.47
117,inf
119,inf
120,inf
121,inf
122,73.69
124,inf
125,inf
126,15.05
127,22.64
129,26.33
130,38.86
131,inf
133,43.88
134,inf
135,inf
136,inf
137,inf
138,inf
139,inf
142,inf
143,inf
145,inf
146,inf
148,inf
149,inf
150,20.81
151,17.61
152,55.25
153,26.1
154,60.6
155,32.65
157,inf
158,inf
161,inf
162,inf
163,inf
164,inf
165,inf
166,inf
168,inf
169,inf
170,inf
173,inf
174,50.04
175,15.35
176,18.12
177,5.47
180,40.74
181,inf
184,inf
186,inf
187,inf
188,inf
192,inf
194,inf
195,inf
196,inf
198,13.13
199,36.32
200,36.72
201,19.72
202,3.62
204,10.1
205,30.83
206,inf
207,36.79
208,inf
211,44.56
212,7.22
213,3.35
214,18.09
216,47.77
218,inf
219,inf
220,inf
222,4.77
224,inf
225,inf
226,inf
227,inf
229,inf
230,53.1
231,inf
232,inf
233,inf
234,inf
237,73.49
239,inf
240,inf
241,inf
242,inf
243,inf
244,66.77
245,inf
246,inf
247,inf
249,inf
250,inf
251,51.89
252,inf
254,inf
257,inf
262,inf
264,inf
265,inf
266,74.93
267,inf
268,inf
270,34.07
271,33.87
273,56.37
275,inf
276,23.08
278,inf
279,inf
280,inf
281,69.61
282,inf
284,inf
285,inf
286,inf
287,inf
288,76.89
289,inf
290,inf
293,inf
294,inf
297,38.74
298,inf
299,inf
300,inf
301,inf
303,inf
304,inf
305,inf
307,inf
309,inf
312,inf
313,inf
314,inf
315,inf
316,inf
318,inf
319,inf
320,inf
322,38.64
323,inf
325,inf
330,inf
331,inf
332,inf
334,inf
335,inf
336,inf
337,inf
338,inf
339,inf
340,50.37
341,inf
342,36.46
343,3.05
345,2.93
348,21.5
349,13.76
350,inf
352,inf
353,inf
354,inf
355,62.89
356,inf
357,inf
358,inf
359,inf
360,inf
361,inf
362,82.64
366,6.35
368,16.72
369,46.85
371,inf
372,58.82
374,inf
375,54.17
376,inf
379,inf
382,74.9
383,inf
384,inf
385,inf
386,inf
388,inf
389,60.58
390,56.15
391,inf
393,55.78
394,inf
395,59.97
396,inf
399,70.68
402,inf
403,inf
404,inf
405,inf
406,inf
408,inf
410,inf
411,inf
413,inf
414,61.65
415,inf
418,inf
419,inf
420,inf
421,56.31
422,inf
423,inf
424,inf
426,inf
427,inf
428,72.44
431,inf
433,inf
434,inf
435,70.17
436,inf
437,inf
438,inf
440,inf
441,inf
442,inf
443,inf
444,17.24
445,58.05
446,41.24
447,inf
448,inf
449,inf
450,inf
451,inf
453,78.64
455,inf
456,inf
457,inf
459,inf
460,85.06
462,43.92
464,inf
465,43.63
466,41.88
467,inf
468,inf
469,inf
470,inf
471,inf
473,76.06
474,inf
475,inf
476,inf
478,inf
479,inf
480,84.73
481,inf
482,inf
483,inf
484,inf
485,inf
486,72.68
487,inf
488,inf
489,inf
490,inf
491,inf
492,29.26
494,inf
496,inf
497,inf
498,inf
499,79.23
500,inf
505,inf
506,29.21
508,inf
509,inf
510,inf
516,inf
517,inf
518,50.43
519,inf
522,inf
523,inf
525,73.4
526,inf
527,inf
528,inf
529,inf
530,inf
531,inf
532,81.54
536,inf
537,41.06
538,inf
540,inf
542,inf
543,inf
544,inf
545,inf
546,inf
547,inf
548,83.53
551,inf
552,inf
553,inf
555,70.06
558,inf
559,inf
560,inf
561,inf
562,inf
563,47.69
565,inf
566,inf
568,inf
571,inf
572,inf
574,inf
577,71.18
578,inf
579,inf
580,inf
583,inf
584,74.37
585,inf
588,inf
589,inf
591,78.67
592,inf
594,inf
595,inf
596,inf
597,inf
598,inf
599,43.26
600,inf
601,inf
602,inf
604,inf
606,9.06
608,inf
611,inf
612,22.82
614,inf
615,inf
618,inf
619,83.31
620,inf
621,inf
622,inf
623,inf
624,inf
625,inf
627,inf
630,inf
631,inf
632,inf
633,22.5
636,inf
638,inf
639,inf
641,inf
643,inf
645,inf
646,inf
647,75.31
648,inf
649,inf
650,inf
651,inf
652,inf
654,62.83
655,inf
656,inf
657,inf
659,inf
661,inf
662,inf
667,inf
669,inf
671,inf
672,inf
673,inf
674,inf
676,inf
677,74.95
678,inf
680,inf
681,inf
682,inf
683,inf
684,inf
685,79.67
686,inf
689,inf
691,inf
693,inf
694,inf
695,inf
696,inf
697,inf
698,inf
699,inf
700,67.56
701,inf
702,inf
704,inf
705,inf
706,inf
707,inf
708,20.5
709,inf
710,inf
711,inf
713,inf
715,inf
716,inf
717,inf
718,inf
719,inf
720,inf
722,74.68
723,inf
724,inf
726,inf
729,44.33
730,63.54
732,inf
735,inf
737,inf
738,inf
739,inf
740,52.54
742,inf
743,inf
745,inf
747,inf
748,80.57
749,inf
750,inf
751,inf
752,inf
753,inf
754,inf
756,inf
757,inf
758,inf
759,inf
760,inf
761,inf
763,65.76
764,inf
765,inf
766,inf
767,inf
768,inf
769,inf
772,inf
773,inf
774,inf
775,inf
776,inf
777,inf
778,50.88
779,inf
780,inf
781,inf
782,inf
786,73.19
787,inf
788,inf
790,inf
791,inf
792,inf
793,55.54
794,inf
797,inf
798,inf
799,inf
800,inf
801,47.18
802,inf
803,inf
804,inf
806,inf
807,inf
812,inf
813,inf
814,inf
815,inf
816,73.28
817,inf
818,inf
821,inf
822,inf
824,28.62
825,inf
826,inf
827,inf
830,inf
832,inf
834,inf
835,inf
836,inf
837,inf
839,76.83
840,inf
841,inf
842,inf
844,inf
845,inf
850,42.18
851,inf
852,inf
853,39.48
855,inf
857,inf
858,inf
859,inf
860,inf
861,76.41
862,inf
863,inf
864,inf
865,inf
866,inf
867,inf
868,inf
869,81.45
870,inf
872,inf
873,inf
874,inf
877,inf
878,inf
879,67.49
880,inf
881,inf
882,inf
883,inf
884,inf
885,inf
889,inf
890,inf
891,inf
893,inf
894,54.23
895,inf
896,inf
897,inf
898,inf
899,inf
903,inf
905,inf
906,inf
907,inf
910,76.52
914,inf
915,inf
916,inf
917,74.23
919,inf
920,inf
922,inf
924,inf
925,61.26
926,inf
927,inf
929,inf
930,inf
932,inf
933,73.41
934,inf
935,inf
936,inf
937,inf
939,inf
940,54.3
942,inf
943,inf
944,inf
945,inf
946,19.19
948,inf
949,52.46
951,inf
952,62.37
954,inf
956,77.19
957,inf
959,inf
960,inf
962,inf
966,inf
967,inf
968,inf
969,inf
971,inf
972,66.22
973,inf
974,inf
975,inf
978,inf
979,inf
981,inf
982,inf
984,75.42
987,inf
990,inf
991,63.51
993,inf
994,inf
998,inf
999,63.82
1001,inf
1002,inf
1003,inf
1004,inf
1005,inf
1007,inf
1008,inf
1010,inf
1011,inf
1012,inf
1014,54.78
1020,inf
1021,59.24
1022,inf
1023,inf
1024,inf
1025,inf
1026,inf
1028,inf
1029,77.21
1034,inf
1035,inf
1037,inf
1038,inf
1039,inf
1040,inf
1041,inf
1042,inf
1043,8.63
1044,5.75
1045,3.85
1046,4.67
1048,24.64
1049,inf
1050,inf
1052,70.16
1055,inf
1057,inf
1059,inf
1061,inf
1062,inf
1063,inf
1065,inf
1067,44.56
1068,inf
1070,inf
1073,inf
1074,inf
1075,59.61
1078,inf
1081,inf
1082,82.07
1083,inf
1084,inf
1086,inf
1087,inf
1089,inf
1090,75.3
1091,inf
1093,inf
1094,inf
1095,inf
1096,inf
1097,inf
1099,inf
1100,inf
1102,inf
1103,inf
1104,inf
1105,79.0
1106,inf
1107,inf
1108,inf
1109,inf
1110,inf
1111,17.58
1113,inf
1115,inf
1116,16.75
1117,5.5
1118,inf
1119,28.67
1120,inf
1121,inf
1122,inf
1123,65.54
1124,inf
1125,inf
1126,inf
1127,inf
1128,inf
1129,inf
1130,inf
1131,83.38
1133,inf
1134,inf
1135,41.9
1136,24.77
1137,inf
1138,23.32
1139,inf
1140,44.64
1141,45.57
1143,41.75
1145,inf
1146,inf
1147,72.05
1148,inf
1149,inf
1150,inf
1153,inf
1155,77.1
1157,inf
1159,inf
1160,inf
1163,62.28
1164,inf
1166,inf
1167,61.94
1170,inf
1171,72.51
1172,inf
1175,inf
1177,inf
1178,inf
1180,inf
1181,inf
1182,inf
1183,inf
1185,inf
1186,40.34
1187,inf
1190,inf
1191,inf
1192,inf
1193,inf
1195,57.72
1196,inf
1198,inf
1200,inf
1201,inf
1202,77.8
1203,inf
1204,inf
1205,inf
1206,inf
1208,inf
1209,12.69
1210,22.62
1211,inf
1212,15.0
1214,inf
1215,18.21
1217,inf
1219,inf
1220,47.43
1221,inf
1222,inf
1223,inf
1225,inf
1226,inf
1227,inf
1228,83.35
1229,inf
1230,inf
1231,inf
1232,inf
1233,inf
1234,inf
1235,77.18
1236,inf
1237,inf
1240,inf
1241,inf
1242,inf
1243,73.8
1246,inf
1247,inf
1248,inf
1250,75.03
1253,inf
1255,inf
1256,inf
1257,47.8
1258,inf
1259,inf
1260,44.75
1261,inf
1262,inf
1263,inf
1264,inf
1266,inf
1267,61.77
1268,inf
1269,inf
1270,inf
1271,inf
1272,inf
1273,inf
1274,inf
1275,64.34
1278,inf
1279,36.94
1281,25.37
