,éûçèï 
6,inf
13,inf
22,inf
25,inf
30,70.43
33,inf
34,inf
36,inf
40,inf
41,inf
42,inf
44,inf
50,inf
63,inf
75,inf
82,inf
83,inf
86,inf
87,inf
88,inf
90,inf
92,inf
93,inf
95,inf
98,inf
102,56.65
105,inf
106,inf
107,inf
111,inf
113,inf
116,inf
118,inf
123,inf
128,inf
132,inf
140,96.95
141,inf
144,inf
147,88.93
156,48.54
159,inf
160,71.5
167,65.74
171,inf
172,inf
178,inf
179,29.81
182,inf
183,77.23
185,inf
189,inf
190,inf
191,82.58
193,inf
197,inf
203,inf
209,inf
210,inf
215,82.72
217,inf
221,inf
223,inf
228,inf
235,inf
236,inf
238,inf
248,inf
253,inf
255,inf
256,inf
258,inf
259,85.47
260,inf
261,inf
263,inf
269,inf
272,72.85
274,54.33
277,56.92
283,inf
291,inf
292,inf
295,83.21
296,55.82
302,90.78
306,inf
308,inf
310,95.53
311,inf
317,84.61
321,inf
324,75.02
326,78.11
327,inf
328,inf
329,inf
333,90.15
344,49.24
346,41.66
347,49.6
351,inf
363,inf
364,inf
365,inf
367,34.86
370,inf
373,inf
377,inf
378,inf
380,inf
381,inf
387,inf
392,60.54
397,66.75
398,inf
400,inf
401,inf
407,107.76
409,inf
412,inf
416,inf
417,inf
425,inf
429,inf
430,inf
432,inf
439,77.05
452,inf
454,inf
458,inf
461,inf
463,65.44
472,inf
477,inf
493,inf
495,inf
501,inf
502,inf
503,inf
504,inf
507,inf
511,92.81
512,inf
513,inf
514,inf
515,inf
520,inf
521,inf
524,inf
533,inf
534,inf
535,inf
539,inf
541,33.62
549,inf
550,inf
554,inf
556,inf
557,inf
564,inf
567,inf
569,inf
570,97.07
573,inf
575,inf
576,inf
581,inf
582,inf
586,inf
587,inf
590,inf
593,inf
603,inf
605,inf
607,inf
609,inf
610,44.66
613,17.98
616,inf
617,inf
626,85.16
628,inf
629,inf
634,inf
635,inf
637,inf
640,87.45
642,inf
644,inf
653,inf
658,67.58
660,70.01
663,71.28
664,74.19
665,inf
666,inf
668,inf
670,101.82
675,inf
679,inf
687,inf
688,inf
690,inf
692,88.88
703,inf
712,inf
714,82.45
721,inf
725,inf
727,inf
728,inf
731,inf
733,96.34
734,inf
736,inf
741,inf
744,inf
746,inf
755,65.46
762,inf
770,105.57
771,inf
783,inf
784,inf
785,inf
789,inf
795,inf
796,inf
805,inf
808,inf
809,82.41
810,inf
811,inf
819,inf
820,inf
823,inf
828,inf
829,inf
831,79.44
833,inf
838,inf
843,inf
846,97.1
847,inf
848,inf
849,inf
854,40.01
856,54.69
871,inf
875,inf
876,45.17
886,inf
887,88.92
888,inf
892,inf
900,inf
901,inf
902,86.63
904,inf
908,inf
909,inf
911,inf
912,inf
913,inf
918,inf
921,inf
923,inf
928,inf
931,inf
938,inf
941,inf
947,inf
950,85.85
953,inf
955,inf
958,inf
961,inf
963,86.43
964,inf
965,inf
970,68.76
976,80.0
977,inf
980,inf
983,inf
985,inf
986,inf
988,inf
989,inf
992,inf
995,inf
996,inf
997,inf
1000,inf
1006,95.33
1009,inf
1013,inf
1015,inf
1016,inf
1017,inf
1018,inf
1019,inf
1027,inf
1030,inf
1031,inf
1032,inf
1033,inf
1036,79.27
1047,inf
1051,inf
1053,inf
1054,inf
1056,inf
1058,inf
1060,79.19
1064,inf
1066,inf
1069,inf
1071,inf
1072,inf
1076,inf
1077,inf
1079,inf
1080,inf
1085,inf
1088,inf
1092,inf
1098,65.73
1101,inf
1112,38.47
1114,42.56
1132,inf
1142,inf
1144,inf
1151,inf
1152,inf
1154,inf
1156,inf
1158,inf
1161,inf
1162,62.89
1165,32.21
1168,inf
1169,inf
1173,inf
1174,inf
1176,inf
1179,84.4
1184,inf
1188,47.42
1189,inf
1194,inf
1197,inf
1199,inf
1207,inf
1213,37.36
1216,50.97
1218,inf
1224,inf
1238,inf
1239,inf
1244,inf
1245,inf
1249,inf
1251,inf
1252,inf
1254,inf
1265,inf
1276,inf
1277,inf
1280,inf
1286,27.08
1288,53.77
1290,inf
1293,inf
1294,90.49
1295,inf
1296,inf
1300,inf
1301,inf
1302,52.56
1305,11.4
1308,15.31
1314,82.92
1319,inf
1320,inf
1330,inf
1331,79.23
