,éûçèï ,é¿ê—
1,0.16240866024934375,0.0
2,0.19661903005690728,0.0
3,0.22522760594385374,1.0
8,0.4188749860316885,1.0
9,0.37971259065677937,0.0
10,0.29663452906229026,0.0
12,-0.14041555509604822,0.0
13,0.25415280739085355,0.0
14,-0.05138452854010339,0.0
15,0.14528890071578704,0.0
17,0.09224415681640352,0.0
18,0.02835588216055695,0.0
19,0.09854125392855129,0.0
20,0.1253408431814861,0.0
21,0.043868535385464216,0.0
22,0.03498121210986065,0.0
27,0.217360727292328,0.0
30,0.38031133619505053,1.0
31,0.3227686346834617,0.0
33,0.16889500344695288,0.0
34,0.31904928458098,0.0
35,0.06971114500111336,0.0
36,0.16574688234151838,0.0
37,0.02166233370243808,0.0
38,0.2885504866612433,1.0
39,0.1793958922884392,0.0
40,0.1051053105247,0.0
44,0.16737467584894591,0.0
45,0.17997128386839442,1.0
49,0.1261305994903194,0.0
50,0.16323798111492702,0.0
51,0.14629246180912225,0.0
53,0.11247069113195195,0.0
54,0.23097407948189608,0.0
55,0.506885681063976,1.0
57,0.36771498431466615,0.0
58,-0.14154302067528005,0.0
59,-0.11702718166523617,0.0
61,0.37941238127797305,1.0
62,0.07645648897142598,0.0
63,0.05347493449603156,0.0
64,0.14687163001961018,0.0
66,0.06092078267435265,0.0
68,0.08006066678261098,0.0
69,0.08835709859816117,0.0
70,0.09696340052862847,0.0
71,0.03373363549421962,0.0
72,0.10926834543631024,0.0
73,0.09784702498583521,0.0
74,0.18928303739839972,1.0
75,0.10377772831610199,0.0
76,0.1287541632542298,0.0
77,0.1235168541440767,0.0
79,0.13569871587075277,0.0
80,0.3853890699518719,0.0
81,0.3869996862122923,1.0
82,0.2025826432365211,0.0
83,0.09072421460093419,0.0
84,0.11823666351475644,0.0
86,0.25373698691982877,0.0
87,0.16367338153523506,0.0
88,0.19746619164345255,0.0
89,0.1896395275451137,1.0
90,0.12636919198314764,0.0
92,0.0761470759298301,0.0
93,0.20003500505385108,0.0
94,0.024140520592189615,0.0
96,0.38228181301374614,1.0
97,0.18059993463027682,0.0
98,0.18314725005382246,0.0
99,0.1814590464476318,0.0
100,0.19260720248927093,0.0
101,0.08666830034998804,0.0
103,0.12954432465985954,0.0
104,0.4652140215877136,0.0
105,0.34456972521640544,0.0
107,0.5618304330883269,0.0
108,0.741220942805465,2.0
110,0.3306250689732003,0.0
111,0.40837193225003277,0.0
112,0.5217736840017434,0.0
114,0.025548028243349105,0.0
115,0.25015573975525174,1.0
116,0.22944886089231417,0.0
