,éûçèï ,é¿ê—
1,0.07639921034635981,0.0
2,0.07174027956584829,0.0
5,0.06809103250316988,0.0
6,0.07579792947774608,0.0
10,0.06919002600325258,0.0
13,0.05954208345784374,0.0
14,0.03835081372133929,1.0
17,0.15226969338438726,0.0
22,0.07121230597857706,0.0
25,0.0919550925755905,0.0
27,0.1281981160816812,0.0
31,-0.10045885905540915,0.0
35,0.04151510637592614,0.0
36,-0.006062159763419284,0.0
43,0.08631284250232045,0.0
46,0.10651545451863623,0.0
49,0.07150871758031394,0.0
60,0.15299373099478217,0.0
62,0.035810640991496924,0.0
67,0.10097041868126204,0.0
68,0.11604603473179112,0.0
69,0.11004948522359881,0.0
71,0.07506381430503262,0.0
73,0.06319998757628947,0.0
74,0.06319998757628947,0.0
76,0.06319998757628947,0.0
78,0.06319998757628947,0.0
82,0.1279317176152126,0.0
84,-0.005455059740755256,0.0
85,0.1841950333241571,0.0
87,0.12709527681604943,1.0
88,0.22747405866001796,0.0
93,0.07358664069737765,0.0
96,0.04300873377029093,0.0
98,0.04983824313250291,0.0
102,0.06945901719462971,1.0
106,0.22027288656880437,0.0
109,0.6968549612806755,0.0
114,0.08898463186516159,0.0
115,0.07437534814870064,0.0
120,0.014692019233368782,1.0
121,0.012584706680821503,0.0
125,0.040889973408194516,0.0
130,2.5228094092942825,3.0
135,1.5213529840783773,1.0
136,1.2926112904759093,2.0
139,0.03902753199274795,0.0
140,0.09756372229160716,0.0
146,0.044783674074518276,0.0
148,0.06588417888592504,0.0
149,0.06467953702778713,0.0
150,0.11535267625287846,0.0
154,0.7974677191354612,2.0
157,0.2575853868652584,0.0
165,0.03649194838884129,0.0
168,0.046994287198714735,0.0
171,0.04976075939272725,0.0
172,0.057401921644333324,0.0
182,0.08945897717243209,0.0
183,0.16358791074457912,0.0
186,0.09333550088103901,0.0
187,0.0529985302044343,0.0
188,0.018039439427880357,0.0
190,0.13794450471584938,1.0
193,0.06930981050617825,0.0
194,0.0377647691678501,0.0
195,0.05942790560554152,0.0
196,0.06759456145525497,0.0
203,0.5575351741588056,0.0
204,0.6434977312062503,0.0
205,0.5835974186811573,0.0
206,0.397183021100773,0.0
207,0.5683915116639766,0.0
209,0.19640967172692472,0.0
210,0.22603937221994477,0.0
212,0.02654452468624928,0.0
215,0.03173026033299435,0.0
216,0.027059065988209355,0.0
217,0.19684183708407188,0.0
218,0.08329072830423002,0.0
220,0.20033391083407218,0.0
221,0.07373972567182459,0.0
223,-0.9005379187934084,1.0
225,-0.04726756469831867,0.0
226,0.5489982049479205,0.0
230,-0.11016175289986851,0.0
231,-0.1023740487006179,0.0
237,0.0717235938248225,1.0
238,0.06324398293325147,0.0
245,0.03545491143174717,0.0
247,-0.5648580688315074,0.0
250,0.30329130535707594,0.0
251,0.3099046801083939,0.0
255,-0.011847332978138505,0.0
258,-0.07355227557261042,0.0
262,0.019914594716752842,0.0
268,0.09809791242549523,0.0
270,-0.08849846831614815,0.0
273,0.5686019009244223,1.0
276,0.16368487981669896,0.0
277,0.057973517538016155,0.0
284,0.07010198219795892,0.0
288,0.024368733317025066,0.0
289,0.02973981014310061,0.0
290,0.05149501448759758,0.0
297,0.24263975992312473,0.0
298,0.5031651644127924,0.0
308,0.027225671726760565,0.0
311,0.058505380507986114,0.0
314,0.06658334809924094,1.0
326,-0.008499125467001406,0.0
328,0.23601934431875818,1.0
330,0.16285604687703154,0.0
333,-0.02245974217543606,0.0
334,0.01748989090655554,0.0
335,0.010980548965940988,0.0
340,0.0546994756337374,0.0
353,1.1547767470994454,0.0
357,0.04820187705234413,0.0
362,0.07133783558307125,0.0
364,0.05170565397236275,0.0
365,0.062422933484457585,0.0
366,0.08062339169636888,0.0
368,1.8410185894667872,2.0
377,0.07115431360939556,0.0
389,0.06033938027266067,0.0
391,0.0865409308353682,0.0
396,0.08836664806887741,0.0
405,0.030567483311391083,0.0
406,0.03359462097695236,0.0
415,0.055837826775441676,0.0
417,-0.011296129423280947,0.0
422,0.1888880251920869,0.0
425,-0.09919676838803014,0.0
426,-0.09057893733848225,0.0
427,0.14066794580483846,0.0
429,0.07752029946416711,0.0
431,0.0952674154218933,0.0
438,0.5209697065852456,0.0
440,0.7937518567212496,0.0
444,-0.09105178769899945,0.0
451,0.09579947972793229,0.0
456,0.010249660552024446,0.0
459,0.08792400935078389,0.0
463,0.14447324948886192,0.0
465,0.06849141734269582,0.0
467,-0.05196010194171484,0.0
470,-0.1498136357566028,0.0
472,0.031459512656460846,0.0
474,0.07810677510379083,0.0
475,0.0824540362379571,0.0
478,0.07042216653430985,0.0
481,0.08968552033331073,0.0
482,0.07790507592616312,0.0
483,0.0794258106724834,0.0
486,0.3797522682951287,0.0
487,-0.29118401632278373,0.0
490,0.19134421252975323,1.0
493,-0.11701955258250836,0.0
494,-0.07894968567260915,0.0
498,0.04601134822433442,0.0
499,0.09262626156502618,0.0
502,0.06775426062692011,0.0
505,-0.14302144852094634,1.0
509,-0.04167530788446395,0.0
517,0.06790989768586311,0.0
518,0.2781237514566996,0.0
519,0.11900381855067696,1.0
524,-0.004262719546790813,0.0
527,0.057253997579215475,0.0
528,0.03325578720280424,0.0
529,0.0035321096451788967,0.0
530,0.0036031890305386546,0.0
534,0.09589173964747928,1.0
535,1.611545639748749,0.0
536,0.9316391193727906,2.0
539,0.25239573527020187,0.0
544,0.2768934171378983,0.0
546,0.1160681033415348,0.0
552,0.08076103590981402,0.0
554,0.04820282770223336,0.0
555,0.08136591577443388,0.0
565,0.09471541601000628,0.0
566,0.08516973071122017,0.0
570,0.07402799142305211,0.0
574,0.0573897467791874,0.0
579,0.042418495688670434,0.0
586,-0.0012196234276377904,0.0
587,0.1191253649288856,0.0
588,0.04930356122408595,0.0
590,0.10716658561381479,0.0
591,0.007190447064493067,0.0
596,-0.01004603630157241,0.0
606,0.8788330353258476,0.0
607,2.4617956852146863,0.0
614,0.161686005966924,0.0
616,0.46103396958755033,0.0
618,0.5912499775879227,0.0
619,0.10138685117984843,0.0
621,0.026971658807186986,0.0
627,-0.013600411504897053,0.0
629,0.10283063366328857,0.0
631,1.9245940454657982,0.0
642,0.12193245145660114,0.0
645,0.030195547357657938,0.0
646,0.022924448308837678,0.0
647,0.07063334746927236,0.0
651,0.08667294238253627,0.0
652,0.1038615606113933,0.0
653,0.1309279474804337,0.0
654,0.23432450389564016,0.0
655,0.2193723381245349,0.0
659,0.07489389170783219,0.0
669,0.07016693335115137,0.0
670,0.07016693335115137,0.0
674,0.0523461464276884,0.0
682,0.06737523637517218,0.0
683,0.06926037279348257,0.0
702,0.09637859392914348,0.0
704,0.09480530099788219,0.0
705,0.22514001794434668,0.0
708,0.21739461072865313,0.0
710,0.23453403032979533,0.0
714,-0.06064208823699808,0.0
722,0.047235959013348566,1.0
727,0.020988081735285075,0.0
729,0.0761022482840356,0.0
730,-0.0016036334278793506,0.0
738,0.10295230425295374,0.0
739,0.07434370177598533,0.0
743,0.031255740384015074,0.0
754,0.09817003871390999,0.0
763,0.10174277127323224,0.0
766,0.18276393047490114,0.0
768,-0.016005473364902392,0.0
769,-0.015498615291489229,0.0
773,-0.0593713326110515,0.0
776,-0.05528922409203846,0.0
778,0.2889766256911347,0.0
781,-0.05205795274674629,0.0
784,0.09038758423338646,0.0
786,0.00740999104419718,0.0
789,-0.0005402282235102689,0.0
791,0.012786860237172284,0.0
795,0.04222230327949339,0.0
796,0.055277779941331706,1.0
801,0.045463191177282605,0.0
802,0.10364477803408224,0.0
805,-0.1906678643158936,0.0
806,0.03851512557452061,0.0
809,0.03819859211331147,0.0
811,0.07881236697939971,0.0
813,0.11621538999990126,0.0
819,0.04739883355147888,0.0
820,0.045701521365065376,0.0
822,0.06294012272360505,0.0
826,0.13737820276560395,0.0
831,0.1220408407235283,0.0
832,0.1494890908824154,0.0
833,0.09865317888854935,0.0
836,0.04501151576638248,0.0
837,0.07498381753505343,0.0
844,0.05923718365306438,0.0
855,0.133699353734593,0.0
859,0.06148925838041898,0.0
863,0.07150794236524113,0.0
866,0.06618350434999465,0.0
867,0.06618350434999465,0.0
869,0.08317251430385995,0.0
874,0.11062685093010906,0.0
876,0.04314268370741868,0.0
877,0.07913535672583763,0.0
880,0.06113081243474809,0.0
884,0.07977733498017317,0.0
887,0.08139995603712731,0.0
888,0.08397179734314765,0.0
892,0.038754708961054735,0.0
895,0.05203196660383342,0.0
899,0.2724575326599968,0.0
902,0.01657823483342769,0.0
904,0.15963046681460724,0.0
906,0.05994791379210053,0.0
