,éûçèï 
0,inf
2,inf
4,inf
5,inf
7,inf
10,68.5
11,inf
12,inf
13,inf
17,inf
19,inf
20,inf
24,inf
26,inf
27,inf
28,inf
29,inf
32,inf
34,inf
35,inf
37,inf
38,inf
39,inf
40,inf
41,inf
42,inf
43,inf
44,inf
45,inf
48,inf
49,inf
50,95.45
51,inf
52,inf
55,inf
56,inf
57,inf
58,inf
59,inf
60,inf
61,inf
62,inf
65,inf
66,inf
67,inf
68,inf
69,inf
70,96.24
71,inf
72,inf
73,inf
75,inf
76,inf
77,inf
78,inf
79,inf
80,inf
81,inf
82,inf
84,inf
87,inf
88,inf
89,inf
90,inf
91,inf
94,inf
95,inf
98,inf
99,inf
100,inf
102,inf
103,inf
104,inf
105,inf
106,inf
107,4.32
108,0.25
109,34.24
110,49.86
112,29.81
116,inf
118,inf
119,inf
120,inf
123,inf
124,inf
126,inf
127,inf
128,34.58
129,20.29
131,41.88
133,19.68
134,inf
135,22.42
136,3.2
137,14.67
138,inf
139,inf
140,inf
141,inf
142,inf
144,inf
146,inf
147,inf
148,inf
150,inf
151,inf
152,22.16
153,57.39
154,28.57
155,inf
156,inf
158,inf
160,inf
164,inf
165,96.35
166,inf
167,inf
169,inf
171,inf
172,inf
173,inf
174,inf
176,22.86
177,inf
179,inf
182,inf
185,inf
187,96.33
189,inf
190,inf
191,inf
193,inf
194,inf
195,inf
196,inf
197,inf
198,inf
199,inf
201,9.52
202,47.11
204,inf
205,inf
206,inf
210,inf
211,inf
212,inf
213,inf
215,inf
216,inf
218,inf
220,inf
221,inf
222,inf
223,inf
224,inf
225,inf
227,inf
229,inf
231,inf
232,inf
233,inf
236,inf
237,inf
238,inf
239,inf
240,inf
244,inf
246,inf
249,inf
252,inf
253,inf
255,inf
256,inf
258,inf
259,inf
264,inf
265,inf
267,inf
268,inf
269,inf
270,inf
272,39.84
273,inf
277,inf
278,75.91
281,inf
282,inf
283,inf
284,inf
285,inf
286,inf
288,inf
289,inf
291,inf
293,inf
294,inf
296,inf
299,inf
301,inf
302,inf
304,inf
305,inf
308,inf
309,inf
310,inf
311,inf
313,inf
315,inf
316,inf
317,inf
319,inf
320,inf
321,inf
322,inf
323,inf
326,inf
327,inf
328,inf
329,inf
330,inf
332,inf
334,inf
340,inf
341,inf
343,inf
344,18.61
345,56.0
346,3.92
347,11.11
348,67.12
350,inf
351,inf
352,inf
353,38.32
355,inf
357,inf
358,inf
359,inf
360,inf
362,inf
364,inf
366,inf
367,inf
369,42.0
370,29.13
371,inf
374,inf
375,inf
376,inf
377,inf
378,inf
379,inf
381,inf
383,inf
384,inf
386,95.45
387,inf
388,inf
389,inf
390,inf
391,inf
392,inf
393,inf
394,inf
395,inf
396,inf
397,inf
402,inf
403,inf
404,inf
405,inf
406,inf
408,inf
409,inf
410,inf
412,inf
413,inf
414,inf
415,inf
416,inf
417,inf
422,inf
425,inf
426,inf
427,inf
429,inf
430,inf
432,inf
433,inf
434,inf
436,inf
438,inf
440,inf
441,inf
443,inf
444,inf
445,inf
447,inf
448,76.59
449,inf
451,inf
452,inf
455,inf
457,inf
458,inf
459,inf
460,inf
461,inf
462,inf
463,inf
464,inf
466,inf
468,88.31
469,inf
470,inf
471,inf
473,inf
474,inf
476,inf
477,inf
480,inf
481,inf
483,inf
484,inf
485,inf
486,inf
489,inf
490,inf
491,inf
493,inf
494,inf
495,inf
496,inf
497,inf
498,inf
499,inf
500,inf
501,inf
502,inf
503,inf
507,inf
508,89.69
509,inf
512,inf
513,inf
514,inf
515,inf
516,inf
517,inf
521,inf
522,inf
523,inf
524,inf
525,inf
528,inf
529,95.45
530,inf
531,inf
532,inf
533,inf
534,inf
535,inf
536,22.16
537,53.76
538,inf
539,inf
540,68.84
541,inf
543,inf
544,inf
545,inf
546,inf
547,inf
548,inf
549,inf
550,inf
551,inf
552,inf
553,inf
554,inf
555,inf
556,inf
558,inf
559,inf
560,inf
561,96.61
562,inf
563,inf
564,inf
566,inf
568,inf
569,inf
570,inf
572,inf
573,inf
574,inf
576,inf
578,inf
581,95.45
582,inf
584,inf
585,inf
586,inf
587,inf
588,inf
589,inf
591,inf
592,inf
593,inf
595,inf
596,inf
597,inf
599,inf
602,inf
603,93.6
607,inf
608,14.77
609,38.94
611,inf
612,inf
614,inf
616,inf
617,inf
618,inf
620,inf
622,inf
623,inf
626,inf
627,inf
629,inf
630,inf
634,44.77
635,inf
638,inf
639,inf
640,inf
643,inf
644,inf
645,inf
647,inf
648,inf
649,inf
650,inf
651,inf
652,inf
653,inf
654,91.79
656,inf
657,inf
659,inf
660,inf
661,inf
663,inf
664,inf
666,inf
671,inf
673,inf
675,inf
676,inf
677,inf
678,inf
679,inf
680,inf
683,inf
684,inf
685,inf
687,inf
688,inf
689,inf
690,inf
691,inf
692,inf
693,inf
694,inf
696,inf
697,inf
699,inf
700,inf
701,inf
704,inf
705,inf
706,inf
710,inf
712,inf
714,inf
715,93.45
717,inf
718,inf
719,inf
722,inf
724,inf
725,inf
726,inf
728,inf
729,inf
730,inf
731,inf
732,inf
733,inf
734,inf
735,inf
736,94.28
737,inf
738,inf
739,inf
740,inf
741,inf
742,inf
743,inf
745,inf
746,inf
747,inf
748,inf
749,inf
750,inf
751,inf
752,inf
755,inf
756,inf
758,inf
760,inf
762,inf
766,inf
767,inf
769,inf
770,inf
772,inf
773,inf
777,inf
778,64.91
780,inf
782,inf
783,inf
784,inf
785,inf
786,inf
788,inf
789,inf
790,inf
791,inf
792,inf
793,inf
794,inf
797,inf
798,inf
799,90.94
800,inf
802,inf
803,inf
805,inf
806,inf
807,inf
809,inf
810,inf
812,inf
814,inf
815,inf
817,inf
819,inf
822,inf
823,inf
825,inf
826,inf
828,inf
829,inf
830,inf
831,inf
832,inf
833,inf
834,inf
835,inf
836,inf
838,inf
840,inf
841,inf
842,95.7
843,inf
844,inf
846,inf
847,inf
848,inf
851,inf
852,inf
853,inf
854,inf
855,inf
856,inf
857,inf
858,inf
859,inf
860,inf
861,inf
862,95.51
863,inf
864,inf
865,inf
866,inf
867,inf
868,inf
869,inf
870,inf
871,inf
872,inf
873,inf
876,inf
877,inf
879,inf
880,inf
881,inf
884,inf
885,inf
886,inf
887,inf
888,inf
893,inf
897,inf
899,inf
900,inf
901,inf
902,inf
903,95.86
906,inf
907,inf
909,inf
911,inf
912,inf
914,inf
915,inf
919,inf
921,inf
924,inf
925,90.59
926,inf
927,inf
929,inf
930,inf
931,inf
932,inf
933,inf
934,inf
935,inf
937,inf
938,inf
939,inf
940,inf
941,inf
942,inf
946,51.13
948,inf
950,inf
951,inf
952,inf
953,inf
954,inf
957,inf
958,inf
960,inf
961,inf
965,inf
966,94.94
967,inf
969,inf
970,inf
971,inf
972,inf
973,inf
974,inf
975,inf
976,inf
977,inf
978,inf
979,inf
980,inf
982,inf
983,inf
984,inf
985,inf
986,95.56
987,inf
989,inf
991,inf
992,inf
993,inf
994,inf
995,inf
996,inf
997,inf
998,inf
1000,inf
1002,inf
1003,inf
1004,inf
1005,inf
1007,inf
1009,inf
1010,inf
1011,inf
1013,inf
1015,inf
1016,inf
1017,inf
1018,inf
1019,inf
1021,inf
1022,inf
1023,inf
1024,inf
1025,inf
1027,inf
1029,inf
1030,inf
