,ÉfÅ[É^
0,18
1,211
2,25
3,52
4,232
5,10
6,30
7,201
8,186
9,217
10,54
11,234
12,196
13,235
14,12
15,31
16,193
17,24
18,38
19,20
20,2
21,48
22,16
23,231
24,243
25,36
26,227
27,9
28,17
29,187
30,28
31,204
32,220
33,59
34,195
35,238
36,224
37,6
38,221
39,7
40,216
41,3
42,60
43,44
44,242
45,225
46,34
47,32
48,200
49,37
50,206
51,192
52,209
53,46
54,57
55,35
56,185
57,11
58,29
59,241
60,207
61,191
62,240
63,27
64,42
65,237
66,26
67,226
68,1
69,230
70,190
71,236
72,189
73,5
74,228
75,205
76,21
77,215
78,214
79,194
80,55
81,223
82,15
83,199
84,23
