,ÉfÅ[É^
0,321
1,247
2,285
3,360
4,347
5,284
6,315
7,271
8,358
9,289
10,268
11,328
12,334
13,280
14,319
15,286
16,340
17,250
18,248
19,339
20,288
21,254
22,346
23,282
24,363
25,262
26,320
27,283
28,306
29,279
30,307
31,326
32,293
33,335
34,249
35,260
36,299
37,342
38,277
39,349
40,313
41,296
42,332
43,270
44,303
45,316
46,333
47,309
48,267
49,256
50,355
51,317
52,255
53,348
54,298
55,343
56,245
57,297
58,244
59,356
60,265
61,301
62,322
63,310
64,344
65,295
66,311
67,269
68,357
69,263
70,337
71,364
72,302
73,353
74,341
75,331
76,350
77,314
78,305
79,351
80,264
81,330
82,323
83,352
