,ÉfÅ[É^
0,100
1,107
2,94
3,177
4,157
5,162
6,163
7,79
8,147
9,180
10,125
11,166
12,102
13,80
14,131
15,132
16,161
17,115
18,97
19,91
20,170
21,182
22,173
23,76
24,123
25,156
26,78
27,119
28,96
29,74
30,109
31,120
32,62
33,137
34,158
35,93
36,90
37,92
38,174
39,152
40,172
41,140
42,141
43,61
44,77
45,128
46,68
47,103
48,145
49,112
50,118
51,136
52,155
53,146
54,143
55,69
56,179
57,122
58,71
59,63
60,70
61,150
62,135
63,64
64,75
65,67
66,153
67,142
68,65
69,84
70,130
71,114
72,72
73,88
74,169
75,171
76,73
77,124
78,149
79,175
80,165
81,98
82,127
83,85
84,154
