,ÉfÅ[É^
0,145
1,268
2,200
3,161
4,87
5,317
6,170
7,168
8,157
9,240
10,123
11,94
12,92
13,139
14,83
15,264
16,311
17,154
18,320
19,67
20,122
21,285
22,245
23,33
24,244
25,195
26,113
27,18
28,313
29,263
30,108
31,89
32,335
33,222
34,266
35,210
36,334
37,290
38,359
39,52
40,16
41,277
42,110
43,287
44,300
45,162
46,324
47,17
48,319
49,331
50,229
51,173
52,41
53,129
54,350
55,265
56,250
57,362
58,10
59,24
60,283
61,333
62,347
63,19
64,102
65,315
66,258
67,197
68,212
69,166
70,167
71,3
72,148
73,144
74,14
75,100
76,37
77,218
78,270
79,118
80,338
81,232
82,353
83,185
84,0
85,81
86,85
87,220
88,61
89,66
90,58
91,125
92,349
93,249
94,329
95,11
96,171
97,155
98,358
99,301
100,312
101,235
102,227
103,364
104,276
105,297
106,323
107,345
108,216
109,104
110,175
111,2
112,97
113,25
114,1
115,131
116,193
117,27
118,13
119,53
120,253
121,150
122,119
123,158
124,239
125,54
126,286
127,153
128,241
129,48
130,164
131,50
132,134
133,105
134,111
135,231
136,279
137,261
138,299
139,114
140,86
141,137
142,115
143,260
144,273
145,112
146,292
147,73
148,302
149,343
150,355
151,147
152,252
153,39
154,35
155,337
156,314
157,356
158,217
159,284
160,127
161,214
162,20
163,38
164,151
165,163
166,236
167,354
168,183
169,201
170,176
171,339
172,257
173,336
174,72
175,309
176,74
177,357
178,274
179,99
180,340
181,98
182,186
183,262
184,246
185,42
186,178
187,187
188,281
189,101
190,88
191,55
192,132
193,146
194,23
195,275
196,116
197,120
198,269
199,124
200,228
201,199
202,9
203,293
204,57
205,80
206,68
207,152
208,43
209,189
210,223
211,159
212,75
213,215
214,63
215,190
216,62
217,179
218,305
219,126
220,133
221,332
222,310
223,70
224,64
225,174
226,32
227,76
228,30
229,22
230,26
231,191
232,230
233,121
234,202
235,95
236,91
237,182
238,117
239,207
240,242
241,5
242,198
243,360
244,272
245,325
246,306
247,211
248,226
249,142
250,7
251,238
252,254
253,196
254,165
