,ÉfÅ[É^
0,805
1,215
2,1423
3,130
4,819
5,691
6,301
7,131
8,950
9,722
10,143
11,1178
12,781
13,855
14,576
15,1385
16,351
17,156
18,247
19,87
20,36
21,1431
22,184
23,1426
24,1118
25,1128
26,1453
27,1173
28,358
29,248
30,52
31,624
32,255
33,1404
34,584
35,483
36,741
37,617
38,329
39,683
40,396
41,506
42,425
43,1320
44,141
45,639
46,320
47,1396
48,1338
49,1087
50,972
51,739
52,784
53,962
54,638
55,1255
56,114
57,47
58,350
59,1451
60,629
61,333
62,173
63,627
64,485
65,565
66,1097
67,470
68,811
69,704
70,838
71,91
72,126
73,600
74,802
75,285
76,0
77,1137
78,182
79,727
80,1027
81,300
82,684
83,413
84,1093
85,498
86,30
87,1302
88,218
89,434
90,535
91,157
92,743
93,22
94,1448
95,481
96,615
97,75
98,946
99,1192
100,1181
101,489
102,516
103,121
104,928
105,1017
106,308
107,386
108,1023
109,885
110,1164
111,229
112,1150
113,830
114,1125
115,471
116,754
117,478
118,379
119,1193
120,294
121,382
122,592
123,48
124,980
125,736
126,1201
127,221
128,632
129,1449
130,697
131,1133
132,497
133,575
134,1261
135,679
136,1092
137,613
138,111
139,920
140,1269
141,542
142,381
143,887
144,202
145,992
146,687
147,1129
148,437
149,359
150,9
151,1318
152,274
153,907
154,176
155,171
156,70
157,604
158,792
159,611
160,814
161,761
162,903
163,330
164,418
165,97
166,389
167,10
168,177
169,443
170,839
171,956
172,913
173,1205
174,77
175,1277
176,1160
177,797
178,195
179,1443
180,1001
181,636
182,883
183,1316
184,408
185,869
186,376
187,1028
188,1276
189,818
190,246
191,1222
192,241
193,319
194,1220
195,1000
196,1330
197,480
198,594
199,496
200,163
201,948
202,548
203,106
204,486
205,217
206,1107
207,428
208,567
209,312
210,771
211,579
212,1102
213,586
214,770
215,1370
216,128
217,867
218,746
219,1002
220,835
221,360
222,166
223,772
224,1301
225,172
226,1231
227,1182
228,58
229,676
230,1307
231,806
232,844
233,703
234,1189
235,206
236,1388
237,1279
238,648
239,281
240,1405
241,380
242,1198
243,921
244,1194
245,196
246,975
247,269
248,744
249,747
250,96
251,387
252,1459
253,990
254,1035
255,366
256,935
257,571
258,1458
259,108
260,291
261,718
262,198
263,717
264,1071
265,1371
266,1333
267,536
268,1217
269,323
270,854
271,574
272,560
273,313
274,165
275,454
276,107
277,626
278,1152
279,986
280,795
281,1327
282,1032
283,353
284,1009
285,1310
286,831
287,669
288,118
289,796
290,689
291,1393
292,302
293,455
294,1246
295,310
296,602
297,230
298,185
299,915
300,945
301,750
302,1428
303,1427
304,441
305,702
306,390
307,278
308,435
309,943
310,662
311,672
312,1146
313,1026
314,514
315,1460
316,709
317,677
318,1296
319,1121
320,825
321,768
322,1356
323,222
324,562
325,682
326,50
327,726
328,476
329,808
330,15
331,673
332,1326
333,29
334,829
335,283
336,530
337,1004
338,918
339,1361
340,179
341,210
342,1157
343,880
344,1270
345,881
346,1306
347,1060
348,954
349,909
350,231
351,643
352,1153
353,1040
354,1174
355,1096
356,1367
357,1445
358,898
359,133
360,1010
361,92
362,192
363,1425
364,708
365,402
366,507
367,134
368,540
369,597
370,482
371,407
372,1211
373,1031
374,1202
375,911
376,1450
377,37
378,651
379,1347
380,1265
381,793
382,631
383,1076
384,904
385,1272
386,1048
387,675
388,696
389,472
390,605
391,1085
392,585
393,223
394,745
395,1417
396,1366
397,846
398,583
399,86
400,953
401,1015
402,395
403,519
404,836
405,238
406,999
407,492
408,1115
409,1438
410,33
411,216
412,711
413,147
414,65
415,738
416,1154
417,665
418,400
419,503
420,693
421,20
422,233
423,764
424,526
425,242
426,1232
427,275
428,981
429,658
430,1287
431,1161
432,462
433,1271
434,652
435,895
436,659
437,445
438,828
