,ÉfÅ[É^
0,46
1,180
2,75
3,12
4,115
5,31
6,16
7,123
8,32
9,138
10,47
11,141
12,133
13,78
14,72
15,182
16,121
17,114
18,90
19,13
20,139
21,2
22,152
23,41
24,166
25,89
26,102
27,37
28,34
29,103
30,11
31,29
32,179
33,45
34,36
35,82
36,0
37,4
38,106
39,80
40,137
41,143
42,159
43,146
44,21
45,104
46,71
47,20
48,44
49,168
50,10
51,130
52,62
53,155
54,22
55,122
56,149
57,116
58,117
59,54
60,150
61,73
62,5
63,91
64,100
65,162
66,161
67,53
68,39
69,23
70,153
71,96
72,170
73,85
74,98
75,163
76,69
77,125
78,158
79,144
80,129
81,177
82,136
83,147
84,66
85,92
86,63
87,108
88,86
89,50
90,27
91,74
92,35
93,33
94,164
95,101
96,81
97,126
98,17
99,59
100,97
101,64
102,148
103,76
104,154
105,49
106,60
107,77
108,165
109,118
110,48
111,83
112,171
113,68
114,120
115,131
116,28
117,181
118,40
119,173
120,145
121,99
122,169
123,25
124,24
125,9
126,57
127,6
