,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
2,39.42,6.23
5,11.13,9.07
16,30.09,23.29
17,25.16,10.14
20,26.42,12.67
22,5.93,10.64
24,198.55,1.11
28,46.78,8.85
29,265.22,23.75
43,233.96,67.68
44,19.5,27.29
51,71.63,8.06
52,270.15,23.68
55,31.37,13.19
66,17.68,27.23
76,9.21,6.77
77,4.32,3.1
78,43.56,39.14
80,53.0,22.46
81,54.42,2.59
85,1.05,71.12
86,3.55,0.94
89,2.77,73.45
100,18.67,6.56
102,24.2,8.36
103,26.98,7.83
106,14.25,21.54
108,29.08,17.25
109,27.69,10.67
115,36.18,31.23
120,35.17,9.56
123,18.13,27.97
125,13.08,18.65
129,21.9,30.29
130,32.78,22.3
132,14.46,6.71
136,92.78,18.15
138,124.8,28.39
141,7.67,12.56
143,35.89,2.91
144,1.43,3.6
148,15.48,4.12
152,5.81,41.88
155,12.94,33.33
160,15.4,60.54
161,14.61,18.96
166,30.92,36.35
167,11.68,38.19
169,51.09,43.5
173,29.82,0.32
177,219.19,43.57
183,1.22,30.85
185,234.91,57.06
188,39.94,6.9
193,29.64,43.43
199,472.92,7.55
205,31.55,6.5
209,40.0,8.1
211,13.07,20.8
213,42.32,21.37
218,15.62,28.12
220,45.09,1.4
221,14.89,52.88
222,230.72,76.96
223,23.55,16.0
224,790.77,7.33
229,121.26,36.02
231,27.49,20.75
234,15.31,39.51
237,12.73,26.23
238,12.0,9.57
240,15.06,11.61
241,5.16,4.75
243,1241.5,387.12
250,9.52,22.62
253,16.38,15.4
255,31.71,14.32
258,11.03,13.81
261,3.39,16.45
262,4.5,6.04
266,11.5,6.84
273,2466.6,494.63
277,3074.0,708.97
279,17.95,2.03
291,32.1,42.41
297,1.0,1.45
298,24.18,9.51
303,8.3,10.91
307,4.52,1.2
311,24.53,8.58
312,24.39,35.01
313,1.44,4.7
314,18.56,10.46
321,29.67,24.89
324,29.95,28.57
327,21.95,23.49
328,13.72,9.68
329,3.12,2.14
331,12.22,16.07
337,15.82,9.95
339,11.68,16.75
340,4.64,8.81
345,18.19,8.7
346,31.66,27.36
349,3.99,23.08
352,12.12,1.98
354,79.03,5.41
355,26.17,24.26
357,6.61,1.93
359,18.18,30.55
362,38.53,7.88
