,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,4.89,5.0,5.5
1,2.89,4.0,3.8
2,2.19,4.0,2.33
5,4.95,5.0,7.17
7,5.58,5.0,5.02
8,3.03,5.0,5.49
10,6.8,5.0,6.15
11,5.71,4.0,4.91
12,4.1,5.0,4.44
14,5.2,4.0,5.99
15,5.75,5.0,5.44
17,7.46,5.0,8.54
18,3.78,4.0,4.29
19,5.46,5.0,4.16
20,4.68,4.0,3.38
23,-0.08,4.0,3.01
24,6.63,5.0,5.73
25,3.8,4.0,5.02
26,3.46,5.0,4.34
27,5.29,4.0,4.4
29,6.02,5.0,4.35
30,2.78,4.0,2.17
31,3.24,5.0,5.41
32,5.14,4.0,4.13
33,4.01,5.0,6.63
34,5.59,4.0,4.05
36,4.9,5.0,4.59
37,5.62,4.0,3.46
41,12.22,12.0,12.97
42,4.31,4.0,2.37
43,19.26,18.0,16.92
44,5.97,5.0,3.4
45,4.63,4.0,3.92
47,18.16,19.0,25.69
48,12.37,14.0,15.29
49,9.83,10.0,9.1
50,25.8,26.0,24.08
51,4.69,4.0,2.85
52,25.33,27.0,28.88
55,23.03,21.0,28.19
56,15.26,13.0,19.82
57,20.65,21.0,20.63
58,7.15,7.0,6.16
59,31.13,34.0,31.3
63,28.4,28.0,26.93
64,32.53,32.0,31.41
65,13.39,14.0,16.35
66,11.01,10.0,11.35
67,41.95,42.0,44.03
68,45.1,45.0,48.72
69,40.93,40.0,37.35
70,47.69,46.0,47.04
71,47.49,54.0,45.69
72,21.59,22.0,30.15
73,28.58,27.0,33.04
75,42.41,41.0,43.98
78,36.19,36.0,40.48
79,8.13,7.0,5.97
83,47.71,48.0,43.6
85,50.19,51.0,43.13
86,25.45,26.0,32.3
87,29.48,31.0,33.84
88,61.33,64.0,52.28
89,54.67,58.0,49.85
91,40.13,39.0,33.15
92,37.2,40.0,39.59
93,10.33,12.0,11.91
94,16.9,16.0,21.99
95,32.65,32.0,38.57
97,55.32,53.0,51.9
98,41.17,42.0,44.92
99,44.38,42.0,42.37
101,41.11,44.0,42.49
102,54.8,56.0,56.67
104,60.04,61.0,58.73
108,61.46,68.0,74.64
109,96.05,94.0,89.59
110,93.5,94.0,89.71
111,96.13,100.0,87.56
113,52.22,45.0,66.02
115,70.19,71.0,57.48
116,81.24,79.0,84.02
117,77.12,77.0,64.6
118,79.99,79.0,81.8
120,58.08,54.0,62.57
121,28.15,23.0,27.28
122,52.6,42.0,57.57
123,82.58,83.0,88.49
125,89.0,92.0,81.1
126,98.15,104.0,90.83
128,49.34,51.0,55.38
129,57.39,61.0,40.22
130,60.16,58.0,54.31
131,76.86,81.0,72.61
132,78.72,79.0,80.42
135,30.55,33.0,28.65
137,24.83,23.0,26.26
138,33.84,31.0,36.02
139,56.11,56.0,67.42
140,70.01,62.0,76.85
142,49.36,53.0,61.25
143,59.58,52.0,47.07
144,74.02,74.0,71.59
146,91.06,94.0,84.72
147,93.61,97.0,88.94
150,77.1,81.0,81.29
151,101.66,107.0,92.15
153,31.98,35.0,33.55
154,30.41,29.0,25.55
155,28.13,28.0,27.82
156,11.89,10.0,13.06
157,14.73,9.0,10.33
158,18.88,20.0,24.64
159,22.47,23.0,23.33
160,19.46,19.0,19.32
161,27.55,30.0,27.9
162,45.99,47.0,45.52
163,13.82,13.0,12.43
165,45.53,42.0,44.76
166,42.24,43.0,42.51
167,43.74,45.0,45.24
168,36.98,38.0,34.03
171,25.16,28.0,27.82
172,21.2,20.0,22.78
173,43.7,40.0,35.08
174,52.29,52.0,51.6
175,38.11,40.0,46.28
176,48.52,48.0,48.32
177,14.81,12.0,10.04
183,17.39,18.0,20.76
185,12.75,15.0,15.38
186,35.26,36.0,35.52
187,37.53,35.0,39.88
189,30.46,30.0,25.65
190,33.64,34.0,34.43
191,10.45,11.0,12.84
192,11.04,11.0,15.6
193,40.56,38.0,36.2
194,30.53,31.0,27.07
195,23.83,24.0,25.39
197,28.71,30.0,37.8
198,17.89,19.0,20.68
200,14.8,17.0,16.68
202,9.74,10.0,10.89
203,10.86,12.0,15.48
204,9.03,11.0,10.79
205,3.87,4.0,2.63
206,5.17,4.0,5.41
208,10.79,9.0,11.45
209,3.4,4.0,3.78
210,11.01,14.0,15.33
211,7.26,7.0,6.95
213,4.59,4.0,4.97
214,4.46,5.0,5.67
215,4.99,7.0,7.29
216,11.28,12.0,10.74
220,6.22,4.0,4.59
222,6.23,4.0,6.55
224,2.97,4.0,3.3
225,7.0,5.0,5.05
226,3.71,4.0,4.12
228,6.8,4.0,5.5
230,4.43,4.0,3.64
233,4.64,5.0,5.85
234,5.74,4.0,5.45
236,3.71,4.0,5.25
237,5.24,5.0,6.66
238,5.57,5.0,5.67
239,4.53,4.0,4.78
242,29.58,33.0,30.38
244,10.24,11.0,12.75
247,8.14,7.0,7.14
248,41.69,43.0,42.54
249,26.57,26.0,27.08
250,12.82,13.0,11.23
252,11.64,9.0,10.56
255,41.45,47.0,38.66
257,49.12,47.0,60.46
258,39.9,40.0,39.72
259,23.08,23.0,18.65
263,50.11,52.0,54.3
264,41.69,41.0,44.15
266,40.93,40.0,38.95
268,29.44,32.0,32.66
269,65.31,79.0,66.85
270,69.08,78.0,76.93
271,60.88,57.0,74.41
272,54.17,53.0,40.08
273,9.58,5.0,10.58
275,35.3,5.0,19.86
279,83.13,95.0,82.64
280,105.72,114.0,87.71
281,111.18,122.0,88.38
284,82.51,85.0,67.45
285,58.86,59.0,63.22
286,63.23,63.0,63.17
287,51.01,52.0,51.2
289,41.19,46.0,47.68
290,53.67,50.0,47.0
292,66.34,68.0,71.52
293,68.84,62.0,79.13
297,81.1,87.0,79.76
298,46.07,47.0,49.11
299,49.26,49.0,53.44
301,34.98,36.0,38.78
302,32.88,34.0,32.46
303,48.34,47.0,52.15
304,51.19,37.0,44.15
306,49.66,51.0,59.21
308,51.48,55.0,60.33
309,47.51,46.0,59.23
311,76.74,73.0,52.98
312,81.46,79.0,80.48
313,65.3,66.0,67.44
314,65.61,63.0,62.93
315,86.3,79.0,87.09
317,63.69,66.0,58.43
318,98.71,110.0,86.61
319,78.69,73.0,84.47
321,53.85,55.0,54.15
323,53.93,59.0,49.96
324,57.22,54.0,58.47
325,61.74,63.0,56.81
326,72.46,78.0,77.62
328,61.77,57.0,62.57
330,60.29,61.0,58.42
331,33.98,33.0,33.44
333,38.15,36.0,35.61
334,13.27,15.0,13.53
336,10.64,11.0,12.18
337,9.84,9.0,12.29
338,2.92,4.0,4.61
339,33.76,33.0,36.66
340,30.64,26.0,25.79
341,27.13,28.0,32.21
343,18.34,18.0,19.34
344,5.52,4.0,5.04
345,2.66,5.0,3.9
346,5.52,5.0,6.34
347,3.12,4.0,4.45
348,4.14,5.0,4.43
349,3.57,4.0,3.43
350,4.04,5.0,5.19
351,4.57,4.0,9.25
352,5.46,5.0,6.37
353,15.29,12.0,11.54
354,34.66,39.0,25.73
355,8.57,4.0,10.8
356,11.63,5.0,11.04
358,3.46,5.0,4.67
360,6.44,5.0,5.31
361,4.59,4.0,4.6
