,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1,inf,inf
2,inf,inf
4,inf,inf
5,inf,inf
9,inf,inf
10,inf,inf
12,inf,inf
13,inf,inf
14,inf,inf
17,inf,inf
18,inf,inf
20,inf,inf
21,inf,inf
23,inf,inf
24,inf,inf
27,inf,inf
28,inf,inf
29,9.52,2.45
30,36.68,17.76
31,inf,inf
33,15.99,28.23
34,7.71,27.16
36,29.34,16.58
37,11.46,6.56
38,inf,inf
39,15.59,8.27
41,inf,inf
43,71.19,9.18
47,0.65,6.42
49,28.83,9.22
50,27.97,14.04
51,82.83,5.52
52,inf,inf
53,4.55,3.53
54,137.15,10.2
55,17.23,9.07
57,5.17,1.48
58,12.92,3.26
59,inf,inf
60,10.19,3.59
61,9.55,3.29
62,0.8,0.84
63,3.8,1.72
65,28.63,16.62
67,24.58,15.49
69,1.3,8.03
70,15.49,5.25
71,11.43,1.78
72,38.84,12.3
73,inf,inf
75,13.11,7.46
76,33.26,49.11
77,39.52,10.56
78,16.53,5.2
80,inf,inf
83,3.56,0.05
85,3.53,4.83
86,3.99,24.35
87,inf,inf
88,8.07,5.15
91,12.25,1.04
92,54.3,6.73
93,27.7,6.07
94,inf,inf
95,51.21,0.76
96,11.98,3.98
97,6.23,1.32
98,0.59,6.62
99,18.0,2.59
101,inf,inf
104,2.59,7.21
105,6.35,0.34
106,15.35,11.73
107,16.21,21.61
108,inf,inf
109,24.58,18.47
110,8.66,8.4
111,3.93,1.69
113,6.25,7.97
115,inf,inf
116,5.16,0.84
120,10.43,5.9
122,inf,inf
124,2.27,6.03
125,11.86,3.69
127,5.81,0.87
128,18.71,12.79
131,16.67,9.42
133,12.36,13.58
137,17.51,0.01
138,15.7,4.8
139,3.17,1.14
140,0.2,5.95
141,7.33,2.94
142,21.77,21.55
143,inf,inf
145,29.22,26.56
148,9.31,7.31
149,9.59,7.14
150,inf,inf
151,19.03,11.57
152,2.47,8.57
153,10.38,16.43
154,28.34,10.65
155,23.14,8.36
161,51.83,15.87
162,14.68,5.7
163,22.85,2.84
164,10.46,11.71
165,17.2,4.37
166,8.15,9.77
168,8.48,4.77
169,11.02,7.56
170,22.06,4.21
171,inf,inf
172,13.88,2.68
173,6.16,1.91
174,0.37,0.65
175,27.21,19.31
176,6.1,17.99
177,20.81,5.66
178,83.22,12.08
179,16.76,17.14
181,7.48,5.5
182,26.13,4.43
183,33.6,12.25
184,4.26,2.56
185,inf,inf
190,1.0,6.12
191,17.3,0.28
192,inf,inf
193,11.64,8.25
195,24.23,11.71
196,13.07,6.9
197,8.65,12.41
198,88.08,55.41
199,inf,inf
201,inf,inf
202,36.23,18.3
203,49.13,14.27
204,32.22,20.45
207,28.63,24.65
208,41.36,3.53
209,12.94,13.73
210,inf,inf
212,38.98,13.97
213,inf,inf
215,inf,inf
216,inf,inf
217,52.34,9.77
219,inf,inf
220,174.57,25.67
221,inf,inf
223,inf,inf
225,inf,inf
226,40.99,8.38
229,61.0,0.4
230,inf,inf
231,10.75,1.83
232,35.32,20.25
233,inf,inf
234,inf,inf
235,inf,inf
236,inf,inf
237,inf,inf
239,inf,inf
240,65.43,20.25
241,inf,inf
242,inf,inf
243,inf,inf
244,inf,inf
245,75.89,47.59
246,inf,inf
250,inf,inf
251,inf,inf
254,inf,inf
256,inf,inf
258,inf,inf
259,inf,inf
260,inf,inf
261,inf,inf
263,inf,inf
264,inf,inf
265,inf,inf
266,inf,inf
267,inf,inf
270,inf,inf
271,inf,inf
272,inf,inf
273,inf,inf
274,inf,inf
275,inf,inf
276,inf,inf
280,42.32,26.28
282,inf,inf
283,inf,inf
284,23.36,8.49
285,10.26,5.76
286,inf,inf
288,inf,inf
290,inf,inf
291,13.5,5.59
292,126.44,74.19
293,194.01,78.94
296,inf,inf
298,37.35,4.51
299,15.97,9.25
300,8.29,0.8
302,43.31,0.06
303,39.6,6.57
304,inf,inf
306,0.58,4.47
307,0.48,22.27
308,inf,inf
309,inf,inf
310,inf,inf
311,inf,inf
312,inf,inf
313,inf,inf
314,inf,inf
315,102.27,36.13
317,45.79,3.99
318,inf,inf
319,41.97,7.26
320,12.59,3.85
322,38.83,34.47
323,inf,inf
324,inf,inf
326,27.27,12.33
328,52.61,23.32
330,46.14,0.59
331,44.87,28.08
332,inf,inf
333,inf,inf
335,inf,inf
336,inf,inf
337,107.67,30.38
339,inf,inf
341,28.29,21.63
342,inf,inf
344,inf,inf
345,inf,inf
346,inf,inf
349,inf,inf
350,1.61,42.51
352,inf,inf
353,inf,inf
354,inf,inf
355,52.69,12.96
356,inf,inf
358,inf,inf
359,inf,inf
362,inf,inf
364,inf,inf
