,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,5.52,2.0,2.85
3,3.9,26.0,30.29
7,4.09,3.0,4.37
8,17.73,2.0,4.33
12,5.68,3.0,4.28
16,3.69,3.0,4.16
17,2.73,2.0,3.36
18,8.47,2.0,2.84
21,9.12,3.0,3.97
26,5.25,2.0,2.9
38,16.41,2.0,3.22
39,5.65,3.0,3.58
43,6.59,3.0,3.89
45,6.92,3.0,3.84
46,25.18,8.0,7.79
48,5.95,12.0,19.63
50,7.03,2.0,2.54
51,-0.26,3.0,3.78
55,7.84,31.0,30.19
56,7.98,26.0,29.03
58,5.73,2.0,2.89
60,11.08,30.0,29.99
61,13.03,28.0,25.19
62,26.5,35.0,28.54
66,23.91,2.0,2.65
68,41.04,47.0,52.49
73,25.37,28.0,39.03
82,31.18,31.0,30.69
89,25.11,18.0,20.18
91,18.93,13.0,18.3
97,39.23,39.0,43.64
98,28.74,36.0,39.2
101,35.9,35.0,30.01
102,39.26,63.0,50.2
103,43.89,49.0,46.29
106,50.25,55.0,57.38
112,54.57,32.0,39.54
116,49.58,53.0,62.15
133,36.27,48.0,37.14
134,26.11,23.0,36.71
137,13.5,6.0,7.75
139,48.43,43.0,47.98
140,60.33,55.0,62.1
143,57.06,47.0,54.77
144,39.99,59.0,49.48
147,60.86,69.0,62.46
149,42.79,2.0,5.97
150,45.1,45.0,40.03
153,5.29,26.0,28.84
156,0.92,2.0,2.96
159,7.44,2.0,3.13
160,8.15,2.0,2.74
161,8.81,6.0,7.59
162,25.95,23.0,27.0
164,23.13,31.0,28.72
165,37.9,34.0,42.75
170,11.94,2.0,4.21
171,18.67,3.0,4.24
179,5.7,2.0,3.24
185,17.27,3.0,3.57
186,22.09,16.0,19.3
187,25.72,12.0,19.0
198,3.79,2.0,2.09
201,15.65,2.0,3.56
203,7.46,3.0,4.32
204,23.4,22.0,20.93
208,11.19,28.0,24.18
212,3.51,3.0,4.1
213,16.04,28.0,21.49
215,6.92,21.0,20.89
223,8.94,2.0,3.54
234,17.49,37.0,25.34
235,12.41,18.0,10.57
239,14.32,22.0,19.67
244,10.1,9.0,9.62
245,28.59,34.0,35.79
252,26.94,33.0,32.63
253,37.5,25.0,29.67
254,14.6,2.0,5.71
262,43.19,41.0,57.49
263,45.69,57.0,66.2
266,44.12,34.0,35.05
267,44.68,38.0,36.96
268,24.21,33.0,36.06
274,48.57,3.0,8.57
275,50.12,2.0,6.71
281,70.44,70.0,71.04
282,46.13,58.0,41.39
292,55.21,69.0,62.65
293,55.83,55.0,71.03
299,60.55,59.0,63.89
300,55.52,49.0,52.15
301,56.51,46.0,41.05
306,54.87,54.0,65.96
310,48.37,56.0,68.42
313,55.12,59.0,54.49
316,68.67,55.0,68.44
317,54.72,43.0,40.68
319,65.55,74.0,70.02
322,59.49,59.0,56.25
324,53.57,50.0,42.17
325,64.63,75.0,62.87
333,41.55,47.0,45.91
341,53.77,48.0,41.25
350,17.57,6.0,4.56
357,42.98,42.0,36.85
360,18.96,3.0,4.13
361,20.83,34.0,30.63
362,34.87,40.0,39.29
363,18.32,6.0,9.41
364,16.53,3.0,4.19
