,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,3.9,4.0,4.36
1,2.7,3.0,2.73
3,2.85,3.0,3.96
4,5.52,5.0,3.99
6,12.52,12.0,12.61
7,9.8,9.0,9.84
8,19.88,19.0,22.97
9,5.03,4.0,3.99
10,2.82,3.0,2.48
11,11.99,13.0,11.48
12,6.72,7.0,7.11
13,5.06,5.0,5.01
14,16.05,15.0,17.63
15,9.22,9.0,9.73
18,4.28,6.0,5.43
19,6.58,6.0,6.08
21,4.05,4.0,3.56
23,1.9,3.0,2.89
25,4.45,5.0,4.33
26,3.79,4.0,3.13
27,5.72,6.0,4.43
30,3.75,5.0,4.52
31,3.0,3.0,4.04
32,2.23,3.0,1.34
33,2.13,3.0,2.68
34,4.13,4.0,3.31
35,5.88,6.0,6.37
36,4.12,4.0,4.02
37,3.73,3.0,2.79
38,3.03,3.0,2.71
39,8.53,6.0,5.79
40,3.55,4.0,3.99
41,5.11,4.0,3.46
42,3.78,3.0,3.48
45,2.98,3.0,2.9
46,7.9,8.0,8.84
47,6.91,8.0,7.45
48,5.13,6.0,6.16
49,5.27,4.0,5.32
50,7.19,8.0,7.54
53,8.47,8.0,6.87
54,10.06,10.0,10.04
56,7.31,7.0,8.59
57,9.94,10.0,8.57
58,1.5,3.0,1.08
59,2.66,3.0,2.04
60,10.19,10.0,8.83
61,8.25,9.0,8.7
62,9.89,10.0,10.46
63,11.0,11.0,10.82
64,10.4,9.0,9.37
65,3.55,3.0,3.75
67,11.75,12.0,11.16
68,12.31,12.0,11.76
69,13.43,13.0,14.14
70,16.28,17.0,17.77
71,12.36,13.0,14.1
72,3.41,3.0,3.25
73,2.14,3.0,2.3
74,13.96,14.0,16.04
75,13.04,13.0,13.49
79,4.12,4.0,3.02
82,9.83,10.0,9.9
83,11.69,12.0,10.27
84,11.66,12.0,12.18
87,3.03,3.0,2.63
88,14.57,15.0,12.4
90,11.14,11.0,12.61
91,10.05,9.0,9.26
92,8.0,8.0,8.19
93,2.34,3.0,0.9
94,2.35,4.0,3.57
95,10.86,11.0,9.18
96,12.17,12.0,15.0
97,13.61,13.0,17.11
98,10.86,12.0,13.06
99,13.23,11.0,12.91
101,6.0,7.0,6.52
104,13.8,14.0,15.27
105,14.18,15.0,15.02
107,6.37,7.0,5.67
110,26.99,27.0,28.3
111,23.31,24.0,29.41
112,4.04,3.0,2.15
113,4.75,3.0,3.8
114,11.99,10.0,14.08
116,20.53,20.0,22.82
117,15.12,14.0,13.26
118,21.19,21.0,24.36
119,23.39,22.0,27.78
121,3.94,7.0,4.96
122,9.42,3.0,8.85
124,40.78,42.0,41.94
126,45.92,46.0,43.17
127,43.52,46.0,41.28
128,23.61,24.0,25.84
131,55.49,60.0,54.45
133,35.08,35.0,32.92
134,28.14,29.0,23.18
135,18.69,21.0,19.54
137,22.97,23.0,21.5
139,36.61,37.0,33.57
140,38.29,39.0,40.42
142,24.74,24.0,26.36
145,42.61,42.0,37.93
146,42.08,43.0,35.45
147,54.21,59.0,53.97
149,34.06,32.0,31.88
150,24.17,24.0,23.44
151,46.48,46.0,41.68
153,24.13,27.0,23.2
154,9.61,10.0,9.86
156,4.81,3.0,4.11
157,3.96,3.0,1.95
158,11.76,12.0,13.44
159,9.49,9.0,8.31
162,14.55,13.0,14.42
163,3.19,3.0,2.38
164,2.67,3.0,2.96
165,15.14,15.0,13.27
168,14.05,13.0,11.65
170,4.85,4.0,7.06
171,2.9,3.0,0.55
172,2.0,3.0,2.24
174,14.26,13.0,12.97
175,3.93,4.0,4.41
176,14.41,13.0,16.9
178,3.32,3.0,2.6
179,12.7,13.0,11.92
180,13.36,14.0,24.05
181,14.32,15.0,23.5
182,14.41,14.0,11.94
184,2.19,4.0,1.8
186,13.4,13.0,12.25
187,10.72,9.0,8.13
189,10.92,11.0,12.57
190,14.63,16.0,25.41
191,10.73,11.0,11.45
192,5.87,6.0,5.49
194,8.95,8.0,8.98
195,7.42,7.0,7.72
196,9.36,9.0,9.01
197,11.62,12.0,9.04
198,6.87,7.0,6.76
200,4.78,4.0,4.87
201,3.99,3.0,3.06
202,6.5,6.0,8.05
203,3.32,4.0,4.07
204,2.61,3.0,3.01
206,1.41,3.0,4.26
207,4.07,4.0,3.67
208,3.26,3.0,2.39
210,6.15,6.0,5.43
212,3.32,3.0,3.34
214,3.62,4.0,3.51
215,3.62,4.0,3.71
216,3.34,3.0,3.8
217,5.36,4.0,3.84
219,5.06,5.0,5.73
225,4.37,4.0,3.78
226,3.27,3.0,4.8
227,1.95,3.0,1.89
228,4.53,5.0,7.32
230,5.48,6.0,4.21
232,3.34,4.0,4.35
233,6.48,7.0,5.69
235,4.73,6.0,6.76
236,4.62,4.0,2.65
239,6.74,6.0,4.86
242,15.51,14.0,16.65
244,7.54,7.0,7.23
245,12.35,12.0,8.49
246,15.48,14.0,14.59
247,8.64,10.0,11.12
248,23.79,26.0,27.69
249,40.55,40.0,41.72
251,25.89,27.0,26.41
252,24.37,24.0,23.94
254,5.23,4.0,2.69
256,27.62,26.0,25.72
257,31.6,31.0,30.41
259,22.74,23.0,23.17
260,25.47,26.0,24.95
263,31.88,31.0,30.61
264,29.5,29.0,26.25
265,23.95,26.0,25.39
267,38.06,40.0,38.98
268,26.09,27.0,27.29
269,4.9,3.0,6.48
270,31.14,36.0,31.78
271,32.82,35.0,31.27
272,6.44,4.0,3.99
274,14.74,4.0,8.78
275,9.76,3.0,10.74
276,6.3,4.0,8.72
278,36.92,35.0,39.25
280,60.39,62.0,63.94
281,57.1,60.0,63.99
282,4.12,3.0,-0.41
283,2.76,3.0,2.4
284,6.03,4.0,7.87
285,34.82,32.0,39.04
286,36.87,34.0,37.43
287,37.0,34.0,36.31
288,35.55,33.0,38.7
289,13.12,14.0,25.88
290,4.55,3.0,5.74
292,39.13,36.0,39.6
293,40.87,34.0,41.9
294,69.56,73.0,70.01
295,79.78,92.0,72.3
296,42.19,43.0,35.51
299,56.9,60.0,50.31
300,61.53,63.0,59.86
301,64.34,64.0,61.46
302,56.03,57.0,48.19
304,35.5,39.0,37.36
305,64.18,67.0,70.09
306,65.78,67.0,67.24
308,61.71,62.0,59.98
309,61.44,63.0,61.77
310,39.15,43.0,39.98
315,74.62,76.0,59.88
316,49.04,44.0,46.71
317,50.34,52.0,46.96
318,44.04,46.0,41.49
319,67.19,68.0,66.88
320,63.54,64.0,63.41
322,63.66,66.0,67.21
323,62.16,62.0,56.84
325,44.45,43.0,42.73
326,70.51,67.0,70.93
330,65.83,66.0,67.14
332,34.5,34.0,30.47
333,51.71,50.0,54.13
334,53.89,55.0,54.65
335,52.69,55.0,55.59
336,41.66,41.0,35.61
338,36.24,36.0,38.66
341,58.53,61.0,58.52
342,50.01,50.0,45.44
343,56.48,59.0,60.48
344,54.4,57.0,52.71
347,20.27,20.0,20.94
348,3.67,4.0,3.91
350,6.82,6.0,6.03
351,33.12,33.0,40.77
353,5.74,4.0,5.1
356,19.27,16.0,24.63
358,14.46,12.0,13.52
360,2.84,3.0,4.73
361,6.9,7.0,9.69
363,6.16,6.0,5.33
364,5.04,5.0,5.27
