,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,15.41,0.0
1,15.41,0.0
3,23.02,0.0
4,22.36,0.0
6,23.27,0.0
7,32.27,0.0
8,22.36,0.0
9,23.27,0.0
10,23.27,0.0
11,32.78,0.0
12,23.92,0.0
13,22.36,0.0
14,23.27,0.0
15,27.42,0.0
18,38.4,0.0
19,22.32,0.0
21,22.32,0.0
23,22.32,0.0
25,26.1,0.0
26,32.45,0.0
27,14.59,0.0
30,15.41,0.0
31,15.41,0.0
32,23.2,0.0
33,15.41,0.0
34,15.41,0.0
35,38.49,0.0
36,21.0,0.0
37,15.41,0.0
38,15.41,0.0
39,15.41,0.0
40,15.41,0.0
41,15.41,0.0
42,23.02,0.0
45,38.49,0.0
46,23.02,0.0
47,20.96,0.0
48,18.95,0.0
49,14.76,0.0
50,16.78,0.0
53,14.59,0.0
54,14.59,0.0
56,14.76,0.0
57,14.95,0.0
58,14.59,0.0
59,14.59,0.0
60,14.59,0.0
61,23.02,0.0
62,15.41,0.0
63,15.41,0.0
64,38.49,0.0
65,21.0,0.0
67,15.41,0.0
68,15.41,0.0
69,15.41,0.0
70,15.41,0.0
71,15.41,0.0
72,15.41,0.0
73,15.41,0.0
74,21.0,0.0
75,38.49,0.0
79,20.96,0.0
82,14.95,0.0
83,14.76,0.0
84,16.78,0.0
87,14.76,0.0
88,14.59,0.0
90,14.76,0.0
91,21.0,0.0
92,21.0,0.0
93,23.02,0.0
94,21.0,0.0
95,21.0,0.0
96,39.5,0.0
97,21.0,0.0
98,21.0,0.0
99,21.0,0.0
101,21.0,0.0
104,21.0,0.0
105,23.02,0.0
107,38.49,0.0
110,14.59,0.0
111,14.59,0.0
112,14.59,0.0
113,14.59,0.0
114,14.59,0.0
116,14.59,0.0
117,16.78,0.0
118,16.78,0.0
119,16.78,0.0
121,16.78,0.0
122,14.71,0.0
124,14.73,0.0
126,14.73,0.0
127,14.73,0.0
128,14.71,0.0
131,14.73,0.0
133,14.73,0.0
134,14.73,0.0
135,14.71,0.0
137,14.73,0.0
139,14.53,0.0
140,14.71,0.0
142,14.7,0.0
145,14.53,0.0
146,14.71,0.0
147,14.71,0.0
149,14.7,0.0
150,14.7,0.0
151,14.53,0.0
153,14.73,0.0
154,14.73,0.0
156,14.71,0.0
157,14.71,0.0
158,14.68,0.0
159,14.68,0.0
162,14.73,0.0
163,14.71,0.0
164,14.71,0.0
165,14.73,0.0
168,14.68,0.0
170,14.52,0.0
171,14.7,0.0
172,14.65,0.0
174,14.53,0.0
175,14.52,0.0
176,14.66,0.0
178,14.65,0.0
179,14.66,0.0
180,14.66,0.0
181,14.53,0.0
182,14.53,0.0
184,14.66,0.0
186,14.73,0.0
187,14.73,0.0
189,14.73,0.0
190,14.73,0.0
191,17.35,0.0
192,17.35,0.0
194,14.73,0.0
195,14.68,0.0
196,14.68,0.0
197,14.68,0.0
198,14.71,0.0
200,28.33,0.0
201,19.66,0.0
202,14.66,0.0
203,27.42,0.0
204,27.42,0.0
206,33.12,0.0
207,27.42,0.0
208,27.16,0.0
210,14.66,0.0
212,33.12,0.0
214,14.68,0.0
215,14.68,0.0
216,14.66,0.0
217,14.68,0.0
219,35.84,0.0
225,33.87,0.0
226,30.93,0.0
227,31.47,0.0
228,30.93,0.0
230,34.11,0.0
232,32.81,0.0
233,32.19,0.0
235,36.29,0.0
236,27.42,0.0
239,32.49,0.0
242,32.49,0.0
244,34.11,0.0
245,24.54,0.0
246,33.9,0.0
247,24.54,0.0
248,33.83,0.0
249,25.14,0.0
251,36.12,0.0
252,26.72,0.0
254,32.19,0.0
256,24.54,0.0
257,25.14,0.0
259,34.38,0.0
260,37.43,0.0
263,32.19,0.0
264,32.49,0.0
265,27.36,0.0
267,32.49,0.0
268,22.36,0.0
269,32.42,0.0
270,32.54,0.0
271,33.73,0.0
272,35.02,0.0
274,27.77,0.0
275,33.83,0.0
276,29.49,0.0
278,24.54,0.0
280,25.14,0.0
281,29.94,0.0
282,33.9,0.0
283,34.38,0.0
284,37.43,0.0
285,25.14,0.0
286,32.49,0.0
287,31.9,0.0
288,32.49,0.0
289,31.9,0.0
290,32.19,0.0
292,35.02,0.0
293,34.05,0.0
294,27.31,0.0
295,31.08,0.0
296,31.28,0.0
299,32.49,0.0
300,25.14,0.0
301,35.44,0.0
302,32.42,0.0
304,34.91,0.0
305,33.91,0.0
306,35.77,0.0
308,32.71,0.0
309,27.54,0.0
310,34.52,0.0
315,36.12,0.0
316,26.05,0.0
317,32.56,0.0
318,25.14,0.0
319,25.14,0.0
320,32.81,0.0
322,31.4,0.0
323,31.08,0.0
325,27.77,0.0
326,33.05,0.0
330,26.1,0.0
332,26.1,0.0
333,34.98,0.0
334,29.4,0.0
335,22.36,0.0
336,35.3,0.0
338,38.36,0.0
341,37.43,0.0
342,23.27,0.0
343,34.53,0.0
344,23.27,0.0
347,18.15,0.0
348,35.3,0.0
350,34.45,0.0
351,36.12,0.0
353,35.3,0.0
356,33.59,0.0
358,36.95,0.0
360,14.59,0.0
361,32.45,0.0
363,36.29,0.0
364,22.36,0.0
