,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
2,15.41,0.0
5,38.82,0.0
16,21.91,0.0
17,15.47,0.0
20,14.59,0.0
22,26.1,0.0
24,22.32,0.0
28,16.78,0.0
29,14.59,0.0
43,23.02,0.0
44,15.41,0.0
51,16.78,0.0
52,16.78,0.0
55,42.7,0.0
66,21.0,0.0
76,23.02,0.0
77,23.02,0.0
78,15.47,0.0
80,16.78,0.0
81,14.59,0.0
85,14.76,0.0
86,42.53,0.0
89,16.78,0.0
100,23.02,0.0
102,23.02,0.0
103,21.0,0.0
106,21.0,0.0
108,21.15,0.0
109,19.13,0.0
115,14.59,0.0
120,14.76,0.0
123,14.73,0.0
125,42.64,0.0
129,14.71,0.0
130,14.71,0.0
132,14.73,0.0
136,14.71,0.0
138,14.73,0.0
141,14.71,0.0
143,42.65,0.0
144,14.53,0.0
148,14.71,0.0
152,14.71,0.0
155,14.73,0.0
160,42.66,0.0
161,14.73,0.0
166,14.73,0.0
167,14.73,0.0
169,14.73,0.0
173,42.64,0.0
177,14.65,0.0
183,14.73,0.0
185,42.67,0.0
188,14.73,0.0
193,14.73,0.0
199,36.29,0.0
205,26.1,0.0
209,19.48,0.0
211,23.4,0.0
213,19.48,0.0
218,14.68,0.0
220,37.98,0.0
221,14.68,0.0
222,42.66,0.0
223,14.68,0.0
224,22.42,0.0
229,19.68,0.0
231,30.02,0.0
234,30.02,0.0
237,32.49,0.0
238,35.02,0.0
240,27.36,0.0
241,27.36,0.0
243,35.02,0.0
250,22.36,0.0
253,37.43,0.0
255,32.81,0.0
258,33.9,0.0
261,32.34,0.0
262,33.9,0.0
266,35.17,0.0
273,36.32,0.0
277,36.34,0.0
279,33.83,0.0
291,32.81,0.0
297,37.43,0.0
298,32.76,0.0
303,27.54,0.0
307,28.45,0.0
311,36.23,0.0
312,34.58,0.0
313,37.43,0.0
314,32.62,0.0
321,32.17,0.0
324,37.43,0.0
327,37.85,0.0
328,33.91,0.0
329,31.08,0.0
331,36.95,0.0
337,34.58,0.0
339,29.4,0.0
340,23.27,0.0
345,38.36,0.0
346,27.42,0.0
349,34.45,0.0
352,29.4,0.0
354,22.36,0.0
355,25.14,0.0
357,30.04,0.0
359,27.42,0.0
362,25.14,0.0
