,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,1.12,1.0,1.0
3,1.17,1.0,1.0
7,1.36,1.0,1.0
8,1.21,1.0,1.0
12,1.27,1.0,1.0
16,1.26,1.0,1.0
17,1.08,1.0,1.0
18,1.11,2.0,2.0
21,1.08,1.0,1.0
26,1.25,2.0,2.0
38,1.09,1.0,1.0
39,1.1,1.0,1.0
43,1.12,1.0,1.0
45,1.11,2.0,2.0
46,1.11,1.0,1.0
48,1.11,1.0,1.0
50,1.1,1.0,1.0
51,1.1,1.0,1.0
55,1.1,2.0,2.0
56,1.11,1.0,1.0
58,1.08,1.0,1.0
60,1.1,1.0,1.0
61,1.2,1.0,1.0
62,1.12,1.0,1.0
66,1.13,1.0,1.0
68,1.11,1.0,1.0
73,1.18,1.0,1.0
82,1.22,1.0,1.0
89,1.11,1.0,1.0
91,1.13,1.0,1.0
97,1.19,1.0,1.0
98,1.13,1.0,1.0
101,1.18,1.0,1.0
102,1.12,1.0,1.0
103,1.19,1.0,1.0
106,1.22,1.0,1.0
112,1.08,1.0,1.0
116,1.08,1.0,1.0
133,1.07,1.0,1.0
134,1.1,1.0,1.0
137,1.09,1.0,1.0
139,1.08,1.0,1.0
140,1.08,1.0,1.0
143,1.21,2.0,2.0
144,1.08,1.0,1.0
147,1.21,1.0,1.0
149,1.21,1.0,1.0
150,1.09,1.0,1.0
153,1.11,1.0,1.0
156,1.12,1.0,1.0
159,1.1,1.0,1.0
160,1.1,2.0,2.0
161,1.12,1.0,1.0
162,1.17,1.0,1.0
164,1.08,1.0,1.0
165,1.08,1.0,1.0
170,1.1,1.0,1.0
171,1.16,1.0,1.0
179,1.13,1.0,1.0
185,1.24,2.0,2.0
186,1.24,1.0,1.0
187,1.22,1.0,1.0
198,1.1,1.0,1.0
201,1.26,1.0,1.0
203,1.16,1.0,1.0
204,1.24,1.0,1.0
208,1.32,1.0,1.0
212,1.25,2.0,2.0
213,1.27,1.0,1.0
215,1.13,1.0,1.0
223,1.12,1.0,1.0
234,1.28,1.0,1.0
235,1.24,2.0,2.0
239,1.41,2.0,2.0
244,1.35,2.0,2.0
245,1.39,1.0,1.0
252,1.4,1.0,1.0
253,1.4,2.0,2.0
254,1.45,1.0,1.0
262,1.45,2.0,2.0
263,1.48,1.0,1.0
266,1.32,1.0,1.0
267,1.47,2.0,2.0
268,1.33,1.0,1.0
274,1.36,1.0,1.0
275,1.39,2.0,2.0
281,1.46,1.0,1.0
282,1.43,2.0,2.0
292,1.35,1.0,1.0
293,1.37,2.0,2.0
299,1.45,2.0,2.0
300,1.4,1.0,1.0
301,1.32,1.0,1.0
306,1.33,2.0,2.0
310,1.39,1.0,1.0
313,1.36,2.0,2.0
316,1.34,1.0,1.0
317,1.51,2.0,2.0
319,1.35,1.0,1.0
322,1.23,2.0,2.0
324,1.4,2.0,2.0
325,1.37,1.0,1.0
333,1.23,2.0,2.0
341,1.35,2.0,2.0
350,1.33,1.0,1.0
357,1.51,1.0,1.0
360,1.11,1.0,1.0
361,1.26,2.0,2.0
362,1.33,1.0,1.0
363,1.22,2.0,2.0
364,1.24,1.0,1.0
