,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
3,1.5,2.0,2.11
4,9.08,7.0,7.4
6,9.02,8.0,7.8
9,2.29,2.0,2.41
13,7.52,2.0,2.49
16,1.69,2.0,2.14
21,2.09,2.0,2.19
22,6.72,5.0,6.01
28,0.42,2.0,2.14
35,0.48,2.0,2.18
38,-0.08,2.0,2.0
39,2.19,1.0,1.19
40,0.73,2.0,2.24
46,2.91,2.0,1.9
53,6.72,1.0,1.09
54,6.16,2.0,1.6
60,3.31,2.0,2.19
61,1.23,1.0,1.2
62,2.24,2.0,1.99
74,1.02,2.0,2.07
76,1.68,2.0,2.07
77,2.83,2.0,2.22
80,0.51,1.0,1.16
81,5.6,7.0,7.25
82,9.23,8.0,7.8
84,1.73,4.0,5.14
90,0.05,2.0,2.2
96,13.73,10.0,10.27
100,-0.23,1.0,-0.52
103,15.22,14.0,20.13
105,12.92,14.0,19.41
106,27.35,26.0,28.29
107,0.86,2.0,2.25
112,4.91,1.0,4.14
114,4.85,2.0,4.99
119,24.84,29.0,23.02
124,33.73,30.0,31.63
127,32.92,38.0,32.35
133,12.89,13.0,19.98
134,1.57,3.0,2.84
136,2.12,1.0,1.27
141,27.98,26.0,29.4
145,19.5,25.0,24.01
148,32.07,38.0,28.37
149,6.28,1.0,4.14
152,16.43,28.0,18.97
164,0.49,2.0,1.77
169,2.97,1.0,1.17
170,0.11,2.0,1.29
178,0.99,2.0,2.12
179,1.26,1.0,1.2
180,1.5,1.0,1.2
181,4.09,5.0,6.22
182,7.33,7.0,7.25
184,-0.57,1.0,0.64
188,7.32,7.0,8.01
196,2.09,1.0,1.19
199,2.11,1.0,1.26
201,3.19,1.0,1.65
207,2.79,2.0,2.36
212,1.49,1.0,1.15
217,2.12,1.0,1.22
218,3.58,2.0,2.16
219,1.65,1.0,1.19
221,1.34,2.0,2.15
223,3.37,2.0,2.11
227,2.6,1.0,1.35
229,4.11,4.0,3.06
231,9.97,6.0,6.46
232,10.0,9.0,7.8
235,1.15,8.0,6.52
240,2.36,2.0,2.02
241,-0.47,2.0,2.04
243,12.61,14.0,8.71
245,16.23,21.0,21.77
246,17.61,15.0,12.32
251,26.08,26.0,23.65
253,22.59,26.0,23.97
254,1.82,2.0,2.29
256,23.56,25.0,20.56
260,24.39,25.0,23.66
261,3.7,2.0,2.71
262,-0.13,2.0,2.0
265,19.33,25.0,21.84
267,22.6,26.0,26.31
274,22.43,2.0,3.0
276,-0.11,2.0,2.78
277,27.23,2.0,2.38
278,29.51,32.0,28.32
282,0.85,2.0,2.08
283,-1.09,1.0,1.06
288,31.51,32.0,32.08
291,31.14,29.0,28.65
294,30.33,34.0,32.1
295,30.52,33.0,31.5
296,2.15,2.0,2.08
300,31.06,30.0,31.71
305,31.31,32.0,31.31
307,28.99,29.0,28.1
310,2.56,2.0,2.78
316,3.69,2.0,3.0
320,30.66,29.0,30.9
322,32.75,33.0,29.55
327,32.91,32.0,31.16
329,32.21,32.0,31.16
332,2.61,2.0,2.12
335,9.57,18.0,19.68
342,23.19,25.0,25.35
357,20.66,23.0,25.55
359,1.48,1.0,1.24
364,4.3,1.0,1.48
