,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,30.69,8.83
3,44.59,9.13
6,5.14,15.46
7,106.21,9.49
8,19.56,9.29
11,73.91,46.5
15,15.82,12.4
16,82.69,2.25
19,87.43,8.07
22,9.64,7.82
25,16.34,10.48
26,6.3,38.6
32,31.78,15.72
35,33.28,12.28
40,21.71,1.31
42,87.02,5.98
44,0.48,2.36
45,4.37,3.82
46,66.65,3.98
48,110.0,11.65
56,67.29,12.95
64,25.11,5.94
66,12.11,10.97
68,32.83,16.67
74,57.58,16.19
79,31.01,0.08
81,21.56,25.13
82,2.31,21.49
84,48.22,19.32
89,49.56,10.21
90,87.74,14.02
100,35.4,22.63
102,12.68,20.33
103,4.8,7.72
112,77.02,40.68
114,72.17,36.42
117,2.72,3.93
118,0.89,3.08
119,31.82,27.45
121,2.4,29.3
123,5.79,2.69
126,9.66,5.09
129,28.71,72.9
130,144.68,17.35
132,13.15,8.7
134,46.66,8.43
135,34.51,18.55
136,30.06,5.5
144,18.34,0.1
146,10.23,5.27
147,15.52,11.14
156,8.08,1.63
157,41.96,0.84
158,13.42,0.67
159,12.37,9.89
160,23.45,19.36
167,50.45,3.15
180,62.01,25.0
186,24.37,17.78
187,21.8,19.88
188,45.91,26.93
189,2.95,8.67
194,30.56,5.67
200,431.35,31.39
205,11.26,14.39
206,68.66,16.7
211,11.21,18.93
214,97.11,3.26
218,70.41,9.78
222,39.97,3.87
224,2.06,32.42
227,30.16,3.47
228,1.43,13.38
238,66.85,11.47
247,50.82,9.59
248,190.1,11.12
249,11.07,0.05
252,27.38,12.04
253,13.33,1.08
255,65.71,9.65
257,7.02,0.53
262,71.01,1.48
268,25.78,2.98
269,38.56,3.6
277,1758.49,33.35
278,10.93,9.87
279,8.76,1.86
281,26.34,4.07
287,5.77,0.24
289,20.98,8.16
294,15.71,2.43
295,20.33,3.57
297,60.51,12.78
301,8.9,0.59
305,7.04,1.65
316,7.51,9.31
321,7.4,2.13
325,189.56,7.77
327,0.43,2.63
329,5.64,2.59
334,22.52,6.34
338,48.49,9.7
340,0.81,0.74
343,13.2,8.76
347,140.1,0.84
348,49.9,12.13
351,9.57,4.62
357,32.17,13.82
360,1.12,10.06
361,32.68,12.91
363,18.19,18.39
