,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
1,1.02,1.0,0.97
2,1.19,2.0,1.96
4,8.18,11.0,10.6
5,13.43,13.0,13.25
6,5.53,6.0,6.05
9,1.25,1.0,1.09
10,1.26,1.0,1.22
11,3.42,3.0,3.39
13,2.82,2.0,2.11
14,7.88,9.0,8.46
15,4.6,4.0,3.87
19,1.38,1.0,1.02
20,2.05,1.0,0.97
22,3.96,4.0,4.25
23,1.08,1.0,1.03
24,0.91,1.0,0.98
25,5.34,6.0,6.04
27,0.89,1.0,0.94
28,1.48,2.0,2.01
29,0.96,1.0,1.07
30,1.19,1.0,0.93
31,1.08,1.0,1.05
32,0.88,1.0,0.88
33,1.11,1.0,0.94
34,1.22,1.0,0.94
35,1.52,2.0,1.91
36,1.05,1.0,1.09
37,1.26,1.0,1.02
40,1.17,1.0,0.94
41,1.68,2.0,2.02
42,0.9,1.0,1.03
44,1.21,1.0,0.99
47,1.26,2.0,2.06
49,1.17,1.0,1.01
52,1.19,1.0,1.01
53,2.38,2.0,2.0
54,2.36,1.0,0.83
57,1.13,1.0,1.16
59,1.43,2.0,1.99
63,1.71,2.0,2.04
64,0.94,1.0,1.03
65,0.64,1.0,0.97
67,5.05,6.0,6.43
69,8.29,8.0,8.27
70,8.36,8.0,8.02
71,7.28,8.0,7.95
72,0.81,0.0,0.44
74,1.12,1.0,0.95
75,7.53,8.0,7.97
76,1.31,1.0,1.05
77,1.28,1.0,1.09
78,3.57,1.0,1.01
79,1.19,1.0,1.01
80,1.04,1.0,1.06
81,4.33,5.0,5.5
83,1.2,1.0,0.9
84,1.67,1.0,1.1
85,2.59,3.0,2.28
86,0.86,1.0,0.68
87,0.87,1.0,0.9
88,7.91,9.0,8.29
90,1.07,1.0,1.0
92,1.07,1.0,1.02
93,0.5,1.0,1.04
94,1.24,1.0,1.06
95,1.12,1.0,1.06
96,8.75,8.0,8.47
99,2.43,1.0,0.96
100,1.87,1.0,1.36
104,9.05,9.0,8.41
105,12.82,12.0,12.89
107,1.06,1.0,0.63
108,1.61,1.0,1.27
109,13.68,14.0,13.85
110,13.63,14.0,13.85
111,13.84,14.0,13.85
113,1.76,1.0,1.3
114,1.91,1.0,1.36
115,1.76,1.0,1.32
117,8.52,9.0,8.47
118,13.06,12.0,12.83
119,13.18,17.0,13.89
120,12.18,12.0,12.67
121,1.7,1.0,1.26
122,1.65,1.0,1.37
123,13.38,14.0,14.43
124,13.44,13.0,14.44
125,13.84,16.0,14.6
126,13.8,15.0,14.57
127,13.63,15.0,14.46
128,1.36,1.0,0.81
129,1.12,1.0,0.79
130,1.45,1.0,0.85
131,13.68,15.0,14.31
132,13.61,15.0,14.29
135,1.1,1.0,0.94
136,1.21,1.0,0.97
138,2.16,1.0,0.95
141,13.59,14.0,13.66
142,1.67,1.0,1.33
145,12.88,13.0,12.89
146,13.57,14.0,13.79
148,13.2,13.0,13.64
151,13.6,14.0,13.74
152,12.01,13.0,13.02
154,0.97,1.0,1.02
155,0.76,1.0,1.01
157,1.15,1.0,0.9
158,1.03,1.0,0.97
163,0.83,1.0,0.65
166,2.25,1.0,1.0
167,4.9,6.0,5.57
168,1.75,2.0,1.91
169,0.95,1.0,1.0
172,0.7,1.0,0.87
173,4.54,5.0,5.52
174,8.68,9.0,10.82
175,1.02,0.0,0.37
176,11.58,10.0,12.09
177,0.49,0.0,0.52
178,0.98,1.0,0.82
180,0.99,1.0,0.99
181,1.45,1.0,0.86
182,4.78,6.0,6.34
183,2.36,1.0,0.9
184,0.97,1.0,0.74
188,4.82,5.0,5.32
189,0.92,1.0,0.95
190,7.27,7.0,6.48
191,0.7,1.0,1.03
192,0.57,1.0,1.02
193,7.64,8.0,8.14
194,1.02,1.0,1.03
195,1.0,1.0,0.97
196,1.42,1.0,0.96
197,1.32,1.0,1.0
199,1.25,1.0,0.93
200,3.55,1.0,1.39
202,1.33,1.0,0.91
205,1.18,1.0,1.02
206,0.94,1.0,0.94
207,2.67,1.0,1.02
209,1.84,1.0,1.02
210,0.99,1.0,0.9
211,1.0,1.0,0.84
214,1.19,1.0,1.09
216,0.77,0.0,0.57
217,1.99,1.0,0.78
218,1.7,1.0,0.92
219,1.36,2.0,2.02
220,0.99,1.0,0.96
221,1.21,1.0,1.05
222,1.18,1.0,1.09
224,2.62,3.0,3.22
225,2.34,3.0,3.28
226,1.29,1.0,0.88
227,1.03,1.0,0.95
228,3.41,4.0,4.1
229,3.58,4.0,3.95
230,4.61,6.0,5.48
231,6.3,6.0,5.0
232,6.29,7.0,7.24
233,1.3,1.0,1.08
236,1.58,2.0,2.22
237,6.28,7.0,7.14
238,5.56,5.0,5.55
240,1.35,2.0,2.09
241,1.52,1.0,0.95
242,14.39,17.0,17.17
243,8.65,9.0,8.64
246,10.58,10.0,10.18
247,1.17,1.0,1.08
248,1.52,1.0,1.0
249,16.79,18.0,18.18
250,11.63,11.0,10.63
251,16.81,17.0,17.34
255,1.63,1.0,1.17
256,18.07,17.0,17.37
257,15.81,18.0,17.88
258,13.96,15.0,14.65
259,13.96,15.0,14.63
260,15.68,15.0,16.04
261,1.82,1.0,0.97
264,13.86,14.0,13.66
265,16.91,18.0,17.54
269,1.23,1.0,0.94
270,14.38,18.0,17.8
271,14.5,18.0,17.87
272,11.45,1.0,1.41
273,9.54,1.0,1.36
276,1.11,1.0,0.97
277,12.71,1.0,1.44
278,16.99,20.0,18.93
279,18.68,19.0,18.8
280,14.79,18.0,18.41
283,0.89,1.0,0.96
284,2.79,2.0,2.04
285,16.09,18.0,17.85
286,18.47,18.0,18.34
287,18.7,18.0,17.94
288,17.7,18.0,18.42
289,2.2,2.0,2.08
290,0.99,1.0,0.97
291,15.87,18.0,17.64
294,16.41,18.0,18.25
295,17.57,19.0,18.39
296,1.6,2.0,2.05
297,0.97,1.0,0.89
298,16.49,18.0,18.15
302,17.91,19.0,18.28
303,2.28,2.0,2.04
304,1.77,1.0,1.01
305,18.34,18.0,18.33
307,17.56,18.0,17.66
308,15.53,18.0,18.05
309,16.2,18.0,18.14
311,1.57,1.0,0.98
312,18.68,18.0,18.23
314,17.33,18.0,18.19
315,17.62,20.0,19.05
318,1.77,2.0,2.07
320,15.17,18.0,17.94
321,16.1,18.0,17.93
323,17.53,18.0,18.15
326,18.55,19.0,18.33
327,18.67,18.0,18.44
328,2.76,1.0,0.96
329,18.44,19.0,18.53
330,14.56,17.0,17.29
331,1.96,1.0,1.02
332,1.37,1.0,1.11
334,8.37,8.0,7.35
335,10.73,12.0,10.76
336,14.75,13.0,13.62
337,16.76,18.0,17.85
338,1.17,1.0,1.11
339,1.8,1.0,1.04
340,16.78,18.0,18.16
342,15.11,17.0,17.46
343,13.3,16.0,16.33
344,7.92,8.0,7.24
345,1.26,1.0,0.92
346,1.2,1.0,1.04
347,2.97,2.0,1.9
348,6.32,6.0,5.72
349,3.56,4.0,4.15
351,16.69,17.0,18.03
352,1.68,2.0,2.19
353,1.07,1.0,1.01
354,1.55,1.0,0.98
355,16.94,19.0,18.6
356,11.91,2.0,1.68
358,5.64,7.0,7.07
359,1.34,1.0,1.05
