,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,4.61,1.88
1,10.29,4.87
3,10.45,6.53
4,51.19,0.42
6,17.56,0.41
7,14.09,3.16
8,30.47,4.22
9,15.4,4.57
10,30.94,4.37
11,11.15,3.06
12,13.0,1.62
13,99.48,7.21
14,5.46,0.76
15,11.66,3.81
18,51.45,7.17
19,12.15,14.08
21,23.76,12.57
23,16.85,14.0
25,163.08,16.29
26,16.87,9.43
27,28.73,8.06
30,9.03,4.29
31,14.25,2.84
32,6.83,6.79
33,22.23,4.93
34,30.41,4.04
35,4.54,18.33
36,20.92,10.55
37,18.46,5.92
38,5.27,7.08
39,30.13,0.33
40,6.09,3.69
41,11.62,14.11
42,7.52,1.4
45,18.79,4.51
46,10.85,6.55
47,29.77,2.39
48,10.48,4.85
49,25.77,3.49
50,2.45,14.78
53,6.13,2.24
54,31.96,18.45
56,2.32,5.75
57,34.95,6.17
58,30.09,1.43
59,0.28,4.38
60,45.88,12.53
61,12.15,1.9
62,15.4,2.17
63,55.06,2.77
64,15.22,13.72
65,21.27,3.33
67,2.79,1.17
68,7.51,2.83
69,9.02,0.95
70,20.83,0.37
71,5.09,2.58
72,14.98,0.93
73,42.26,0.08
74,19.52,12.37
75,5.63,2.43
79,6.51,8.91
82,14.56,0.45
83,24.11,0.83
84,6.24,18.82
87,32.73,6.34
88,10.48,1.41
90,45.39,2.92
91,70.96,7.95
92,23.42,11.17
93,20.17,5.36
94,inf,inf
95,45.43,4.04
96,25.32,4.64
97,6.51,2.76
98,27.91,7.57
99,65.24,14.08
101,20.57,33.14
104,6.7,1.37
105,13.44,1.64
107,28.38,21.32
110,5.26,3.01
111,1.32,4.16
112,34.43,5.17
113,26.34,2.3
114,39.86,8.3
116,9.1,6.57
117,6.89,1.24
118,3.51,1.66
119,8.68,4.02
121,20.73,11.42
122,inf,inf
124,8.58,3.88
126,5.24,3.79
127,3.46,1.64
128,10.23,21.82
131,6.23,2.28
133,4.73,7.24
134,3.58,4.43
135,46.7,9.95
137,11.51,0.87
139,1.69,1.11
140,7.51,6.65
142,18.6,13.92
145,1.44,5.12
146,4.45,1.2
147,9.11,4.83
149,149.46,20.88
150,26.89,22.92
151,1.12,2.26
153,28.53,5.31
154,15.12,4.4
156,inf,inf
157,15.04,9.5
158,15.44,0.27
159,21.64,2.1
162,24.21,0.08
163,35.04,6.15
164,36.35,8.88
165,1.89,0.1
168,9.61,1.91
170,9.45,10.75
171,32.44,27.53
172,45.6,3.72
174,3.86,1.5
175,2.41,1.14
176,21.39,1.33
178,18.35,2.07
179,25.25,7.93
180,17.15,7.37
181,34.27,7.84
182,125.48,11.95
184,11.04,5.06
186,49.57,15.23
187,17.65,4.16
189,4.24,5.96
190,15.74,1.37
191,20.42,12.6
192,2.91,1.05
194,8.98,0.52
195,21.28,1.15
196,inf,inf
197,26.78,14.74
198,10.91,4.8
200,0.98,10.26
201,42.51,13.25
202,11.02,19.41
203,44.84,4.09
204,62.45,11.49
206,19.95,7.02
207,3.26,7.96
208,31.23,14.93
210,41.32,16.17
212,10.12,6.56
214,37.9,12.47
215,28.17,7.8
216,5.22,1.94
217,38.9,6.28
219,26.25,9.66
225,27.48,3.28
226,8.38,7.06
227,46.13,0.88
228,0.12,1.86
230,8.09,3.83
232,3.79,5.97
233,7.02,1.16
235,15.95,2.47
236,27.34,21.21
239,0.17,7.22
242,1.18,1.0
244,4.97,1.29
245,10.4,3.6
246,18.89,3.37
247,66.26,0.75
248,107.9,7.22
249,5.22,0.22
251,0.67,0.79
252,5.59,1.17
254,20.17,5.74
256,6.76,2.39
257,4.97,1.37
259,5.3,1.81
260,2.72,0.02
263,4.22,0.12
264,13.5,1.45
265,10.6,4.87
267,9.39,1.64
268,56.92,14.77
269,46.16,26.36
270,12.05,0.28
271,8.55,0.26
272,701.47,37.28
274,267.67,10.51
275,180.61,7.65
276,33.41,18.19
278,0.85,1.24
280,12.97,5.73
281,6.41,2.43
282,40.42,4.41
283,24.81,7.78
284,184.41,10.31
285,6.32,0.3
286,2.63,0.33
287,4.25,0.79
288,6.69,1.94
289,63.8,0.67
290,22.47,1.4
292,12.14,0.12
293,5.11,0.84
294,5.69,2.99
295,6.0,3.96
296,147.76,2.84
299,5.36,1.24
300,1.76,0.41
301,2.31,2.94
302,5.59,0.97
304,37.16,9.71
305,4.83,2.48
306,3.21,1.96
308,2.21,2.11
309,8.01,2.49
310,37.73,7.23
315,8.74,2.39
316,45.6,8.6
317,39.28,15.66
318,101.65,17.79
319,3.81,1.43
320,1.53,2.1
322,4.03,0.53
323,4.22,3.65
325,68.72,12.99
326,4.64,1.49
330,2.56,2.57
332,10.22,7.4
333,0.53,0.68
334,10.02,1.08
335,13.32,1.71
336,9.17,1.71
338,12.77,20.52
341,1.18,0.09
342,3.89,1.61
343,0.99,1.65
344,2.35,0.97
347,1.54,15.06
348,11.2,0.76
350,32.7,5.58
351,7.34,6.02
353,0.54,6.77
356,162.44,2.68
358,13.86,1.26
360,14.68,6.4
361,21.97,1.72
363,15.79,9.12
364,10.0,7.87
