,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
1,34.52,29.0,34.52
2,46.59,32.0,46.59
3,34.52,34.0,34.52
6,53.02,59.0,53.02
9,56.84,63.0,56.84
19,61.72,77.0,61.72
21,52.98,70.0,52.98
22,60.42,72.0,60.42
35,51.9,55.0,51.9
37,66.31,35.0,66.31
38,62.3,57.0,62.3
43,45.37,40.0,45.37
46,42.13,29.0,42.13
55,79.57,67.0,79.57
58,92.59,64.0,92.59
62,52.05,47.0,52.05
63,48.33,57.0,48.33
66,49.89,47.0,49.89
69,51.38,54.0,51.38
70,49.21,56.0,49.21
79,29.65,34.0,29.65
80,42.12,27.0,42.12
81,69.89,52.0,69.89
82,46.35,54.0,46.35
85,41.76,49.0,41.76
88,57.79,54.0,57.79
90,46.19,34.0,46.19
92,46.79,47.0,46.79
93,58.08,45.0,58.08
101,62.32,41.0,62.32
103,89.91,66.0,89.91
107,85.6,84.0,85.6
112,72.31,65.0,72.31
117,52.72,59.0,52.72
118,67.73,67.0,67.73
121,87.83,61.0,87.83
126,60.63,62.0,60.63
130,48.05,40.0,48.05
133,47.23,45.0,47.23
134,40.13,37.0,40.13
135,47.88,38.0,47.88
144,50.56,39.0,50.56
150,80.83,79.0,80.83
151,83.85,95.0,83.85
154,96.61,109.0,96.61
160,104.52,80.0,104.52
162,101.25,100.0,101.25
174,80.95,70.0,80.95
178,79.61,64.0,79.61
180,60.92,68.0,60.92
181,71.46,64.0,71.46
182,50.19,58.0,50.19
184,52.64,65.0,52.64
185,74.03,65.0,74.03
188,83.48,109.0,83.48
189,80.79,92.0,80.79
190,64.52,88.0,64.52
192,64.85,67.0,64.85
194,86.79,78.0,86.79
198,86.53,101.0,86.53
199,87.99,95.0,87.99
203,101.45,104.0,101.45
206,98.17,113.0,98.17
208,99.19,157.0,99.19
214,86.22,84.0,86.22
215,85.72,68.0,85.72
217,93.37,102.0,93.37
224,56.48,62.0,56.48
227,78.62,89.0,78.62
228,79.66,58.0,79.66
233,60.1,64.0,60.1
235,45.34,51.0,45.34
243,89.21,84.0,89.21
244,82.56,62.0,82.56
247,86.8,79.0,86.8
