,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,82.13,89.0,82.79
1,78.45,64.0,77.85
2,78.85,84.0,80.01
3,-2.24,2.0,-2.01
5,107.0,110.0,108.11
6,113.67,111.0,113.09
7,102.64,104.0,103.49
8,101.63,104.0,102.74
9,98.12,100.0,98.73
10,3.18,2.0,3.32
11,110.11,110.0,110.16
12,112.39,111.0,111.66
14,111.97,113.0,112.31
15,120.5,120.0,120.74
16,95.24,96.0,95.24
17,4.9,3.0,4.32
19,120.88,122.0,120.58
21,106.27,107.0,105.21
22,105.11,104.0,106.18
23,95.57,96.0,94.89
24,5.29,3.0,4.68
26,109.35,111.0,110.18
27,118.24,119.0,118.11
32,114.39,114.0,114.29
33,118.99,120.0,118.98
35,121.27,123.0,121.5
36,123.35,123.0,122.86
37,99.78,98.0,99.47
38,2.01,2.0,2.1
41,121.34,121.0,120.65
43,93.44,95.0,92.87
44,63.87,58.0,62.17
45,-1.04,2.0,-0.4
48,118.51,117.0,118.61
49,120.54,121.0,120.63
50,119.72,121.0,120.76
51,99.33,101.0,100.4
53,111.8,110.0,111.24
55,121.71,121.0,121.98
56,124.46,123.0,124.38
58,101.53,104.0,102.81
61,116.47,117.0,116.53
62,63.22,64.0,63.07
63,72.78,70.0,71.95
65,44.51,41.0,43.74
66,3.78,2.0,2.96
67,60.16,58.0,59.66
68,86.83,87.0,87.07
69,76.08,77.0,75.59
72,76.89,80.0,77.01
73,5.49,6.0,5.53
74,56.56,57.0,56.37
76,51.7,50.0,51.36
77,59.23,60.0,60.1
78,50.05,54.0,50.33
79,34.84,31.0,33.57
80,1.87,2.0,2.05
82,64.42,66.0,65.8
83,67.09,67.0,67.19
84,49.94,49.0,49.93
85,52.41,55.0,53.14
87,2.88,2.0,2.31
89,67.32,66.0,66.4
92,63.48,63.0,63.93
93,57.54,58.0,57.29
94,2.14,3.0,3.22
95,89.36,88.0,88.87
96,99.02,100.0,99.08
97,101.05,103.0,102.05
100,72.7,71.0,73.49
101,2.55,2.0,2.4
102,84.48,82.0,83.71
103,106.09,108.0,106.73
104,92.66,91.0,92.27
105,93.27,92.0,92.89
106,96.74,95.0,96.69
107,84.26,86.0,83.43
110,112.18,115.0,112.98
111,95.32,93.0,94.34
112,98.5,96.0,99.18
113,106.89,110.0,108.19
114,74.81,75.0,74.63
115,2.11,3.0,1.18
116,95.78,96.0,96.01
117,100.54,102.0,101.73
118,91.39,91.0,90.9
119,103.76,106.0,104.55
120,106.72,109.0,107.0
121,80.78,82.0,80.98
122,6.56,3.0,5.46
125,55.12,57.0,55.54
126,56.78,57.0,57.01
129,41.42,40.0,40.92
130,-0.21,3.0,1.04
134,43.42,44.0,42.94
135,41.74,41.0,41.43
136,39.97,38.0,38.35
137,0.44,3.0,1.99
138,38.89,37.0,39.34
139,39.06,37.0,37.31
140,44.36,45.0,44.22
141,51.82,51.0,51.42
142,60.26,60.0,60.15
143,46.05,46.0,46.3
144,2.91,2.0,1.72
145,48.89,51.0,49.27
146,53.63,51.0,53.58
147,67.21,70.0,67.56
148,78.35,79.0,78.36
149,79.24,80.0,79.32
150,56.79,56.0,56.84
153,71.33,64.0,68.69
156,84.73,87.0,85.89
158,3.09,2.0,2.2
160,88.17,88.0,87.68
161,84.75,86.0,85.54
162,86.05,84.0,85.12
163,86.34,87.0,86.71
167,79.18,79.0,79.69
168,73.56,76.0,73.57
169,73.35,74.0,73.61
171,71.95,73.0,73.92
172,3.52,2.0,2.36
174,66.73,68.0,66.73
176,56.1,55.0,55.86
178,46.85,45.0,46.46
179,-0.45,2.0,0.33
180,55.47,53.0,54.64
183,76.76,77.0,76.87
185,47.94,48.0,47.99
