,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,9.82,10.12
1,24.58,19.33
4,5.48,2.55
5,2.54,1.05
7,3.71,4.05
9,0.92,1.67
10,28.39,26.5
11,1.05,2.05
13,1.24,0.49
14,0.83,0.7
15,0.52,0.4
17,55.12,51.89
18,3.19,3.81
19,3.14,1.76
20,0.88,0.24
22,3.44,1.76
23,0.15,1.75
25,3.78,2.43
26,0.04,0.25
27,0.24,0.19
29,1.52,2.28
30,0.64,2.13
31,115.1,47.15
32,1.5,3.15
33,0.9,1.59
34,1.05,0.5
35,1.07,2.55
36,0.09,0.5
37,0.13,0.72
38,18.81,38.84
39,2.86,1.22
41,2.57,2.95
42,0.89,0.79
43,0.18,0.9
44,11.48,10.58
45,182.6,168.96
46,2.94,1.21
47,6.94,4.21
48,0.42,0.91
49,0.73,0.16
50,2.3,2.4
51,0.63,0.19
52,51.76,26.62
55,1.63,0.2
57,0.14,1.0
59,126.28,62.14
60,2.17,0.61
61,1.3,0.3
62,3.35,3.91
64,5.01,3.42
66,143.94,26.45
67,6.29,9.97
69,0.09,1.25
72,7.41,5.37
74,7.34,3.6
75,1.2,0.36
76,3.95,3.34
77,3.6,2.67
79,32.76,24.36
80,12.32,14.88
81,4.6,6.04
82,1.87,0.91
85,3.57,0.33
88,4.08,2.06
89,4.41,3.45
90,0.59,2.85
92,8.47,3.21
95,0.86,1.94
96,3.37,4.48
97,1.79,2.11
99,1.78,2.2
100,1.56,3.76
101,23.92,95.37
102,0.01,7.21
105,0.65,0.24
106,1.26,0.46
107,3.71,4.44
108,41.54,53.08
109,2.78,4.21
112,1.17,2.91
113,3.34,4.14
119,3.72,2.23
121,1.15,0.19
122,133.87,68.57
124,6.05,1.95
125,4.38,0.77
126,4.17,3.92
127,8.33,9.15
129,9.17,8.88
130,119.43,108.18
131,5.74,7.54
132,9.03,5.97
135,1.59,0.23
136,8.36,7.87
137,115.13,132.38
138,1.5,6.0
139,10.75,5.78
140,4.14,0.94
141,0.02,0.78
142,1.61,0.07
143,1.07,0.56
144,31.33,35.66
145,8.62,5.53
146,2.66,3.79
147,7.9,8.24
148,1.16,0.51
149,3.04,3.49
150,1.61,2.65
151,55.79,27.2
155,1.19,1.66
156,4.76,3.75
157,5.73,7.83
158,21.21,70.26
161,2.28,5.01
162,8.51,5.58
163,2.7,0.17
164,0.87,1.21
165,69.19,35.9
166,1704.24,84.5
167,2.95,1.64
168,10.32,0.26
169,0.18,2.15
171,1.49,2.9
172,44.33,73.02
173,5.52,4.61
175,2.66,2.68
176,2.28,3.45
179,186.72,73.72
180,1.63,4.23
182,1.05,3.17
183,4.44,0.92
186,83.57,41.95
187,22.0,22.19
191,6.36,1.85
192,10.08,8.12
193,101.34,18.24
194,0.48,2.19
195,1.8,0.96
196,1.03,2.51
201,13.02,8.8
202,5.17,4.76
203,4.27,3.9
206,8.6,8.16
207,184.83,164.52
208,7.51,4.21
210,4.55,4.08
212,2.38,4.83
213,0.14,0.42
214,3.9,7.26
215,3.59,0.71
216,2.05,0.46
217,1.73,0.3
218,2.28,4.63
219,1.35,1.29
220,8.66,7.33
221,255.49,128.22
222,10.7,7.94
223,3.03,5.93
224,10.78,11.51
225,0.7,1.08
228,27.58,8.35
229,2.86,1.36
231,8.01,8.91
232,0.23,5.93
234,3.5,4.25
236,1.81,1.58
237,9.18,6.37
240,5.47,5.9
241,10.08,8.29
242,42.72,108.51
244,6.58,3.77
246,5.72,6.6
247,0.88,0.37
