,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
6,12.29,5.55
7,42.48,21.59
13,10.28,3.43
15,1.33,5.75
19,9.9,9.31
25,10.77,0.74
27,7.8,13.12
32,14.95,13.95
34,18.7,15.41
35,8.66,17.29
38,55.92,34.8
39,9.98,13.55
41,2.22,4.49
44,336.99,275.57
49,4.58,7.67
50,8.18,5.92
52,3.55,25.97
54,2.99,2.05
55,12.2,11.99
58,2320.98,1744.59
59,0.06,17.74
61,5.69,3.6
69,43.87,58.68
73,2.92,21.8
76,188.67,111.81
80,663.67,467.7
84,59.37,26.98
86,4.64,7.62
90,30.11,15.4
91,31.32,58.19
93,1828.52,1639.19
96,3.47,4.87
97,0.44,1.42
99,1.64,2.17
101,32.71,21.59
114,2768.75,2377.86
116,9.59,12.29
122,32.6,15.26
