,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,0.55,1.63
3,14.82,5.02
4,7.34,7.98
5,1.78,2.14
6,2.12,0.72
7,3.11,1.74
8,3.59,2.33
9,13.42,4.02
10,9.71,0.85
11,4.11,0.42
14,1.42,0.77
15,2.36,0.19
16,8.01,6.17
17,13.77,3.23
18,2.57,3.42
19,12.88,4.73
21,52.0,20.41
22,21.94,2.62
23,2.15,0.41
25,7.53,3.04
26,7.82,0.65
27,0.82,0.72
28,0.45,1.02
29,2.21,1.63
33,1.72,0.57
34,0.27,0.68
35,0.36,0.21
37,2.96,0.83
38,1.79,1.26
39,0.47,0.72
40,7.05,4.26
41,3.21,2.78
45,7.05,2.78
46,3.67,1.08
47,10.65,5.22
48,1.87,0.46
49,2.95,0.29
50,1.5,0.64
52,2.76,0.04
55,0.02,0.29
56,6.02,2.57
58,5.98,5.64
59,1.11,1.21
60,1.04,0.23
61,1.98,1.03
63,1.9,0.69
64,0.06,0.61
65,15.76,2.06
66,4.0,1.5
67,5.36,2.52
68,0.48,0.13
69,2.09,0.7
70,0.24,2.51
71,1.73,0.54
73,0.97,0.06
74,8.76,1.57
77,0.99,0.52
78,5.78,1.06
80,20.03,4.51
81,5.7,2.06
83,6.98,3.99
84,9.12,6.7
85,19.79,9.45
86,6.35,5.88
88,0.51,0.95
89,0.26,0.1
90,1.53,1.82
91,2.89,0.77
92,0.31,2.44
99,15.35,7.21
100,1.01,0.72
101,3.41,1.05
103,1.18,0.32
104,1.9,1.14
106,3.25,1.18
107,5.73,4.27
108,11.39,7.23
110,1.95,0.6
111,0.42,0.69
112,0.0,0.3
114,0.99,1.28
115,3.08,1.6
116,1.1,0.59
117,3.82,0.1
121,3.66,1.57
122,5.31,3.72
123,1.58,0.18
124,3.02,0.45
125,3.19,0.91
126,9.42,2.75
128,0.05,0.62
129,6.31,11.26
130,51.36,41.41
132,7.51,2.39
133,5.75,1.03
134,13.34,7.82
135,6.21,6.08
138,4.71,0.24
139,17.48,4.34
141,2.97,2.61
142,2.26,1.82
143,3.71,2.34
144,5.91,6.84
145,11.49,0.84
147,2.15,1.81
149,0.36,0.28
150,1.67,2.06
151,9.0,0.68
152,6.65,2.72
157,1.31,1.98
158,4.65,2.68
159,1.27,0.79
160,1.8,0.48
161,2.41,1.9
164,2.16,3.54
165,3.01,0.98
167,3.15,0.24
168,1.6,0.11
169,1.04,0.01
172,1.68,0.5
173,2.41,0.95
175,1.89,1.46
177,0.53,0.86
178,0.32,0.67
179,0.72,0.17
180,0.83,0.06
181,0.62,0.95
182,0.51,0.74
184,1.36,0.23
185,1.15,1.22
