,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
4,3.99,1.97
13,0.65,14.1
18,1.32,5.34
20,13.98,5.12
25,15.63,22.22
28,12.58,6.8
29,11.09,5.81
30,69.09,70.36
31,777.76,734.71
34,10.76,6.02
39,3.7,4.07
40,23.36,24.35
42,4.97,2.1
46,32.66,28.5
47,49.07,40.22
52,17.68,13.54
54,15.57,8.13
57,0.41,3.19
59,8.43,1.24
60,3.88,1.52
64,5.67,0.85
70,11.77,18.07
71,0.33,21.09
75,16.44,22.71
81,21.32,7.52
86,14.67,48.55
88,12.24,7.1
90,17.12,4.84
91,11.77,25.26
98,4.33,3.78
99,49.29,46.67
108,21.1,20.49
109,11.89,13.61
123,8.16,7.42
124,5.3,0.81
127,30.8,23.54
128,3.47,22.61
131,16.82,0.17
132,44.78,14.98
133,36.4,31.56
151,90.5,73.95
152,4.63,2.54
154,5.38,8.48
155,84.56,86.08
157,3.81,1.16
159,2.77,1.3
164,0.95,3.63
165,11.22,9.92
166,3.07,0.83
170,7.66,12.35
173,10.55,10.91
175,0.89,9.35
177,7.29,6.74
181,6.87,0.63
182,0.09,2.28
184,3.71,2.03
