,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,1.04,1.0,1.02
1,1.08,1.0,1.0
2,1.24,1.0,1.01
3,1.08,1.0,1.02
4,1.03,1.0,0.96
5,1.28,2.0,2.67
7,1.0,1.0,1.03
10,1.1,1.0,0.97
12,1.2,1.0,1.02
13,1.09,1.0,1.02
14,1.04,1.0,0.99
15,1.07,1.0,0.94
17,1.12,1.0,0.96
18,0.99,1.0,1.05
22,1.08,1.0,0.95
23,0.97,1.0,1.05
24,1.04,1.0,1.02
25,0.95,1.0,0.98
26,1.18,1.0,1.02
27,1.04,1.0,1.02
28,1.24,1.0,0.96
29,1.03,1.0,1.01
30,1.14,1.0,0.98
31,1.1,1.0,1.11
33,1.23,1.0,1.06
35,1.06,1.0,1.1
36,1.08,1.0,1.06
37,0.97,1.0,1.02
38,0.91,1.0,1.01
39,0.9,1.0,1.0
40,1.28,1.0,1.17
41,1.16,1.0,1.05
42,1.01,1.0,1.03
43,1.14,1.0,1.0
44,1.16,1.0,0.98
45,1.1,1.0,0.99
47,1.17,1.0,0.95
48,1.12,1.0,1.0
49,1.1,1.0,0.97
51,1.06,1.0,0.96
52,1.32,2.0,2.14
53,1.13,1.0,1.0
54,1.2,1.0,1.02
55,1.0,1.0,0.97
57,1.14,1.0,1.0
59,0.91,1.0,1.02
60,0.95,1.0,0.92
61,1.23,1.0,1.0
62,1.1,1.0,1.01
63,1.09,1.0,0.98
64,1.39,2.0,2.07
65,1.32,1.0,0.96
67,1.15,1.0,0.94
68,1.16,1.0,1.02
69,1.08,1.0,1.02
70,1.06,1.0,1.02
72,1.58,2.0,2.09
73,1.42,1.0,1.04
74,1.09,1.0,1.03
75,1.17,1.0,1.0
76,1.13,1.0,1.01
77,0.91,1.0,1.02
78,1.06,1.0,1.01
81,1.11,1.0,0.97
83,1.01,1.0,1.0
86,0.99,1.0,1.01
89,1.2,1.0,0.98
94,1.03,1.0,1.02
96,1.25,1.0,1.07
97,1.09,1.0,0.94
98,0.98,1.0,0.91
99,1.2,1.0,1.05
104,0.99,1.0,1.05
109,1.18,1.0,0.99
112,1.04,1.0,0.93
116,1.38,2.0,2.06
118,1.12,1.0,1.01
119,0.99,1.0,1.03
120,1.13,1.0,0.99
121,1.09,1.0,0.87
122,1.11,1.0,0.93
123,1.22,1.0,1.0
124,1.02,1.0,0.96
125,1.21,1.0,0.92
126,1.02,1.0,1.0
129,1.42,2.0,1.91
131,1.13,1.0,1.0
132,1.18,1.0,0.97
135,1.58,2.0,2.08
137,1.28,1.0,1.0
138,1.13,1.0,1.0
139,1.16,1.0,1.03
140,0.94,1.0,1.03
142,1.42,2.0,2.07
143,1.15,1.0,0.97
145,0.89,1.0,0.98
146,1.15,1.0,0.98
147,1.06,1.0,0.99
148,1.07,1.0,0.99
149,1.26,1.0,1.05
150,1.07,1.0,0.99
151,1.43,2.0,2.05
152,0.99,1.0,1.03
154,1.06,1.0,1.06
156,1.13,1.0,0.95
157,1.14,1.0,0.97
159,1.05,1.0,0.93
160,1.24,1.0,0.97
163,1.21,1.0,0.98
166,0.96,1.0,0.99
167,1.14,1.0,1.02
169,1.01,1.0,1.02
170,1.07,1.0,0.98
171,1.41,2.0,2.37
174,1.19,1.0,1.0
175,1.1,1.0,1.01
176,1.13,1.0,1.01
177,0.98,1.0,1.0
178,1.13,1.0,1.01
179,1.47,2.0,2.0
180,0.89,1.0,0.96
181,1.19,1.0,1.0
182,1.1,1.0,1.03
184,1.08,1.0,0.97
185,1.19,1.0,0.98
186,1.74,1.0,1.12
188,2.5,8.0,6.29
189,1.87,2.0,2.3
190,1.9,2.0,2.05
191,1.88,2.0,2.12
192,1.64,1.0,0.99
194,1.92,2.0,2.15
196,2.4,5.0,4.01
197,2.29,3.0,2.84
199,2.38,4.0,3.86
200,1.57,1.0,1.1
202,2.51,6.0,5.75
203,1.48,1.0,1.14
204,1.43,1.0,1.08
205,1.39,1.0,1.0
206,1.52,1.0,1.17
207,1.49,1.0,1.12
208,1.71,1.0,1.2
212,1.38,1.0,1.0
213,1.59,2.0,2.12
214,1.38,1.0,0.97
215,1.5,1.0,1.01
216,1.56,1.0,1.05
217,1.31,1.0,1.18
218,1.24,1.0,1.08
219,1.26,1.0,1.05
220,1.48,1.0,0.92
221,1.16,1.0,1.01
225,1.29,1.0,0.96
226,1.28,1.0,1.1
227,1.13,1.0,1.03
229,1.11,1.0,1.0
230,1.29,1.0,1.04
231,1.28,1.0,0.99
232,1.33,1.0,1.04
234,1.12,1.0,1.1
236,0.92,1.0,1.0
237,1.18,1.0,0.98
238,0.99,1.0,0.91
239,1.02,1.0,0.94
240,0.93,1.0,0.96
241,1.0,1.0,0.94
242,0.98,1.0,0.9
243,1.17,1.0,1.03
244,1.15,1.0,1.03
245,1.07,1.0,0.99
246,1.32,2.0,2.02
247,1.22,1.0,0.98
