,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
1,1.05,1.0,0.97
2,1.24,1.0,0.93
3,0.93,1.0,0.97
6,1.34,1.0,0.89
9,1.12,1.0,0.85
19,1.6,1.0,0.79
21,1.13,1.0,1.36
22,1.02,1.0,0.82
35,0.87,1.0,0.78
37,1.05,1.0,0.85
38,0.83,1.0,0.96
43,0.89,1.0,1.08
46,0.96,1.0,1.06
55,0.74,1.0,0.82
58,1.23,1.0,1.22
62,0.8,1.0,1.02
63,1.82,1.0,1.28
66,1.04,1.0,0.86
69,0.86,1.0,0.83
70,1.16,1.0,1.06
79,1.1,2.0,2.57
80,1.14,1.0,0.99
81,0.95,1.0,0.78
82,1.15,1.0,0.81
85,0.88,1.0,0.99
88,1.17,2.0,3.07
90,0.89,1.0,0.94
92,1.04,1.0,0.9
93,1.51,1.0,0.92
101,1.46,1.0,0.77
103,2.97,1.0,1.8
107,1.16,1.0,0.7
112,0.46,1.0,0.59
117,0.97,1.0,0.53
118,1.5,1.0,0.64
121,0.94,1.0,0.47
126,1.13,1.0,0.93
130,1.22,1.0,0.74
133,1.39,1.0,0.89
134,1.15,1.0,1.11
135,1.52,2.0,2.51
144,1.35,1.0,0.83
150,1.33,1.0,1.01
151,0.98,2.0,2.63
154,1.55,1.0,1.1
160,1.69,1.0,0.54
162,1.32,1.0,0.94
174,0.74,1.0,1.12
178,1.17,1.0,0.94
180,1.0,1.0,0.91
181,0.99,1.0,0.91
182,1.02,1.0,0.9
184,1.19,1.0,0.96
185,1.57,1.0,0.76
188,4.12,8.0,5.77
189,1.86,2.0,2.64
190,1.75,2.0,2.4
192,1.74,1.0,0.57
194,2.56,2.0,3.44
198,2.82,3.0,3.64
199,2.61,4.0,4.42
203,2.09,1.0,1.22
206,1.83,1.0,1.68
208,2.06,1.0,2.05
214,1.16,1.0,0.83
215,0.88,1.0,0.91
217,2.31,1.0,1.44
224,1.05,2.0,2.67
227,1.45,1.0,1.25
228,1.25,1.0,0.98
233,1.64,1.0,1.22
235,1.05,2.0,3.37
243,1.58,1.0,1.16
244,1.62,1.0,1.21
247,1.93,1.0,0.94
