,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,5.35,1.0,1.17
1,5.35,2.0,1.17
2,5.35,1.0,0.14
5,5.46,10.0,1.17
6,5.35,13.0,1.17
8,5.46,2.0,1.17
9,13.56,1.0,7.41
11,13.45,20.0,6.38
12,5.35,14.0,23.2
14,13.45,14.0,22.17
16,17.15,2.0,10.62
17,16.8,1.0,4.15
19,23.06,35.0,29.33
20,22.95,37.0,29.33
22,22.95,1.0,7.3
23,22.95,2.0,7.3
24,22.95,1.0,7.3
25,22.95,28.0,28.3
29,11.27,14.0,19.88
32,19.83,33.0,31.56
35,23.52,37.0,34.76
37,11.73,1.0,8.5
38,5.46,1.0,0.14
39,11.73,2.0,2.26
40,23.41,43.0,33.73
41,23.41,34.0,33.73
42,5.46,13.0,22.17
43,5.35,3.0,0.14
44,5.35,2.0,0.14
45,5.35,1.0,0.14
47,5.35,2.0,1.17
48,19.37,15.0,18.85
49,16.8,20.0,26.18
50,22.95,26.0,28.3
51,14.96,2.0,6.27
53,5.0,13.0,16.74
54,14.96,25.0,23.09
55,23.06,35.0,28.3
56,23.06,38.0,29.33
58,23.06,1.0,7.3
59,14.96,2.0,0.03
60,23.06,41.0,29.33
61,8.59,28.0,26.18
