,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
5,15.24,28.69
8,51.37,29.81
9,9.81,2.24
10,20.45,20.64
11,13.47,13.94
15,3.8,2.63
16,24.23,0.79
18,18.37,19.37
22,160.1,70.2
26,33.4,51.45
28,4.55,7.26
29,12.51,17.67
31,19.45,37.4
33,21.33,23.16
37,49.13,27.04
52,66.7,83.54
56,1.74,1.42
62,42.87,35.35
64,37.75,39.21
69,6.45,43.27
71,26.84,23.02
72,55.46,6.35
73,23.68,0.19
75,44.82,19.81
76,226.88,53.59
78,156.72,54.33
79,27.14,13.65
93,56.17,16.01
96,22.52,30.22
97,3.32,5.96
105,19.32,9.56
106,12.27,3.36
109,11.21,8.17
116,32.48,33.17
119,4.26,3.29
123,35.01,35.08
125,22.49,19.16
126,5.66,25.82
128,56.39,18.31
131,307.11,117.53
136,14.82,42.49
138,73.94,12.94
148,1.82,2.91
152,0.55,1.08
156,17.92,10.2
158,130.71,77.38
160,3.13,0.47
163,14.08,5.25
165,1.79,29.57
166,271.39,114.64
169,24.61,22.0
170,0.55,0.3
171,19.45,31.55
180,36.1,58.57
183,84.2,95.52
184,6.65,34.09
