,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,2.95,1.0,1.33
5,8.11,8.0,8.73
6,9.93,9.0,9.15
8,1.93,1.0,1.19
19,10.44,14.0,13.79
23,1.87,1.0,1.18
30,1.84,1.0,1.2
32,11.45,14.0,15.13
37,2.15,1.0,1.25
40,10.47,15.0,14.25
44,1.09,1.0,1.38
48,14.03,13.0,12.6
50,8.5,14.0,13.79
51,2.21,1.0,1.18
53,8.03,10.0,12.56
61,9.15,13.0,10.98
68,5.1,1.0,1.55
70,-0.42,1.0,1.23
71,0.81,2.0,2.37
75,-1.84,1.0,1.14
83,4.36,1.0,1.43
86,-0.32,1.0,1.16
96,2.48,1.0,1.2
105,4.57,1.0,1.29
107,-0.51,1.0,0.97
109,-0.17,1.0,1.21
110,0.14,1.0,1.45
112,4.38,1.0,1.16
115,-0.09,1.0,1.18
118,4.12,1.0,1.26
122,-0.74,1.0,1.11
124,1.62,1.0,1.47
126,8.82,6.0,2.74
127,2.76,1.0,1.8
128,2.13,1.0,1.35
129,0.5,1.0,1.56
130,0.4,1.0,1.56
132,1.47,1.0,1.44
137,0.58,1.0,1.4
138,0.98,1.0,1.41
139,2.32,1.0,1.59
140,5.68,1.0,1.73
146,5.57,5.0,2.7
148,19.0,13.0,17.31
149,15.81,13.0,17.98
157,2.84,1.0,1.18
164,2.59,1.0,1.19
165,0.77,1.0,1.22
168,19.12,18.0,18.62
174,14.84,16.0,15.46
175,12.23,18.0,14.6
178,2.67,1.0,1.29
181,9.04,9.0,9.55
187,15.59,23.0,19.24
191,1.88,3.0,2.63
194,19.17,20.0,20.51
195,19.31,18.0,20.94
197,10.63,15.0,13.84
198,18.73,16.0,20.5
200,-1.83,1.0,1.16
201,1.14,1.0,1.18
203,14.03,9.0,4.46
204,16.79,6.0,4.46
212,6.93,13.0,13.61
213,3.09,1.0,1.56
220,-0.2,1.0,1.14
221,2.2,1.0,1.18
229,18.12,19.0,18.84
232,20.58,21.0,18.1
233,6.85,11.0,14.93
238,20.1,20.0,20.68
239,18.89,21.0,20.04
241,1.2,1.0,1.49
243,20.75,22.0,18.2
246,20.94,22.0,18.84
