,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1,132.89,77.79
3,132.89,77.79
4,519.24,63.93
5,130.98,25.79
6,23.85,67.38
8,206.58,136.49
9,313.21,196.66
10,132.89,101.3
11,27.41,9.87
12,38.08,16.31
13,31.2,7.01
16,70.14,29.67
17,18.07,3.98
18,25.61,25.31
20,36.03,26.73
21,281.33,120.09
24,407.08,153.1
25,14.7,2.31
26,37.1,9.0
27,29.89,21.49
29,62.39,18.55
30,281.33,120.09
32,13.43,14.72
35,53.39,31.74
36,45.63,20.37
37,287.77,138.08
38,39.62,40.54
41,67.88,70.01
43,113.31,99.24
44,113.31,99.24
45,113.31,99.24
47,53.32,147.48
48,143.49,29.69
49,11.52,55.08
51,95.62,62.67
53,36.36,50.93
54,53.57,83.43
55,80.23,98.47
56,23.28,40.12
58,360.32,67.76
59,2.19,58.42
60,69.33,65.38
61,45.14,8.17
