,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,26.85,18.45
2,8.25,0.38
3,9.62,1.8
4,2.26,5.67
5,35.59,35.23
6,1.25,1.97
10,4.58,6.01
11,3.31,1.9
12,20.5,19.47
14,3.11,6.05
16,17.76,7.28
18,8.71,11.36
20,14.34,11.84
21,3.8,12.24
22,13.71,14.28
24,6.59,6.18
27,4.5,1.79
28,0.43,5.99
29,12.24,5.73
30,6.19,8.19
32,22.23,37.59
33,15.64,6.6
35,2.63,8.54
36,6.42,2.83
37,19.53,7.73
38,36.87,16.8
39,11.86,18.91
40,5.34,13.4
41,3.35,1.34
42,17.41,24.42
43,7.16,8.51
44,17.89,26.59
46,30.03,31.0
47,11.26,16.54
48,3.43,0.82
49,5.42,7.29
51,12.25,8.01
52,0.8,0.57
53,13.46,9.17
54,5.58,6.25
55,11.04,8.45
56,3.35,2.15
57,8.97,3.72
58,22.24,12.24
59,8.68,18.07
60,11.39,3.47
61,12.01,20.47
62,33.26,20.72
63,2.92,20.23
64,13.23,20.24
66,0.98,12.23
67,7.02,8.29
68,13.36,16.07
70,1.46,3.36
71,13.21,11.06
73,10.22,7.94
75,8.79,14.91
76,1.17,5.79
77,4.82,4.98
78,2.89,3.25
79,4.01,1.26
80,3.79,8.68
81,22.17,18.82
83,3.08,3.72
85,10.82,11.92
86,12.94,13.11
87,27.68,26.55
92,31.09,14.79
96,8.14,13.79
97,13.2,11.18
99,20.23,20.08
100,2.36,3.89
102,28.67,19.59
104,1.55,2.0
105,16.91,17.67
106,0.96,2.13
107,2.91,0.24
108,3.24,4.72
109,5.82,2.97
110,14.55,8.76
111,12.09,5.89
113,13.96,12.77
114,1.96,4.25
115,53.74,18.05
116,5.37,17.3
117,12.56,12.43
119,19.66,23.12
120,3.5,4.95
121,31.86,30.31
124,11.43,11.04
126,6.92,6.38
127,38.56,42.69
129,2.7,2.31
130,17.76,17.15
132,10.06,11.86
133,12.96,11.48
136,12.34,8.67
137,15.78,8.99
138,25.54,20.45
140,36.86,40.28
141,19.96,19.28
144,12.95,4.68
146,5.48,8.15
147,10.35,14.65
148,1.63,2.38
149,20.39,21.12
150,19.4,17.7
151,10.26,7.53
155,3.64,1.21
157,22.47,21.08
158,8.46,7.05
162,3.83,2.59
163,24.35,25.58
164,21.45,19.85
165,0.04,1.01
166,0.81,1.88
167,1.48,6.03
168,13.45,17.03
169,4.37,3.21
170,6.96,8.54
172,13.68,0.94
173,16.93,18.1
175,32.21,30.65
176,17.64,18.88
177,15.94,15.35
178,12.13,5.25
179,9.08,9.3
180,10.97,8.0
181,1.95,3.47
182,10.16,4.74
183,12.79,1.54
184,6.84,16.23
186,31.54,37.9
187,2.9,4.18
190,0.5,1.62
192,15.05,26.02
193,16.53,18.46
194,9.16,9.02
195,5.52,13.27
196,9.13,34.18
198,14.89,2.08
201,29.32,27.17
202,37.39,30.41
204,3.53,3.63
205,5.19,8.25
207,0.56,0.38
208,23.17,31.0
209,2.78,8.89
210,23.49,21.94
211,3.4,9.94
212,31.67,17.29
213,0.45,32.97
214,5.38,3.99
215,23.15,3.48
216,25.73,25.25
217,4.88,3.06
218,3.89,2.65
222,37.42,33.75
223,17.39,17.03
225,7.86,7.68
228,5.21,5.7
229,16.93,15.76
231,10.82,11.69
232,0.83,0.27
233,15.74,21.93
234,0.29,2.36
235,11.41,12.41
236,55.34,74.99
237,7.71,5.32
238,1.81,4.23
239,4.02,2.31
240,18.85,11.99
241,1.66,1.78
242,4.37,0.92
243,11.79,10.92
244,9.6,7.69
245,3.8,15.42
247,67.43,61.89
248,12.89,9.62
249,1.05,3.81
251,4.34,7.01
255,5.67,7.18
257,34.11,33.61
258,12.6,9.69
259,5.28,3.44
260,20.69,21.24
262,5.11,25.67
263,7.31,3.46
264,37.01,35.13
268,64.64,68.86
269,25.65,20.65
270,22.23,25.45
272,173.83,131.51
273,131.53,38.92
275,256.41,247.59
278,13.59,2.47
279,20.86,17.88
280,19.45,26.84
281,4.42,12.9
282,39.02,15.84
283,12.84,21.9
284,19.0,18.74
287,1.91,0.41
288,12.19,7.67
289,149.48,143.77
290,7.12,8.73
291,15.86,13.45
292,6.57,9.6
293,9.03,10.64
294,7.57,9.5
295,8.72,6.79
296,16.78,18.49
297,10.92,9.51
299,13.03,5.76
300,12.91,19.76
301,8.85,5.68
302,14.12,13.97
304,20.02,19.73
306,28.07,11.48
307,5.54,6.32
308,15.82,15.81
309,9.62,5.21
310,16.24,11.99
311,11.56,7.65
314,4.14,1.16
316,0.08,2.16
317,18.31,22.06
318,6.69,9.88
319,1.82,3.88
321,0.25,4.3
322,3.49,0.37
324,6.56,21.04
326,7.95,4.33
327,16.53,13.82
328,0.16,1.77
330,1.12,2.72
331,2.91,0.35
333,8.71,10.7
334,26.28,17.04
335,20.84,20.19
336,6.97,3.26
341,14.8,11.17
343,1.22,1.54
345,5.17,8.09
346,6.23,8.05
347,8.35,14.37
348,4.4,1.88
350,1.89,5.26
351,2.62,2.76
354,7.38,2.6
355,63.79,58.75
356,9.37,2.37
357,12.35,14.05
359,2.82,1.19
361,5.01,6.88
362,27.46,12.73
363,6.93,0.03
364,77.87,79.78
365,1.57,3.85
371,24.55,26.88
372,11.56,10.16
373,7.18,7.49
374,13.38,13.15
375,1.77,1.68
377,2.92,9.11
380,10.48,12.59
382,0.36,0.78
383,0.54,1.92
384,0.79,3.98
385,25.52,17.63
386,17.63,18.71
387,7.18,9.66
388,27.49,27.67
389,32.63,38.24
390,4.23,13.3
392,53.39,45.42
393,11.43,2.04
394,24.99,25.01
395,14.52,20.89
396,21.09,13.09
397,22.18,18.98
400,35.48,40.35
401,39.41,21.84
402,41.0,25.05
403,16.51,2.08
405,31.74,33.41
407,13.71,12.98
408,21.01,26.09
409,19.09,10.54
410,12.55,0.1
411,19.92,11.3
412,12.4,10.55
414,5.89,9.08
417,14.72,17.65
419,27.96,31.95
421,11.87,17.17
422,13.13,17.72
425,20.71,27.45
427,2.38,9.99
429,8.28,7.6
430,3.32,5.22
431,2.06,3.17
433,4.87,3.47
435,0.4,0.58
436,1.56,0.63
437,13.09,13.2
438,8.91,6.24
439,3.82,2.74
440,0.22,1.2
441,15.21,17.79
442,7.73,8.14
443,2.15,3.11
445,12.44,15.11
446,23.31,30.18
447,11.16,6.96
448,18.69,15.94
450,6.79,6.49
451,1.46,4.33
452,5.53,2.68
453,11.59,6.63
454,9.97,8.51
456,5.39,7.15
457,0.32,2.88
458,3.72,4.25
459,10.46,2.01
460,1.15,0.97
461,3.44,1.26
462,18.03,17.92
463,3.54,2.22
464,11.17,12.07
466,12.66,14.78
467,3.5,2.98
468,18.87,17.33
471,8.39,9.44
473,3.82,4.93
477,14.44,16.7
480,12.47,17.8
481,2.77,6.48
483,5.92,1.53
484,16.62,22.9
485,0.83,0.53
486,5.35,6.6
488,5.98,2.67
489,1.24,5.57
491,19.16,19.01
492,13.05,15.88
494,0.33,0.22
495,28.76,27.54
497,20.94,21.48
498,1.48,0.85
499,5.96,8.25
500,16.7,16.78
501,2.86,4.92
503,25.46,25.46
504,0.05,3.09
505,5.63,3.19
506,10.26,12.8
507,4.69,5.49
509,7.48,5.48
510,3.18,3.64
512,0.54,5.39
513,0.44,0.99
514,11.65,11.93
515,17.13,12.82
516,0.73,3.64
518,7.95,7.57
519,8.38,4.95
520,10.82,10.66
521,16.52,16.8
522,0.35,0.26
524,6.93,7.0
525,3.29,1.46
528,1.65,4.27
529,29.5,34.74
530,17.36,17.6
532,25.51,27.58
533,0.72,3.2
534,14.09,14.85
536,12.54,10.61
537,32.03,17.33
538,24.63,3.96
539,8.91,12.92
540,8.23,10.06
541,4.31,0.73
542,0.22,1.58
543,1.93,0.63
545,19.19,1.78
546,3.38,8.24
547,18.23,0.29
548,2.51,11.22
550,26.61,19.85
551,21.92,17.42
552,23.5,28.63
553,14.68,22.62
554,5.01,13.14
555,14.83,17.71
556,10.79,11.33
557,30.75,27.26
558,3.72,6.87
559,23.9,21.07
560,15.94,14.57
561,23.9,27.76
563,10.65,2.77
564,16.47,20.2
565,0.78,3.15
567,43.32,30.51
569,25.7,23.4
570,22.38,19.69
571,2.88,17.47
573,7.11,13.06
576,12.93,15.57
577,5.46,7.21
580,18.38,15.27
581,21.71,19.44
584,3.94,4.52
585,4.51,9.05
586,28.04,30.78
587,2.99,1.66
588,14.05,10.46
589,7.58,4.91
590,1.42,2.27
592,13.62,10.97
593,3.82,5.45
597,22.09,28.75
598,37.74,27.85
599,11.78,13.84
600,13.38,15.15
601,24.2,25.15
602,17.7,19.55
603,6.53,5.87
604,5.15,3.51
605,3.17,0.42
609,39.0,41.6
610,16.24,5.96
611,5.62,0.21
612,1.88,3.66
613,4.91,2.68
614,1.97,2.56
615,3.18,8.22
616,26.3,19.2
617,6.55,6.63
619,0.26,2.71
620,12.12,9.32
623,2.67,4.71
624,23.71,22.38
625,4.14,2.46
626,12.58,6.55
627,15.34,9.22
628,11.54,8.63
629,3.73,11.13
630,16.02,10.57
632,6.34,1.8
633,16.76,14.45
634,19.53,14.94
635,8.16,15.81
636,14.7,7.88
638,74.49,108.24
640,98.3,50.18
641,69.25,52.51
644,20.66,16.56
645,18.73,15.61
646,9.75,0.15
647,10.48,13.23
648,15.35,17.4
650,18.58,19.37
651,9.06,8.54
652,20.05,18.57
653,1.86,0.44
654,27.87,33.28
656,14.3,17.74
657,7.19,8.83
658,68.84,65.95
659,7.75,7.62
660,7.77,12.79
661,14.94,14.27
662,34.55,33.41
663,4.11,6.64
664,6.3,1.57
665,26.35,17.3
666,4.5,1.71
667,1.76,0.06
668,9.76,12.89
670,19.74,13.24
672,5.83,7.99
673,25.3,14.84
674,0.64,3.37
676,6.18,10.08
677,0.95,0.38
678,4.24,1.13
679,10.34,5.45
681,3.78,1.02
682,1.24,3.28
684,14.61,12.0
685,0.79,7.58
686,10.58,7.77
688,2.61,2.82
689,8.97,3.76
690,28.42,27.23
691,27.59,33.3
692,16.12,14.42
694,9.04,1.04
696,1.91,2.79
697,4.22,1.46
703,2.24,5.38
704,6.0,3.13
706,7.4,10.16
708,9.59,11.82
712,21.92,21.68
713,14.71,16.0
715,0.36,7.02
716,3.92,1.12
718,8.02,4.84
720,26.53,25.28
721,1.55,0.66
722,0.8,6.95
724,31.34,31.55
726,19.78,15.47
727,23.52,11.85
728,21.77,23.71
732,18.23,26.2
733,5.6,14.03
736,1.57,1.51
738,40.46,26.3
739,8.49,6.6
740,0.35,0.47
741,11.84,9.8
742,9.69,12.05
743,15.84,18.14
744,20.8,16.87
745,0.53,1.42
747,16.1,19.41
748,11.26,16.45
749,20.06,25.73
751,19.19,8.57
752,15.11,13.83
753,7.65,12.78
754,9.93,1.18
758,34.16,38.53
759,13.73,16.95
760,25.83,10.66
761,33.86,24.51
762,19.39,17.52
763,19.57,11.18
764,16.24,3.04
765,22.38,9.0
767,3.04,3.17
770,7.13,14.44
771,4.65,2.82
772,15.14,19.86
773,0.04,1.49
774,11.87,13.19
775,7.42,5.76
776,4.27,15.0
777,3.22,0.45
778,4.65,2.41
779,6.01,3.82
780,1.71,3.09
781,6.14,9.41
783,0.8,5.78
784,3.04,1.13
786,0.81,2.67
787,3.77,5.62
789,21.52,19.69
790,0.67,3.17
792,13.78,9.54
794,2.53,2.04
795,22.4,19.48
798,0.9,1.12
799,1.25,1.04
800,13.11,16.79
803,3.53,5.77
805,3.36,4.29
806,9.48,7.94
807,7.79,7.42
811,6.33,7.05
812,8.77,6.86
813,21.17,22.35
814,9.79,5.71
815,9.88,12.51
816,2.36,2.28
818,19.07,22.17
820,11.97,8.99
821,8.4,8.75
822,2.28,0.79
824,4.31,2.74
825,5.77,8.79
826,3.67,12.42
827,2.38,9.09
828,2.53,10.85
829,9.21,10.3
830,8.56,10.44
831,4.58,9.36
832,10.34,6.43
834,26.31,28.62
835,19.1,11.67
836,12.05,8.84
838,5.25,3.78
839,11.29,11.37
840,12.29,9.43
843,17.87,14.95
846,3.64,2.91
848,11.17,12.61
849,8.33,6.07
856,5.42,5.87
858,5.37,4.21
860,3.77,4.41
863,11.49,11.07
864,2.68,2.78
865,6.45,8.37
870,6.62,4.99
871,2.33,1.31
872,11.7,11.37
873,11.13,12.16
874,11.56,12.82
875,2.83,1.94
877,16.77,14.67
878,9.23,5.1
879,0.8,0.06
880,17.11,18.45
881,8.92,11.6
882,2.35,2.15
883,6.27,8.44
884,8.77,9.62
885,7.43,10.87
887,6.45,9.42
890,7.71,7.15
891,28.17,31.66
892,29.0,34.11
896,7.57,8.02
897,23.33,17.58
898,34.27,27.55
899,0.65,3.09
900,2.24,1.53
901,20.78,19.6
903,9.95,10.67
904,22.3,7.65
905,0.69,0.39
907,21.24,25.32
909,16.83,24.32
911,2.63,8.23
912,32.29,31.93
914,11.23,16.83
918,18.43,22.21
920,3.3,1.15
921,7.44,10.62
922,7.63,13.14
927,5.27,1.79
933,6.07,10.01
934,16.37,15.63
936,14.29,14.19
938,9.92,16.69
939,18.44,20.44
943,8.07,1.08
944,20.65,26.15
945,22.37,22.46
946,39.4,36.47
949,15.19,13.68
951,3.65,10.28
952,35.76,40.47
953,15.07,14.53
954,inf,inf
955,0.9,0.38
958,7.85,3.36
960,0.73,1.96
961,1.11,2.53
962,24.47,24.38
965,18.55,10.49
966,82.68,69.52
967,14.45,18.15
969,7.77,5.79
971,13.59,13.84
972,16.12,17.37
974,17.94,1.51
976,24.0,13.26
977,9.48,7.13
978,15.29,11.11
979,10.76,12.73
980,0.05,8.6
983,17.45,19.37
984,12.51,7.53
985,5.22,4.99
987,11.18,4.53
989,9.35,7.58
990,36.65,26.27
992,2.92,5.28
993,3.22,2.83
994,4.49,1.8
995,20.4,13.61
996,18.42,12.18
997,16.81,21.07
998,5.2,7.26
999,inf,inf
1000,16.89,18.74
1003,119.29,73.97
1004,85.48,43.17
1005,122.71,71.08
1006,147.04,81.33
1008,5.48,3.87
1009,5.41,13.48
1010,3.01,9.08
1011,1.43,8.41
1013,1.47,0.3
1014,9.28,14.2
1015,25.83,18.02
1016,1.67,0.56
1018,72.46,60.9
1021,5.84,0.04
1022,44.78,41.96
1023,14.57,20.03
1024,8.71,8.69
1026,12.49,10.58
1028,1.39,0.67
1030,2.48,2.0
1031,8.02,4.28
1032,3.94,11.42
1033,4.3,3.74
1034,10.61,8.69
1036,14.99,4.32
1037,29.05,20.29
1039,18.96,25.61
1041,7.68,2.28
1042,15.19,12.81
1043,15.96,3.06
1045,10.45,8.04
1047,3.49,3.57
1048,8.33,9.47
1052,7.51,2.94
1053,19.15,13.0
1055,6.66,6.74
1056,1.53,5.61
1057,16.48,10.63
1058,0.8,3.05
1059,8.96,6.07
1063,0.55,7.22
1064,6.97,6.72
1065,7.47,15.75
1067,20.99,23.33
1068,4.53,9.6
1070,11.3,8.23
1071,3.23,3.47
1072,1.06,3.67
1074,20.6,22.42
1075,16.67,17.5
1076,4.9,8.96
1077,8.14,8.68
1078,21.18,8.03
1079,1.6,2.34
1080,3.94,2.93
1082,8.54,5.91
1084,8.88,9.2
1085,8.14,7.06
1086,19.16,15.66
1087,1.51,1.59
1088,43.52,37.13
1091,3.72,0.56
1093,24.32,20.7
1095,3.64,2.86
1096,10.87,9.03
1098,13.66,19.53
1100,6.61,3.99
1101,20.9,11.71
1103,39.45,34.36
1104,8.51,16.34
1106,20.07,15.56
1107,10.96,13.15
1108,17.18,13.73
1109,16.09,15.58
1111,11.47,13.07
1112,0.06,1.91
1113,8.55,7.91
1115,6.06,1.26
1116,6.8,0.07
1118,3.12,1.67
