,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
5,2.89,3.0,3.48
6,5.0,3.0,3.35
11,5.85,3.0,3.36
13,10.16,3.0,4.18
15,4.5,4.0,4.75
18,3.28,3.0,3.44
20,8.97,3.0,3.03
23,5.56,3.0,3.64
25,6.08,3.0,3.46
26,4.41,3.0,3.27
28,12.21,4.0,4.09
29,7.48,3.0,3.08
30,4.8,3.0,3.69
32,3.01,3.0,3.44
36,7.82,3.0,3.15
39,12.51,3.0,2.8
41,6.05,4.0,4.36
55,14.4,21.0,29.52
60,15.35,25.0,31.26
61,22.06,21.0,33.46
65,6.95,4.0,4.71
67,33.41,36.0,37.91
70,36.34,38.0,37.31
73,18.46,3.0,5.07
81,28.08,36.0,28.43
84,24.36,24.0,20.28
89,26.17,37.0,28.65
94,6.56,4.0,4.0
95,26.76,20.0,24.63
99,30.65,26.0,41.51
105,40.88,48.0,39.41
106,43.53,60.0,50.85
108,52.21,27.0,16.55
120,43.79,52.0,51.72
121,20.16,45.0,33.44
122,55.16,25.0,53.66
128,29.55,25.0,53.47
134,16.23,25.0,25.27
136,5.4,3.0,3.0
139,48.63,38.0,52.61
140,43.21,53.0,52.04
152,43.11,58.0,47.84
156,7.39,3.0,2.77
162,37.67,42.0,37.87
163,22.21,15.0,19.46
164,9.12,4.0,4.59
165,39.66,44.0,39.37
169,17.0,23.0,24.84
171,12.99,7.0,12.66
172,17.62,3.0,2.78
174,40.68,37.0,34.23
177,5.25,3.0,2.97
178,7.57,3.0,2.75
182,35.51,30.0,36.08
187,41.81,44.0,37.06
192,14.07,2.0,2.51
193,37.75,44.0,39.17
197,16.87,18.0,21.05
201,5.02,3.0,3.4
202,5.8,3.0,3.81
203,3.47,3.0,3.1
205,9.31,3.0,4.26
206,5.99,3.0,3.21
211,4.74,3.0,3.09
215,9.07,3.0,2.58
217,4.44,3.0,2.85
218,4.88,3.0,2.91
224,3.3,3.0,2.98
225,3.9,3.0,2.92
230,5.14,3.0,3.1
234,5.36,3.0,3.41
240,8.0,3.0,3.41
242,6.09,3.0,3.04
243,4.86,3.0,3.08
246,3.5,3.0,3.18
249,0.71,4.0,4.15
256,2.37,20.0,14.12
257,22.93,3.0,6.26
259,3.64,4.0,4.08
260,2.31,3.0,3.19
262,11.35,36.0,36.63
264,5.62,3.0,3.07
271,24.69,5.0,10.31
273,12.4,8.0,7.53
276,23.08,4.0,8.08
281,32.66,68.0,45.74
282,17.29,21.0,14.98
284,8.35,29.0,20.28
285,20.19,47.0,37.63
287,6.27,46.0,39.96
289,9.6,3.0,3.54
295,26.01,11.0,11.39
297,22.17,21.0,16.31
302,4.88,45.0,38.66
303,13.45,3.0,3.41
304,19.49,3.0,6.97
305,25.25,4.0,7.82
310,21.48,4.0,7.84
313,24.43,10.0,11.68
316,27.98,15.0,19.0
326,16.54,13.0,5.73
327,16.54,46.0,38.53
336,2.96,3.0,4.2
338,9.13,15.0,12.43
344,3.82,3.0,3.52
347,3.72,3.0,3.36
350,5.8,3.0,3.45
351,21.88,3.0,6.69
357,4.68,4.0,4.8
364,4.35,4.0,4.53
