,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
3,91.83,20.24
6,182.4,12.71
8,699.56,29.48
9,13.13,17.38
13,212.19,12.81
17,276.89,16.25
18,37.49,11.6
24,197.28,16.35
27,30.06,12.57
28,161.6,10.43
30,126.77,13.45
36,158.74,10.48
42,134.83,21.96
43,192.79,8.29
47,84.61,2.96
48,16.57,59.77
51,91.51,14.36
55,59.59,8.21
60,49.61,4.76
63,19.27,18.15
66,524.77,5.51
74,34.08,24.24
76,40.21,25.22
86,517.61,32.13
87,4.54,14.76
91,57.38,15.65
93,287.43,7.61
96,39.21,39.54
98,20.67,10.13
100,19.11,41.3
107,1084.48,5.57
109,6.64,12.75
111,6.32,0.63
112,46.58,46.9
114,47.99,7.82
118,4.89,8.21
121,14.61,8.22
133,1.14,3.33
135,44.15,4.65
136,204.33,6.48
137,111.65,62.78
142,46.83,6.72
144,18.4,15.05
145,8.3,10.58
146,11.62,16.0
148,11.31,17.6
151,11.28,2.77
152,9.07,12.37
155,295.24,22.3
158,263.55,15.19
161,49.87,18.02
163,793.41,26.02
164,4.53,2.26
169,12.81,19.68
171,431.35,5.21
177,91.12,16.79
179,126.94,21.45
184,176.57,10.54
185,166.82,26.08
190,24.07,4.23
193,39.53,50.66
196,272.03,17.27
197,61.68,69.35
203,104.31,17.74
205,164.07,19.47
206,65.45,5.78
210,10.07,17.67
214,40.46,14.55
217,85.75,1.42
224,218.36,23.35
227,82.13,12.83
230,154.97,27.28
232,15.52,8.15
235,16.67,27.6
239,66.54,3.42
242,3.17,27.85
245,40.97,13.61
258,18.71,2.7
260,14.29,12.88
261,118.97,4.72
265,3.61,10.08
274,1338.73,46.57
285,6.22,4.57
293,4.36,29.06
295,17.02,17.89
299,12.16,18.9
310,2.71,27.56
313,7.89,1.42
314,21.72,27.23
316,20.51,23.18
317,20.17,4.18
319,24.31,4.68
320,10.54,2.99
321,15.35,1.23
322,18.71,11.24
327,21.56,8.73
341,6.53,1.78
344,20.2,12.13
346,436.4,47.03
359,492.23,47.61
