,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,3.17,2.0,2.01
1,7.93,2.0,1.67
2,9.06,21.0,23.22
3,12.25,26.0,26.98
4,4.39,2.0,2.35
6,4.88,2.0,2.66
7,3.26,3.0,3.57
8,5.89,2.0,2.01
10,8.13,3.0,3.77
11,1.49,2.0,2.38
12,0.71,3.0,2.75
14,9.85,3.0,2.96
15,5.44,2.0,1.85
16,4.81,3.0,2.88
17,4.23,2.0,2.1
22,5.67,2.0,1.34
23,3.0,3.0,2.93
24,2.58,2.0,2.53
25,1.98,3.0,3.08
26,0.43,2.0,1.94
27,2.0,2.0,1.97
30,5.65,3.0,2.99
31,6.97,2.0,1.85
32,4.87,3.0,2.72
33,5.02,2.0,2.05
34,6.79,3.0,2.96
35,5.94,2.0,2.07
37,2.41,2.0,2.08
38,7.55,2.0,1.88
39,5.62,3.0,2.82
40,3.74,2.0,1.73
41,6.72,3.0,3.27
42,3.45,2.0,2.11
43,10.08,3.0,2.79
44,3.0,2.0,2.12
45,4.63,3.0,3.02
46,14.57,8.0,8.18
47,12.2,23.0,24.3
49,8.56,2.0,1.83
50,7.57,2.0,1.93
51,2.68,3.0,2.72
53,22.2,22.0,22.28
54,17.15,24.0,26.79
56,13.35,26.0,27.25
57,12.9,13.0,15.29
58,4.24,2.0,1.56
59,5.37,3.0,2.65
60,18.97,30.0,30.65
61,20.13,28.0,26.19
62,25.19,35.0,31.16
65,9.08,10.0,11.88
67,35.08,35.0,34.61
68,45.19,47.0,50.11
69,39.1,40.0,39.97
70,44.11,46.0,42.31
71,36.26,40.0,37.72
73,26.03,28.0,30.63
74,31.22,36.0,31.46
75,39.73,43.0,41.56
76,29.96,36.0,31.71
77,13.19,23.0,24.25
78,24.19,25.0,27.31
79,3.64,2.0,2.32
81,27.65,27.0,29.6
82,34.7,31.0,31.8
83,29.14,30.0,30.78
85,29.87,29.0,26.31
87,20.86,21.0,21.64
89,18.19,18.0,19.51
90,16.27,19.0,23.17
91,13.58,13.0,13.15
92,12.93,11.0,11.49
93,4.41,2.0,2.22
95,15.5,12.0,11.5
97,46.41,39.0,40.25
98,34.99,36.0,34.14
99,31.86,30.0,31.71
100,20.25,21.0,22.85
101,30.93,35.0,34.4
102,51.5,63.0,59.35
103,48.63,49.0,47.28
104,42.89,40.0,44.0
105,41.41,41.0,44.27
107,14.1,2.0,0.82
108,51.25,61.0,61.59
109,68.4,66.0,70.74
111,60.05,64.0,62.86
113,49.51,45.0,45.89
114,33.45,46.0,44.3
115,48.94,53.0,51.1
116,52.83,53.0,51.51
118,53.51,54.0,52.47
119,56.74,59.0,55.82
120,45.45,43.0,43.98
121,28.61,29.0,32.27
123,62.13,60.0,59.19
124,62.68,64.0,63.7
125,67.38,61.0,66.96
126,69.97,73.0,73.57
127,57.6,60.0,54.89
128,21.46,2.0,2.67
131,69.1,69.0,69.1
132,62.11,62.0,63.25
133,51.21,48.0,46.75
134,23.76,23.0,28.4
135,2.54,3.0,1.73
136,4.08,2.0,2.11
140,60.94,55.0,55.81
141,59.43,54.0,54.56
142,33.29,44.0,44.58
144,52.31,59.0,56.38
145,56.97,57.0,55.45
146,62.16,64.0,66.29
148,66.47,65.0,72.28
149,23.53,2.0,3.36
150,47.93,45.0,46.22
151,59.59,68.0,64.71
152,45.12,51.0,48.15
153,17.65,26.0,26.27
157,4.77,2.0,2.31
160,10.26,2.0,1.96
161,10.43,6.0,5.48
162,27.13,23.0,25.68
164,26.17,31.0,27.74
166,24.88,26.0,27.59
167,23.39,23.0,23.41
171,11.06,3.0,3.11
172,3.76,2.0,0.94
173,17.03,18.0,19.19
174,35.04,35.0,37.36
175,26.05,17.0,23.26
176,33.71,18.0,22.52
178,4.21,3.0,3.21
179,3.48,2.0,2.16
180,7.34,3.0,3.15
181,14.42,14.0,15.98
182,29.55,21.0,24.36
186,18.15,16.0,18.03
188,20.52,19.0,19.29
190,25.88,22.0,21.2
191,4.13,2.0,-0.02
193,19.55,18.0,20.86
195,3.03,3.0,2.77
196,6.13,2.0,2.13
199,4.91,2.0,2.6
200,4.42,3.0,3.27
201,6.82,2.0,2.36
203,6.38,3.0,2.95
204,16.31,22.0,22.46
206,19.26,25.0,25.48
211,9.14,17.0,18.38
212,3.95,3.0,2.8
214,14.36,16.0,16.22
215,16.0,21.0,21.41
216,9.87,7.0,6.42
217,12.86,25.0,24.9
218,11.61,18.0,18.39
219,7.39,4.0,3.46
220,12.18,23.0,23.35
221,5.99,8.0,7.67
223,5.3,2.0,2.01
224,9.49,3.0,3.45
225,8.7,2.0,1.79
226,14.58,27.0,28.47
227,14.8,24.0,22.42
229,7.34,2.0,2.44
230,7.35,3.0,3.31
231,13.47,14.0,9.26
232,11.7,11.0,11.88
233,3.61,2.0,2.13
234,20.77,37.0,32.06
