,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,13.29,1.93
1,41.4,4.11
2,1.41,5.23
3,32.23,9.6
4,126.22,8.5
5,52.41,8.1
6,6.25,7.43
7,1.22,5.44
8,16.44,7.38
11,13.3,1.77
12,27.42,5.85
13,58.52,3.67
14,14.47,3.05
15,2.42,2.07
19,14.15,9.68
20,71.04,19.71
27,5.41,5.98
28,62.15,5.09
30,7.24,3.64
32,44.6,6.92
33,89.59,7.55
34,9.66,6.22
35,2.76,1.26
36,16.16,2.62
38,28.57,8.42
39,20.2,1.48
41,26.94,3.24
42,27.31,6.16
43,7.02,3.28
44,59.59,6.87
45,11.77,3.92
46,36.0,5.42
47,2.69,0.78
50,13.07,1.19
51,39.85,0.43
52,18.7,2.1
53,27.72,5.17
54,3.45,5.06
55,24.18,0.14
56,17.56,6.99
58,1.82,5.48
60,0.02,15.97
61,12.5,7.72
65,67.61,3.02
66,25.54,20.25
67,6.39,2.57
68,2.91,2.78
69,13.12,3.04
70,20.37,7.14
71,17.21,12.19
77,7.98,7.89
78,6.54,1.36
79,9.22,5.6
80,33.21,11.41
81,0.09,0.22
82,18.61,8.21
84,4.98,6.02
85,7.24,3.08
86,54.14,3.79
87,7.04,2.42
88,8.29,9.17
89,20.86,2.61
90,22.08,2.03
91,21.61,6.93
94,32.38,1.05
95,2.37,7.6
96,13.47,4.41
97,14.19,4.13
98,9.72,0.03
99,21.34,16.89
101,21.56,33.28
102,3.78,2.78
105,4.88,3.21
107,32.39,25.62
108,296.54,47.37
111,39.46,49.56
112,216.5,78.52
113,376.9,16.94
114,36.48,23.96
115,13.68,46.25
117,7.51,8.94
118,10.42,3.05
123,1.31,1.93
124,1.69,2.87
125,1.18,6.29
127,2.44,2.08
128,33.52,15.64
130,18.85,7.24
131,25.32,12.91
132,1.84,10.21
133,23.01,9.47
134,15.11,15.01
135,7.13,6.54
136,17.51,6.63
137,0.94,6.01
139,2.53,5.93
