,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,1.09,1.0,1.0
1,1.2,1.0,1.0
2,1.21,1.0,1.0
4,1.34,1.0,1.0
6,1.43,1.0,1.0
9,1.28,1.0,1.0
20,1.17,1.0,1.0
30,1.08,1.0,1.0
31,1.12,1.0,1.0
32,1.2,1.0,1.0
36,1.14,1.0,1.0
51,1.12,1.0,1.0
52,1.23,1.0,1.0
54,1.18,1.0,1.0
56,1.11,1.0,1.0
58,1.11,1.0,1.0
59,1.14,1.0,1.0
61,1.21,1.0,1.0
64,1.07,2.0,2.0
65,1.16,1.0,1.0
68,1.19,1.0,1.0
69,1.19,1.0,1.0
71,1.19,1.0,1.0
73,1.17,1.0,1.0
74,1.11,1.0,1.0
77,1.1,1.0,1.0
78,1.1,1.0,1.0
79,1.1,1.0,1.0
82,1.19,1.0,1.0
86,1.14,2.0,2.0
87,1.18,1.0,1.0
88,1.07,1.0,1.0
89,1.08,1.0,1.0
90,1.11,1.0,1.0
91,1.08,1.0,1.0
92,1.08,1.0,1.0
93,1.06,1.0,1.0
95,1.11,1.0,1.0
96,1.11,2.0,2.0
100,1.12,1.0,1.0
103,1.14,1.0,1.0
112,1.16,1.0,1.0
119,1.1,1.0,1.0
120,1.11,1.0,1.0
128,1.06,1.0,1.0
131,1.13,1.0,1.0
132,1.07,1.0,1.0
145,1.14,1.0,1.0
146,1.12,1.0,1.0
148,1.19,1.0,1.0
151,1.19,1.0,1.0
154,1.09,1.0,1.0
157,1.1,1.0,1.0
165,1.07,1.0,1.0
168,1.12,1.0,1.0
171,1.17,1.0,1.0
172,1.19,1.0,1.0
175,1.22,1.0,1.0
176,1.19,1.0,1.0
177,1.09,1.0,1.0
178,1.19,1.0,1.0
200,1.23,1.0,1.0
202,1.15,1.0,1.0
203,1.35,1.0,1.0
204,1.21,1.0,1.0
206,1.34,2.0,2.0
211,1.19,1.0,1.0
214,1.2,1.0,1.0
226,1.34,1.0,1.0
232,1.2,2.0,2.0
233,1.3,1.0,1.0
241,1.28,1.0,1.0
242,1.5,2.0,2.0
244,1.31,2.0,2.0
245,1.59,1.0,1.0
247,1.54,1.0,1.0
250,1.34,1.0,1.0
251,1.34,2.0,2.0
252,1.38,1.0,1.0
255,1.3,2.0,2.0
258,1.41,2.0,2.0
265,1.25,1.0,1.0
267,1.5,2.0,2.0
279,1.37,2.0,2.0
280,1.5,1.0,1.0
283,1.52,1.0,1.0
286,1.39,2.0,2.0
287,1.37,1.0,1.0
297,1.41,2.0,2.0
298,1.29,1.0,1.0
303,1.39,1.0,1.0
313,1.46,2.0,2.0
314,1.3,1.0,1.0
319,1.36,1.0,1.0
321,1.37,1.0,1.0
325,1.35,1.0,1.0
326,1.21,2.0,2.0
328,1.2,1.0,1.0
329,1.36,2.0,2.0
331,1.23,2.0,2.0
334,1.35,1.0,1.0
335,1.35,1.0,1.0
336,1.38,2.0,2.0
347,1.21,1.0,1.0
352,1.32,1.0,1.0
353,1.34,2.0,2.0
354,1.52,1.0,1.0
358,1.23,2.0,2.0
361,1.34,2.0,2.0
362,1.34,1.0,1.0
