,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
3,26.86,0.12
5,38.16,0.54
10,23.03,13.32
14,21.57,0.69
18,39.82,1.16
19,19.08,1.66
25,19.93,10.91
27,20.59,0.2
29,28.13,0.36
32,25.33,0.6
33,16.85,9.65
47,20.13,0.13
51,22.32,0.2
52,38.12,12.13
54,52.41,11.85
57,12.09,0.15
59,12.94,0.2
60,7.62,1.2
68,21.34,4.56
72,8.03,0.2
77,14.13,0.22
78,15.15,0.15
79,18.35,0.03
82,24.48,0.35
83,13.23,0.51
86,44.65,4.43
92,15.81,0.03
99,6.09,1.05
103,13.21,3.61
107,47.49,22.29
129,20.61,0.7
134,7.15,0.24
136,17.12,0.62
141,3.62,2.31
142,8.83,2.93
152,8.14,0.13
156,12.06,0.41
161,7.08,0.75
162,10.61,0.4
166,17.16,0.11
167,6.87,0.2
168,9.18,0.22
171,10.85,0.62
172,4.5,3.18
177,7.92,0.24
178,8.86,0.14
181,11.34,0.18
199,39.04,0.13
209,6.7,0.08
215,15.62,0.08
222,36.4,0.34
226,36.19,0.23
227,34.47,0.34
231,36.81,0.23
234,17.33,0.18
235,32.71,0.03
236,49.09,0.14
237,39.24,0.63
246,35.09,0.86
248,36.1,0.15
252,44.96,0.0
254,44.17,0.74
257,14.19,1.44
261,23.94,0.51
262,27.07,0.32
264,37.71,0.42
280,27.16,11.59
289,48.19,0.02
292,30.56,0.48
293,26.85,0.1
295,30.49,1.43
299,26.75,1.3
300,58.38,0.07
301,33.51,0.2
306,32.27,0.13
307,31.36,1.11
311,25.19,1.1
316,16.69,1.93
317,31.57,0.12
326,34.11,4.04
330,31.28,0.02
334,34.71,0.23
343,36.66,1.81
347,27.22,0.21
350,26.85,0.18
352,42.14,0.14
364,23.32,0.23
366,18.08,6.35
367,46.13,2.16
368,8.96,3.97
369,26.46,0.14
370,43.94,7.43
371,33.09,0.14
373,42.32,0.16
374,11.45,0.62
375,33.51,3.11
380,40.05,2.58
386,49.46,0.12
390,13.84,1.07
394,13.1,13.06
395,14.94,2.3
396,8.67,3.56
397,13.76,1.34
404,15.0,0.2
405,41.98,4.15
406,22.39,0.2
