,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,1.08,1.0,1.0
1,1.04,1.0,1.0
2,1.12,1.0,0.99
4,1.26,1.0,1.0
6,1.22,1.0,1.01
7,1.27,1.0,1.0
8,1.2,1.0,1.0
9,1.03,1.0,0.99
11,1.39,2.0,1.96
12,1.13,1.0,1.0
13,1.17,1.0,1.0
15,1.17,1.0,1.0
16,1.11,1.0,1.0
17,0.97,1.0,0.78
20,1.2,1.0,0.93
21,1.11,1.0,1.0
22,1.01,1.0,0.82
23,1.07,1.0,0.83
24,1.14,1.0,1.0
26,1.36,2.0,2.03
28,1.11,1.0,1.0
30,1.15,1.0,0.99
31,1.17,1.0,0.99
34,1.2,1.0,1.0
35,1.34,2.0,2.01
36,1.14,1.0,1.0
37,1.1,1.0,1.0
38,1.15,1.0,1.0
39,1.15,1.0,1.01
40,1.19,1.0,1.0
41,1.03,1.0,1.0
42,1.08,1.0,1.0
43,1.05,1.0,1.0
44,1.11,1.0,1.0
45,1.36,2.0,2.02
46,1.12,1.0,1.0
48,1.08,1.0,1.0
49,1.18,1.0,0.99
50,1.12,1.0,1.0
53,1.1,1.0,1.0
55,1.36,2.0,2.05
56,1.08,1.0,0.99
58,1.13,1.0,1.0
61,1.23,1.0,0.93
62,1.16,1.0,1.0
63,1.19,1.0,0.99
64,1.33,2.0,1.93
65,1.15,1.0,1.0
66,1.23,1.0,1.0
67,1.13,1.0,1.0
69,1.36,1.0,1.22
70,1.09,1.0,1.2
71,1.07,1.0,1.01
73,1.15,1.0,1.0
74,1.15,1.0,1.0
75,1.24,2.0,1.94
76,1.18,1.0,1.01
80,1.15,1.0,1.0
81,1.13,1.0,1.0
84,1.08,1.0,1.0
85,1.09,1.0,1.0
87,1.1,1.0,0.98
88,1.14,1.0,1.0
89,1.27,1.0,1.01
90,1.16,1.0,1.0
91,1.16,1.0,0.99
93,1.26,1.0,1.0
94,1.12,1.0,1.0
95,1.11,1.0,1.0
96,1.24,2.0,2.15
97,1.07,1.0,0.98
98,1.04,1.0,0.99
100,1.08,1.0,0.96
101,1.15,1.0,0.98
102,1.07,1.0,1.0
104,1.07,1.0,0.98
105,1.05,1.0,0.99
106,1.02,1.0,0.92
108,1.43,1.0,1.11
109,1.13,1.0,1.2
110,1.17,1.0,1.18
111,1.54,1.0,1.14
112,1.05,1.0,1.17
113,1.12,1.0,1.18
114,1.13,1.0,1.18
115,1.08,1.0,1.17
116,1.08,1.0,1.07
117,1.12,1.0,1.01
118,1.06,1.0,0.96
119,1.07,1.0,0.97
120,1.07,1.0,0.99
121,1.02,1.0,1.0
122,1.71,1.0,1.54
123,1.1,1.0,1.02
124,1.14,1.0,0.98
125,1.68,2.0,2.55
126,1.22,1.0,1.06
127,1.1,1.0,0.91
128,1.08,1.0,1.02
130,1.14,1.0,0.94
131,1.24,1.0,1.17
132,1.21,1.0,1.08
133,1.12,1.0,0.97
135,1.17,1.0,1.01
137,1.09,1.0,1.0
138,1.15,1.0,0.99
139,1.09,1.0,1.01
