,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,79.33,30.78
1,10.2,15.74
2,48.14,31.3
3,15.88,13.49
5,0.19,8.57
7,22.63,0.34
9,20.72,15.67
10,47.43,54.57
11,7.28,22.99
13,106.37,20.43
14,8.73,17.36
16,23.31,20.01
17,51.16,23.29
18,97.57,11.43
19,0.09,12.86
20,225.96,23.33
22,2.67,23.39
23,16.95,12.02
24,45.01,34.05
25,4.36,6.11
26,5.15,17.0
27,54.81,16.79
30,9.61,14.95
32,48.04,24.81
33,20.18,10.73
35,6.26,14.43
37,51.7,31.31
38,30.37,19.57
39,186.9,19.83
41,46.83,14.45
42,85.25,32.54
43,41.72,8.45
48,15.88,36.79
50,55.48,35.64
52,16.68,12.85
53,74.7,17.77
54,11.56,18.06
55,4.54,10.33
57,48.17,12.02
58,26.09,20.34
61,75.93,27.88
62,34.04,5.16
63,23.21,47.52
64,18.1,13.78
66,26.8,30.69
67,20.19,7.95
68,58.42,91.92
70,7.69,5.54
72,30.34,22.7
73,40.6,52.87
74,19.83,9.74
75,8.89,10.33
76,18.53,11.55
80,65.75,20.87
81,22.13,2.85
83,25.98,5.53
85,12.26,19.99
86,66.28,52.13
87,30.99,7.97
88,12.65,2.33
89,45.68,20.27
91,47.14,33.52
92,26.43,15.56
94,28.51,32.7
95,37.67,10.41
97,5.38,30.63
98,62.87,11.91
99,81.21,11.1
100,118.74,100.04
101,23.85,22.01
102,1.69,16.13
104,11.34,7.89
105,12.27,0.41
108,315.16,237.13
110,3.87,6.1
111,9.06,8.58
112,288.31,237.13
113,288.31,237.13
114,96.0,114.58
115,288.31,237.13
116,8.09,4.0
117,7.31,26.76
118,0.22,0.38
119,2.87,2.14
120,23.53,45.43
121,42.66,55.81
122,107.11,114.63
123,1.96,2.66
124,12.15,10.27
125,13.73,13.27
126,9.06,8.58
127,11.46,10.99
129,36.27,55.81
131,21.75,21.34
132,2.84,3.34
133,14.33,32.74
134,25.55,7.04
137,54.03,32.01
139,37.98,35.73
142,13.0,33.08
144,36.51,31.12
145,8.66,15.59
146,3.87,6.1
147,11.46,13.52
148,11.46,13.52
150,46.64,35.46
151,20.59,17.5
152,11.69,6.9
153,36.53,15.81
154,34.48,32.18
155,2.61,15.38
157,67.06,32.01
158,1.83,14.25
159,40.26,32.58
161,13.5,32.18
162,5.23,9.73
163,26.89,54.22
164,32.51,8.72
165,25.16,3.0
166,26.43,19.99
167,9.04,2.85
168,29.12,43.99
170,52.13,22.81
171,23.15,51.19
173,10.21,3.37
174,25.57,9.54
175,57.7,55.81
176,3.65,28.58
178,7.18,14.59
179,31.9,33.16
182,18.5,3.37
183,24.98,21.16
185,53.8,22.22
186,5.25,7.69
187,19.34,15.45
189,9.43,15.31
190,13.55,15.62
191,36.65,31.13
193,7.21,10.32
195,6.31,14.74
196,127.04,33.0
197,175.58,29.95
198,17.68,14.11
199,77.48,30.33
200,146.72,23.74
201,362.49,76.48
202,11.03,16.24
207,99.31,31.05
210,34.8,35.1
211,84.42,15.12
212,13.51,32.19
214,15.73,17.81
215,142.96,33.99
216,13.69,13.23
217,52.62,30.92
218,41.75,15.31
220,95.17,33.38
222,91.86,33.27
223,47.49,15.61
226,4.6,14.31
227,86.7,27.93
228,8.29,24.71
229,3.76,7.63
230,4.27,11.17
231,13.51,12.68
232,15.07,12.71
235,26.09,14.69
236,3.39,27.63
238,16.62,9.37
239,5.18,3.35
240,3.11,10.53
241,36.86,10.53
242,7.82,0.94
244,28.21,7.44
245,9.35,1.66
246,8.59,8.42
249,0.78,0.62
250,17.71,16.1
252,2.36,4.45
253,11.92,3.56
254,14.54,24.7
257,13.92,0.77
258,2.65,1.63
260,4.0,3.85
261,53.59,10.53
262,29.79,10.53
263,15.74,3.86
264,2.45,5.12
265,11.37,1.93
266,7.03,2.85
268,11.96,19.78
269,207.19,31.14
270,23.35,6.9
272,1819.68,43.4
273,631.31,18.15
274,849.96,18.15
275,206.05,31.14
276,33.7,10.53
277,1037.94,18.15
279,5.48,4.16
281,9.97,6.98
283,115.05,31.14
284,49.42,19.78
285,2.46,0.67
286,2.52,1.43
287,2.54,2.26
290,9.38,10.53
292,5.48,4.42
293,9.32,2.14
297,167.15,31.14
299,7.04,3.36
300,1.52,0.05
301,5.84,2.2
302,14.24,0.36
305,11.63,2.25
306,6.21,6.04
309,7.33,1.02
310,53.02,10.53
311,167.4,31.14
312,2.52,2.9
313,12.52,1.02
314,2.41,0.28
315,24.66,25.19
317,25.8,10.53
319,6.93,6.69
320,3.82,2.17
323,5.71,2.07
324,159.39,31.14
325,57.96,19.78
329,2.52,2.9
331,90.7,31.14
332,2.75,11.04
333,14.35,5.48
334,9.76,30.57
335,23.97,0.29
336,13.2,8.57
337,3.94,0.88
338,117.38,59.48
339,8.11,10.53
340,10.29,1.52
343,5.83,0.87
345,2.13,10.31
347,72.81,14.38
349,21.74,6.28
350,8.58,14.2
353,6.23,24.7
354,57.78,49.65
355,19.09,10.22
356,1.01,5.73
357,4.27,0.24
358,1.5,12.5
359,74.46,35.26
360,14.08,14.34
362,22.02,32.01
364,184.43,32.2
