,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,70.86,18.0
1,46.76,2.37
2,50.44,26.15
4,8.68,7.48
6,7.67,10.49
9,43.7,18.8
20,237.79,9.2
30,32.14,23.35
31,32.1,10.26
32,66.81,43.1
36,39.15,2.13
51,29.6,13.07
52,56.36,23.82
54,347.25,41.27
56,9.55,87.37
58,47.04,82.6
59,55.41,8.8
61,183.86,0.76
64,12.8,16.29
65,64.73,10.31
68,34.61,149.9
69,20.63,13.1
71,25.04,24.67
73,78.08,186.86
74,44.32,8.54
77,20.3,19.69
78,19.42,21.58
79,108.7,72.91
82,13.36,16.01
86,34.78,86.69
87,23.86,77.07
88,10.04,10.12
89,36.27,3.12
90,55.76,14.7
91,90.32,35.17
92,1.77,43.99
93,37.75,49.01
95,22.36,15.21
96,4.82,16.74
100,217.89,249.37
103,39.29,37.7
112,359.88,110.59
119,11.63,18.19
120,56.1,42.84
128,407.88,193.2
131,34.95,29.03
132,20.66,6.12
145,8.77,25.22
146,23.29,27.1
148,28.74,29.74
151,32.44,26.47
154,78.8,12.15
157,84.25,46.23
165,21.14,38.02
168,36.4,22.08
171,11.49,230.25
172,20.19,38.2
175,213.17,18.1
176,24.4,44.32
177,84.87,43.56
178,43.15,3.53
200,175.68,19.62
202,0.95,15.7
203,3.74,2.08
204,1227.44,105.34
206,86.79,42.94
211,66.55,16.93
214,25.85,6.99
226,30.58,11.43
232,36.55,5.46
233,69.35,20.21
241,77.71,2.19
242,24.38,8.44
244,67.68,3.3
245,26.16,7.85
247,17.9,17.02
250,3.88,33.85
251,5.75,2.76
252,5.99,2.07
255,153.76,88.05
258,0.88,3.38
265,36.03,9.31
267,17.35,2.47
279,3.71,0.35
280,25.46,16.37
283,38.48,56.83
286,5.09,0.62
287,6.82,1.04
297,38.63,1.26
298,9.23,0.07
303,52.49,22.26
313,16.96,0.82
314,3.7,0.33
319,7.53,4.92
321,0.59,4.39
325,67.97,13.28
326,0.54,0.44
328,287.67,17.37
329,1.95,1.23
331,114.98,11.01
334,7.98,31.66
335,34.09,16.55
336,17.86,22.85
347,162.59,2.47
352,8.7,21.28
353,26.48,0.35
354,132.81,5.24
358,15.75,9.88
361,13.08,3.88
362,78.07,51.78
