,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,1.83,1.0,1.08
1,2.02,2.0,1.79
2,1.83,1.0,0.96
3,1.82,2.0,2.0
4,8.06,7.0,7.73
7,5.66,4.0,4.33
8,8.88,8.0,7.97
9,1.79,2.0,2.28
10,1.44,1.0,1.11
12,2.35,1.0,0.92
14,10.84,14.0,12.81
16,1.76,2.0,2.07
17,1.68,1.0,1.16
19,2.33,2.0,1.88
21,2.7,2.0,1.94
22,5.27,5.0,5.42
24,1.65,1.0,0.88
27,0.85,2.0,2.24
31,1.85,2.0,1.87
33,1.44,2.0,2.03
34,1.65,1.0,0.98
35,2.02,2.0,2.08
37,1.55,1.0,1.2
38,1.58,2.0,1.94
40,1.82,2.0,2.15
42,1.48,1.0,0.95
43,3.07,2.0,1.61
44,1.92,2.0,1.86
45,1.58,1.0,0.94
46,1.85,2.0,2.05
47,1.8,2.0,1.84
48,1.74,1.0,1.06
49,1.46,2.0,1.97
50,1.37,1.0,1.11
51,1.81,2.0,2.11
52,1.51,2.0,1.72
53,2.67,1.0,0.72
54,3.84,2.0,1.89
56,0.69,1.0,1.23
57,0.88,2.0,2.01
58,0.63,1.0,1.07
59,1.07,2.0,2.07
62,3.18,2.0,1.74
63,2.88,4.0,3.98
64,1.68,2.0,2.31
66,1.45,1.0,1.13
68,14.07,12.0,15.43
69,13.3,10.0,10.09
71,8.7,9.0,9.41
72,1.84,2.0,2.22
74,1.99,2.0,2.07
75,8.62,9.0,9.3
76,2.26,2.0,2.32
77,2.44,2.0,1.63
78,5.99,6.0,6.18
79,1.76,1.0,0.72
80,1.62,1.0,0.98
82,8.13,8.0,8.24
83,2.34,2.0,1.7
85,5.59,6.0,6.24
86,1.4,1.0,0.94
87,1.39,2.0,1.95
88,7.06,10.0,9.67
90,0.61,2.0,2.02
91,1.64,1.0,1.16
92,1.87,2.0,2.36
93,1.13,1.0,1.01
96,8.57,10.0,9.89
97,9.26,13.0,12.0
98,5.61,2.0,2.01
100,1.4,1.0,-0.13
101,1.28,2.0,1.25
102,21.94,20.0,18.09
103,16.78,14.0,14.24
104,9.1,10.0,9.57
107,3.14,2.0,1.83
109,32.56,32.0,34.53
110,33.17,35.0,34.74
111,32.6,37.0,34.78
112,3.94,1.0,1.52
113,4.63,1.0,2.0
114,4.66,2.0,2.9
115,4.63,1.0,2.78
116,31.35,28.0,28.55
117,8.77,11.0,11.93
118,30.21,30.0,30.11
119,30.07,29.0,28.73
123,32.56,33.0,34.16
124,33.17,30.0,32.55
125,33.17,39.0,37.79
126,33.17,37.0,36.95
127,33.17,38.0,36.57
129,1.07,1.0,0.43
130,1.61,2.0,2.19
131,33.17,43.0,37.69
132,33.17,34.0,34.43
133,15.96,13.0,13.89
135,1.3,2.0,1.98
137,1.58,1.0,1.1
138,4.38,2.0,1.5
141,32.53,26.0,30.62
142,3.02,2.0,0.92
143,4.66,1.0,1.77
144,15.82,13.0,18.2
145,24.3,25.0,23.73
146,33.17,35.0,33.63
147,33.17,38.0,37.08
148,33.17,38.0,35.93
149,4.02,1.0,2.75
150,2.91,2.0,2.5
151,32.17,41.0,37.07
153,1.96,2.0,2.34
154,1.85,1.0,1.24
155,1.77,2.0,1.93
157,1.71,1.0,0.98
158,1.79,2.0,1.99
159,2.07,1.0,0.97
160,2.5,2.0,1.78
161,1.51,1.0,1.06
166,5.58,6.0,6.23
167,7.29,7.0,6.82
168,3.45,5.0,5.35
170,1.03,2.0,1.54
173,7.46,7.0,6.87
175,0.69,1.0,0.55
176,14.89,19.0,18.05
179,0.95,1.0,0.9
180,0.93,1.0,1.09
181,2.28,5.0,5.21
183,3.39,2.0,2.32
184,1.44,1.0,0.98
185,1.16,1.0,1.18
186,8.8,9.0,8.88
188,7.36,7.0,7.33
189,2.16,2.0,1.97
190,8.73,9.0,8.79
191,1.59,1.0,0.96
194,1.62,1.0,1.21
195,1.86,2.0,2.12
196,2.18,1.0,0.95
198,1.82,2.0,1.98
199,1.71,1.0,1.07
200,5.24,2.0,2.07
204,7.54,1.0,1.09
207,2.06,2.0,2.0
208,1.81,1.0,0.75
209,1.8,2.0,2.02
210,1.54,1.0,0.98
212,0.57,1.0,1.11
213,0.54,1.0,0.91
214,2.33,2.0,1.67
216,2.05,2.0,1.92
219,1.54,1.0,0.95
220,1.63,1.0,0.98
221,2.42,2.0,2.03
222,1.8,1.0,1.03
223,2.32,2.0,2.08
226,1.54,2.0,1.86
227,1.54,1.0,0.89
228,4.92,5.0,5.2
229,3.41,4.0,4.26
231,7.28,6.0,6.32
232,8.58,9.0,8.79
233,1.39,1.0,0.75
235,4.33,8.0,7.31
236,1.69,2.0,2.05
237,9.6,8.0,8.17
238,8.93,8.0,8.18
239,7.67,7.0,6.79
241,0.03,2.0,1.95
244,5.89,8.0,7.83
245,16.06,21.0,21.05
247,1.54,2.0,2.22
248,2.72,2.0,2.13
250,13.4,17.0,16.6
251,24.95,26.0,26.92
252,22.23,22.0,22.15
253,22.71,26.0,25.31
254,1.43,2.0,2.18
255,1.5,1.0,1.1
258,22.94,22.0,22.29
261,2.72,2.0,1.95
263,24.85,28.0,27.82
265,23.57,25.0,24.77
266,23.92,27.0,26.58
267,22.17,26.0,25.9
268,1.42,2.0,1.87
269,2.84,1.0,0.72
270,26.54,34.0,33.49
272,20.48,1.0,1.33
274,19.87,2.0,2.06
275,2.72,1.0,1.33
277,24.29,2.0,1.88
278,30.43,32.0,31.86
279,32.38,33.0,33.81
280,30.84,41.0,38.17
283,1.03,1.0,0.87
286,31.01,32.0,31.79
288,30.52,32.0,32.64
290,2.55,2.0,1.83
291,28.37,29.0,29.17
292,32.38,33.0,32.43
293,30.75,32.0,32.36
294,30.77,34.0,33.77
296,2.57,2.0,1.99
298,27.67,29.0,29.53
299,29.37,30.0,30.3
300,30.33,30.0,30.08
301,26.14,28.0,28.33
306,29.24,30.0,30.0
307,27.41,29.0,28.67
308,27.27,28.0,28.39
309,28.5,31.0,31.23
311,2.99,1.0,1.0
312,32.62,32.0,32.51
314,29.05,30.0,30.11
315,32.09,42.0,38.92
317,2.71,2.0,1.8
318,3.05,1.0,1.92
319,32.94,34.0,33.83
320,28.8,29.0,29.05
321,28.97,29.0,28.59
322,31.77,33.0,33.02
323,27.26,29.0,29.13
324,2.94,1.0,1.26
325,2.96,2.0,2.2
328,4.44,1.0,0.87
329,31.77,32.0,32.47
330,26.66,26.0,26.71
331,0.85,1.0,0.97
332,1.46,2.0,2.26
333,20.63,20.0,19.61
334,12.12,13.0,12.23
335,13.89,18.0,18.14
337,23.57,25.0,24.86
339,1.25,2.0,1.91
340,24.62,24.0,24.1
341,27.64,31.0,31.3
342,24.89,25.0,24.7
343,23.05,22.0,22.89
345,1.69,2.0,2.24
346,1.76,1.0,1.04
348,11.0,9.0,8.78
349,4.52,6.0,6.0
352,2.22,2.0,1.72
353,1.17,2.0,2.24
354,1.06,1.0,0.99
355,30.38,35.0,35.01
356,30.1,29.0,29.44
358,9.39,10.0,9.38
359,1.71,1.0,1.05
360,1.62,2.0,2.17
361,5.03,5.0,5.53
362,13.28,12.0,11.02
363,6.19,6.0,6.06
