,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
2,1.38,1.0,0.56
5,17.9,19.0,19.47
10,0.81,1.0,0.59
12,2.78,1.0,0.82
13,8.94,2.0,2.16
17,1.49,1.0,0.61
21,3.22,2.0,2.84
25,10.67,8.0,8.12
27,3.07,2.0,2.17
31,1.28,2.0,1.94
37,1.81,1.0,0.92
38,0.55,2.0,1.04
39,0.69,1.0,0.43
45,1.84,1.0,1.0
46,2.88,2.0,1.9
47,2.38,2.0,1.52
50,1.05,1.0,0.54
54,9.16,2.0,0.1
56,2.51,1.0,1.38
59,0.38,2.0,2.05
61,3.19,1.0,1.4
65,1.91,1.0,1.31
66,2.02,1.0,2.03
68,22.54,12.0,29.32
77,1.39,2.0,2.13
78,5.98,6.0,7.31
79,1.52,1.0,-0.29
83,4.23,2.0,1.55
85,4.95,6.0,7.11
91,1.67,1.0,1.2
92,1.38,2.0,2.48
94,1.86,1.0,1.06
100,1.75,1.0,0.72
103,16.67,14.0,16.71
105,21.17,14.0,19.3
107,1.69,2.0,0.16
108,1.22,1.0,-3.46
110,31.47,35.0,31.86
111,28.07,37.0,30.57
112,6.25,1.0,2.54
118,23.86,30.0,26.16
123,30.91,33.0,34.16
127,30.43,38.0,35.79
138,4.45,2.0,1.68
139,24.22,15.0,16.68
145,25.71,25.0,22.75
146,29.44,35.0,29.23
154,1.77,1.0,1.67
155,2.05,2.0,1.71
158,0.7,2.0,1.9
159,1.5,1.0,0.75
160,1.95,2.0,1.66
161,1.7,1.0,1.05
164,-0.62,2.0,0.88
167,7.72,7.0,6.23
168,1.09,5.0,5.75
169,1.84,1.0,0.71
171,0.39,1.0,-0.35
175,2.87,1.0,0.49
176,21.15,19.0,25.06
182,7.07,7.0,7.27
183,3.64,2.0,1.85
186,8.94,9.0,10.67
189,1.44,2.0,2.26
195,1.37,2.0,1.78
196,2.73,1.0,0.97
198,1.6,2.0,2.31
205,0.45,2.0,2.36
206,0.75,1.0,0.84
208,4.56,1.0,1.69
215,2.09,1.0,0.94
218,2.45,2.0,2.28
220,2.22,1.0,0.79
221,3.24,2.0,1.68
226,0.39,2.0,2.14
230,4.48,7.0,7.97
233,1.23,1.0,0.66
236,1.92,2.0,2.12
238,9.3,8.0,8.47
239,11.22,7.0,7.08
243,12.2,14.0,9.39
246,18.84,15.0,11.49
261,3.42,2.0,1.36
262,-0.1,2.0,1.5
279,33.72,33.0,33.36
286,34.03,32.0,32.61
287,29.94,30.0,29.17
289,2.62,2.0,2.16
296,3.42,2.0,2.28
297,2.04,1.0,0.85
303,1.05,2.0,1.87
304,-0.14,1.0,0.56
306,28.11,30.0,29.2
308,28.37,28.0,27.58
311,3.89,1.0,0.91
314,29.18,30.0,28.63
316,4.15,2.0,2.8
322,32.17,33.0,30.89
327,31.63,32.0,31.8
331,0.91,1.0,0.73
333,22.47,20.0,22.29
337,26.54,25.0,25.08
342,28.89,25.0,27.62
343,22.19,22.0,25.33
344,8.29,11.0,8.74
347,7.59,2.0,2.04
357,22.98,23.0,24.53
362,23.18,12.0,6.58
363,4.1,6.0,5.43
364,7.58,1.0,1.7
