,ì˙éû,é¿ê—,êÑíË,åé,îN
0,2021-04-01,4.0,4.77,4,2021
1,2021-04-02,3.0,3.84,4,2021
2,2021-04-03,5.0,5.53,4,2021
3,2021-04-04,3.0,3.95,4,2021
4,2021-04-05,5.0,5.23,4,2021
5,2021-04-06,8.0,9.33,4,2021
6,2021-04-07,12.0,12.84,4,2021
7,2021-04-08,9.0,11.01,4,2021
8,2021-04-09,19.0,22.14,4,2021
9,2021-04-10,4.0,5.31,4,2021
10,2021-04-11,3.0,4.22,4,2021
11,2021-04-12,13.0,12.72,4,2021
12,2021-04-13,7.0,7.42,4,2021
13,2021-04-14,5.0,5.67,4,2021
14,2021-04-15,15.0,14.64,4,2021
15,2021-04-16,9.0,10.22,4,2021
16,2021-04-17,8.0,8.66,4,2021
17,2021-04-18,3.0,3.38,4,2021
18,2021-04-19,6.0,6.2,4,2021
19,2021-04-20,6.0,6.34,4,2021
20,2021-04-21,4.0,4.04,4,2021
21,2021-04-22,4.0,4.22,4,2021
22,2021-04-23,4.0,4.33,4,2021
23,2021-04-24,3.0,3.09,4,2021
24,2021-04-25,4.0,4.5,4,2021
25,2021-04-26,5.0,5.0,4,2021
26,2021-04-27,4.0,4.08,4,2021
27,2021-04-28,6.0,5.64,4,2021
28,2021-04-29,3.0,3.08,4,2021
29,2021-04-30,3.0,3.01,4,2021
30,2021-05-01,5.0,4.71,5,2021
31,2021-05-02,3.0,3.36,5,2021
32,2021-05-03,3.0,3.38,5,2021
33,2021-05-04,3.0,3.52,5,2021
34,2021-05-05,4.0,4.37,5,2021
35,2021-05-06,6.0,6.31,5,2021
36,2021-05-07,4.0,4.14,5,2021
37,2021-05-08,3.0,3.3,5,2021
38,2021-05-09,3.0,3.32,5,2021
39,2021-05-10,6.0,6.56,5,2021
40,2021-05-11,4.0,4.26,5,2021
41,2021-05-12,4.0,4.74,5,2021
42,2021-05-13,3.0,3.49,5,2021
43,2021-05-14,7.0,8.47,5,2021
44,2021-05-15,3.0,3.47,5,2021
45,2021-05-16,3.0,3.25,5,2021
46,2021-05-17,8.0,7.82,5,2021
47,2021-05-18,8.0,8.29,5,2021
48,2021-05-19,6.0,6.28,5,2021
49,2021-05-20,4.0,4.19,5,2021
50,2021-05-21,8.0,8.29,5,2021
51,2021-05-22,3.0,3.45,5,2021
52,2021-05-23,4.0,4.58,5,2021
53,2021-05-24,8.0,7.55,5,2021
54,2021-05-25,10.0,9.92,5,2021
55,2021-05-26,9.0,9.11,5,2021
56,2021-05-27,7.0,7.33,5,2021
57,2021-05-28,10.0,8.67,5,2021
58,2021-05-29,3.0,2.8,5,2021
59,2021-05-30,3.0,2.74,5,2021
60,2021-05-31,10.0,8.66,5,2021
61,2021-06-01,9.0,10.35,6,2021
62,2021-06-02,10.0,10.54,6,2021
63,2021-06-03,11.0,11.37,6,2021
64,2021-06-04,9.0,10.67,6,2021
65,2021-06-05,3.0,3.26,6,2021
66,2021-06-06,3.0,3.11,6,2021
