,ÉfÅ[É^
0,401
1,236
2,196
3,21
4,395
5,32
6,22
7,189
8,212
9,208
10,224
11,201
12,411
13,1
14,220
15,378
16,198
17,5
18,424
19,51
20,202
21,38
22,207
23,394
24,387
25,226
26,194
27,390
28,370
29,374
30,184
31,407
32,191
33,39
34,389
35,193
36,35
37,55
38,45
39,3
40,18
41,372
42,218
43,36
44,382
45,10
46,396
47,379
48,229
49,2
50,406
51,366
52,58
53,399
54,417
55,7
56,30
57,186
58,43
59,188
60,183
61,222
62,213
63,223
64,414
65,231
66,365
67,238
68,26
69,29
70,425
71,422
72,185
73,53
74,402
75,384
76,8
77,33
78,377
79,197
80,234
81,192
82,28
83,415
84,228
85,381
86,20
87,416
88,4
89,221
90,217
91,392
92,398
93,400
94,23
95,17
96,54
97,200
98,9
99,373
100,204
101,380
102,46
103,34
104,13
105,11
106,31
107,371
108,44
109,209
110,15
111,27
112,386
113,376
114,230
115,243
116,41
117,413
118,240
119,404
120,397
121,227
122,199
123,409
124,403
125,232
126,237
127,16
