,ÉfÅ[É^
0,243
1,46
2,215
3,178
4,6
5,20
6,38
7,62
8,74
9,231
10,182
11,199
12,54
13,137
14,67
15,26
16,91
17,153
18,107
19,40
20,237
21,53
22,147
23,151
24,124
25,191
26,223
27,193
28,152
29,112
30,131
31,118
32,233
33,171
34,13
35,197
36,180
37,94
38,156
39,163
40,181
41,77
42,33
43,176
44,32
45,241
46,10
47,238
48,184
49,145
50,11
51,83
52,89
53,97
54,48
55,55
56,31
57,168
58,129
59,196
60,172
61,110
62,85
63,105
64,37
65,104
66,173
67,230
68,21
69,99
70,160
71,63
72,75
73,139
74,15
75,210
76,115
77,227
78,61
79,236
80,154
81,18
82,162
83,226
84,189
85,190
86,149
87,69
88,206
89,125
90,50
91,28
92,16
93,144
94,30
95,164
96,117
97,202
98,9
99,96
100,194
101,0
102,114
103,186
104,140
105,220
106,113
107,121
108,158
109,52
110,229
111,177
112,72
113,157
114,29
115,179
116,132
117,198
118,119
119,167
120,39
121,185
122,103
123,120
124,44
125,169
126,201
127,59
128,208
129,34
130,24
131,100
132,25
133,45
134,88
135,133
136,108
137,224
138,87
139,66
140,165
141,216
142,166
143,73
144,150
145,200
146,71
147,195
148,188
149,221
150,170
151,209
152,111
153,60
154,64
155,234
156,92
157,239
158,222
159,142
160,19
161,78
162,175
163,36
164,187
165,17
166,65
167,81
168,183
169,122
