,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx
0,98.74,63.92
1,29.86,28.35
3,20.6,20.87
5,39.12,39.19
6,105.87,62.64
7,121.7,89.04
8,8.68,2.23
9,178.3,211.56
11,42.89,23.86
12,43.84,14.22
15,59.95,59.99
16,152.94,108.63
17,137.23,76.53
19,26.08,25.92
20,81.41,34.99
21,88.79,44.72
22,56.52,56.56
23,10.47,10.57
24,1.46,122.48
25,7.91,8.74
26,2.15,22.78
28,15.45,85.4
30,98.91,89.35
33,17.44,23.4
34,61.61,53.85
36,15.79,27.83
37,109.35,161.93
38,280.64,211.07
39,41.79,40.11
40,5.28,0.3
42,57.59,27.23
43,38.95,17.06
44,156.49,107.11
45,136.37,134.56
46,37.89,38.36
47,47.15,47.55
50,112.73,111.11
53,44.74,45.17
54,44.38,44.81
56,5.28,1.78
57,32.47,32.98
58,32.96,31.94
